prog,noise,seed,ex.sig,gt.sig,sim
mSigHdp,1k,1076753,hdp.21,SBS7a,0.978
mSigHdp,3k,145879,hdp.1,SBS1,0.999
mSigHdp,3k,145879,hdp.2,SBS7a,0.968
mSigHdp,3k,145879,hdp.3,SBS17b,0.999
mSigHdp,3k,145879,hdp.4,SBS13,0.998
mSigHdp,3k,145879,hdp.5,SBS2,1
mSigHdp,3k,145879,hdp.6,SBS40,0.999
mSigHdp,3k,145879,hdp.7,SBS5,0.999
mSigHdp,3k,145879,hdp.8,SBS18,0.998
mSigHdp,3k,145879,hdp.9,SBS17a,0.998
mSigHdp,3k,145879,hdp.10,SBS7b,0.992
mSigHdp,3k,145879,hdp.11,SBS7c,0.999
mSigHdp,3k,145879,hdp.12,SBS41,0.994
mSigHdp,3k,145879,hdp.13,SBS44,0.994
mSigHdp,3k,145879,hdp.14,SBS22,0.989
mSigHdp,3k,145879,hdp.15,SBS16,0.99
mSigHdp,3k,145879,hdp.16,SBS4,0.999
mSigHdp,3k,145879,hdp.17,SBS12,0.993
mSigHdp,3k,145879,hdp.18,SBS7d,0.978
mSigHdp,3k,145879,hdp.19,SBS3,0.997
mSigHdp,3k,145879,hdp.20,SBS28,0.984
mSigHdp,3k,145879,hdp.21,SBS29,0.95
mSigHdp,3k,200437,hdp.1,SBS1,0.999
mSigHdp,3k,200437,hdp.2,SBS17b,0.999
mSigHdp,3k,200437,hdp.3,SBS13,0.997
mSigHdp,3k,200437,hdp.4,SBS7a,0.954
mSigHdp,3k,200437,hdp.5,SBS2,0.999
mSigHdp,3k,200437,hdp.6,SBS7d,0.978
mSigHdp,3k,200437,hdp.7,SBS28,0.985
mSigHdp,3k,200437,hdp.8,SBS7b,0.989
mSigHdp,3k,200437,hdp.9,SBS12,0.993
mSigHdp,3k,200437,hdp.10,SBS41,0.994
mSigHdp,3k,200437,hdp.11,SBS44,0.995
mSigHdp,3k,200437,hdp.12,SBS7c,0.999
mSigHdp,3k,200437,hdp.13,SBS3,0.998
mSigHdp,3k,200437,hdp.14,SBS4,0.999
mSigHdp,3k,200437,hdp.15,SBS18,0.998
mSigHdp,3k,200437,hdp.16,SBS40,0.999
mSigHdp,3k,200437,hdp.17,SBS17a,0.998
mSigHdp,3k,200437,hdp.18,SBS22,0.989
mSigHdp,3k,200437,hdp.19,SBS5,0.999
mSigHdp,3k,200437,hdp.20,SBS16,0.99
mSigHdp,3k,200437,hdp.21,SBS29,0.952
mSigHdp,3k,310111,hdp.1,SBS1,0.999
mSigHdp,3k,310111,hdp.2,SBS17b,0.999
mSigHdp,3k,310111,hdp.3,SBS2,0.999
mSigHdp,3k,310111,hdp.4,SBS22,0.989
mSigHdp,3k,310111,hdp.5,SBS3,0.997
mSigHdp,3k,310111,hdp.6,SBS7c,0.999
mSigHdp,3k,310111,hdp.7,SBS7b,0.994
mSigHdp,3k,310111,hdp.8,SBS18,0.998
mSigHdp,3k,310111,hdp.9,SBS12,0.993
mSigHdp,3k,310111,hdp.10,SBS28,0.984
mSigHdp,3k,310111,hdp.11,SBS40,0.999
mSigHdp,3k,310111,hdp.12,SBS44,0.994
mSigHdp,3k,310111,hdp.13,SBS13,0.998
mSigHdp,3k,310111,hdp.14,SBS4,0.999
mSigHdp,3k,310111,hdp.15,SBS17a,0.998
mSigHdp,3k,310111,hdp.16,SBS16,0.99
mSigHdp,3k,310111,hdp.17,SBS7a,0.98
mSigHdp,3k,310111,hdp.18,SBS41,0.994
mSigHdp,3k,310111,hdp.19,SBS5,0.999
mSigHdp,3k,310111,hdp.20,SBS7d,0.975
mSigHdp,3k,310111,hdp.21,SBS29,0.95
mSigHdp,3k,528401,hdp.1,SBS1,0.999
mSigHdp,3k,528401,hdp.2,SBS17b,0.999
mSigHdp,3k,528401,hdp.3,SBS2,1
mSigHdp,3k,528401,hdp.4,SBS5,0.999
mSigHdp,3k,528401,hdp.5,SBS12,0.993
mSigHdp,3k,528401,hdp.6,SBS7c,0.999
mSigHdp,3k,528401,hdp.7,SBS4,0.999
mSigHdp,3k,528401,hdp.8,SBS7b,0.988
mSigHdp,3k,528401,hdp.9,SBS3,0.997
mSigHdp,3k,528401,hdp.10,SBS16,0.991
mSigHdp,3k,528401,hdp.11,SBS17a,0.998
mSigHdp,3k,528401,hdp.12,SBS28,0.985
mSigHdp,3k,528401,hdp.13,SBS22,0.989
mSigHdp,3k,528401,hdp.14,SBS41,0.994
mSigHdp,3k,528401,hdp.15,SBS44,0.995
mSigHdp,3k,528401,hdp.16,SBS13,0.997
mSigHdp,3k,528401,hdp.17,SBS18,0.998
mSigHdp,3k,528401,hdp.18,SBS40,0.999
mSigHdp,3k,528401,hdp.19,SBS7d,0.978
mSigHdp,3k,528401,hdp.20,SBS29,0.951
mSigHdp,3k,1076753,hdp.1,SBS1,0.999
mSigHdp,3k,1076753,hdp.2,SBS17b,0.999
mSigHdp,3k,1076753,hdp.3,SBS18,0.998
mSigHdp,3k,1076753,hdp.4,SBS4,0.999
mSigHdp,3k,1076753,hdp.5,SBS3,0.998
mSigHdp,3k,1076753,hdp.6,SBS28,0.984
mSigHdp,3k,1076753,hdp.7,SBS41,0.994
mSigHdp,3k,1076753,hdp.8,SBS2,1
mSigHdp,3k,1076753,hdp.9,SBS12,0.993
mSigHdp,3k,1076753,hdp.10,SBS17a,0.998
mSigHdp,3k,1076753,hdp.11,SBS5,0.999
mSigHdp,3k,1076753,hdp.12,SBS7c,0.999
mSigHdp,3k,1076753,hdp.13,SBS22,0.989
mSigHdp,3k,1076753,hdp.14,SBS13,0.997
mSigHdp,3k,1076753,hdp.15,SBS7d,0.977
mSigHdp,3k,1076753,hdp.16,SBS40,0.999
mSigHdp,3k,1076753,hdp.17,SBS44,0.995
mSigHdp,3k,1076753,hdp.18,SBS16,0.991
mSigHdp,3k,1076753,hdp.19,SBS29,0.951
mSigHdp,5k,145879,hdp.1,SBS1,0.999
mSigHdp,5k,145879,hdp.2,SBS2,0.993
