# Original paramaters
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS29","SBS30","SBS35","SBS40"
"prob",0.647435897435897,0.275641025641026,1,0.00320512820512821,0.00641025641025641,0.621794871794872,0.121794871794872,0.00961538461538462,0.016025641025641,0.00320512820512821,0.0512820512820513,0.394230769230769,0.00641025641025641,0.032051282051282,0.118589743589744
"size",1.24890442367744,4.17121747250642,4.26239366499487,1.02556593947049,38.2379114671947,3.48945689874895,2.96280622230382,7.86779104625676,2.19544204486887,1.0851372714742,1.17835624614449,4.2086174112853,10.9884300668214,1.66170240460205,3.63084862298283
"mu",124.509097246578,2862.64286089048,7483.89527003193,352,770.02140312917,2734.99016002194,1383.75365844174,230.654907617843,826.037558231858,1965,3147.30231502863,1319.56967842132,1300.98551646182,3827.20254351647,5374.05276661979
# Parameters derived from synthetic exposures
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS29","SBS30","SBS35","SBS40"
"prob",0.666666666666667,0.233333333333333,1,0.0166666666666667,NA,0.55,0.0666666666666667,NA,0.0166666666666667,NA,0.0333333333333333,0.4,NA,0.0333333333333333,0.116666666666667
"size",1.59995534682959,6.27072377089528,5.85059468682093,1.02556593947049,NA,7.04082181520023,40.4557223887237,NA,0.560829752773609,NA,4.04043918996577,3.01822443588983,NA,592045381.382714,9.31005018287263
"mu",121.84849279073,2843.65987060615,8030.71443914515,206,NA,2952.53205945996,991.495689590921,NA,492,NA,1935.11918590089,1193.14982648161,NA,2059.51870847911,4521.87737329193
# Some signatures not represented in the synthetic data:
# SBS9 SBS17a SBS18 SBS30 
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS4","SBS5","SBS6","SBS9","SBS12","SBS16","SBS17a","SBS17b","SBS18","SBS22","SBS29","SBS30","SBS35","SBS40"
"prob",-0.0192307692307692,0.0423076923076923,0,-0.0134615384615385,NA,0.0717948717948718,0.0551282051282051,NA,-0.000641025641025642,NA,0.0179487179487179,-0.0057692307692308,NA,-0.00128205128205128,0.00192307692307692
"size",-0.351050923152149,-2.09950629838885,-1.58820102182607,0,NA,-3.55136491645128,-37.4929161664199,NA,1.63461229209526,NA,-2.86208294382128,1.19039297539547,NA,-592045379.721012,-5.6792015598898
"mu",2.66060445584853,18.9829902843308,-546.819169113219,146,NA,-217.541899438017,392.257968850823,NA,334.037558231858,NA,1212.18312912773,126.419851939713,NA,1767.68383503736,852.175393327862
