# Original paramaters
"","SBS1","SBS2","SBS3","SBS5","SBS8","SBS13","SBS18","SBS26","SBS35","SBS39","SBS40","SBS41"
"prob",1,0.47787610619469,0.938053097345133,0.929203539823009,0.0265486725663717,0.47787610619469,0.176991150442478,0.00884955752212389,0.00884955752212389,0.00884955752212389,0.300884955752212,0.0265486725663717
"size",6.92627839000062,2.32236665276418,3.07867094127538,1.65849262640579,5.77348443724264,1.26038498411637,2.54278945194037,0.697469350387714,1.58376679079984,1.47672522529283,7.13124968660578,0.766751926040707
"mu",551.905247122294,303.962455678883,4693.12960741648,1821.64224680044,1757.65019516979,468.628295116131,758.841821038556,16961,1072,1189,4258.26718744795,3414.13670186303
# Parameters derived from synthetic exposures
"","SBS1","SBS2","SBS3","SBS5","SBS8","SBS13","SBS18","SBS26","SBS35","SBS39","SBS40","SBS41"
"prob",1,0.533333333333333,0.95,0.9,0.0333333333333333,0.5,0.133333333333333,0.0166666666666667,NA,0.0333333333333333,0.366666666666667,0.0166666666666667
"size",4.1718826904526,4.29929720189052,2.61247825209422,1.27148245800065,917.25832971293,1.60098365413679,3.13519645711548,0.697469350387714,NA,18.4160865296901,21.7591956779543,1.09405234392311
"mu",573.234796956579,319.10743153437,4849.00954865053,2151.35235361467,2619.5,436.737037303319,812.787008825057,5735,NA,567.082028677144,3971.69843523046,6734
# Some signatures not represented in the synthetic data:
# SBS35 
# Difference between original parameters and parameters derived from synthetic exposures
"","SBS1","SBS2","SBS3","SBS5","SBS8","SBS13","SBS18","SBS26","SBS35","SBS39","SBS40","SBS41"
"prob",0,-0.055457227138643,-0.0119469026548672,0.0292035398230088,-0.00678466076696165,-0.0221238938053097,0.0436578171091445,-0.00781710914454277,NA,-0.0244837758112094,-0.0657817109144542,0.00988200589970501
"size",2.75439569954802,-1.97693054912634,0.46619268918116,0.387010168405142,-911.484845275687,-0.340598670020419,-0.59240700517511,0,NA,-16.9393613043973,-14.6279459913485,-0.327300417882404
"mu",-21.3295498342852,-15.1449758554869,-155.87994123405,-329.710106814234,-861.849804830209,31.8912578128111,-53.9451877865008,11226,NA,621.917971322856,286.568752217491,-3319.86329813697
