"ex.sig","gt.sig","sim"
"W.1","SBS1",0.999977597783878
"W.2","SBS7d",0.999616814400131
"W.3","SBS28",0.977011719194217
"W.4","SBS7b",0.999633750072551
"W.5","SBS2",0.999640637775413
"W.6","SBS40",0.919402982044037
"W.7","SBS34",0.985621662788613
"W.8","SBS7c",0.999213973003363
"W.10","SBS26",0.993311650498781
"W.11","SBS7a",0.999998300835159
"W.12","SBS4",0.998997950136955
"W.14","SBS17b",0.999994623156761
"W.16","SBS5",0.923776898901709
"W.18","SBS36",0.990997749671033
"W.19","SBS13",0.999983376409604
"W.20","SBS17a",0.999805876344508
"W.22","SBS44",0.998330764815389
"W.23","SBS38",0.979371816125824
"W.25","SBS22",0.999079778358876
