Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID5 0.591),hdp.1 (ID2 1),hdp.2 (ID1 1),hdp.3 (ID5 0.996),hdp.4 (ID8 0.998),hdp.5 (ID6 0.999),hdp.6 (ID3 0.994),hdp.7 (ID9 0.999),hdp.8 (ID13 0.997),hdp.9 (ID14 0.919),hdp.10 (ID4 0.994),hdp.11 (ID11 0.989),hdp.12 (False Positive) (ID5 0.282)
DEL,C,1,0,0.0237286204322702,0.00260600784966478,0.000500057690336204,0.0187644949078145,0.0311048697698244,0.0287994650576551,0.110928873322622,0.344499257512481,0.0462977014341726,0.012565133645331,0.0102185485312807,0.00579044970221049,0.0278424567338853
DEL,C,1,1,0.0110203116104055,1.74529138605059e-05,0.000497373786774808,0.0286480699427008,0.0202301735504774,0.0058333131661204,0.215412968705395,0.0976739596899805,0.0127405076382864,0.00311593483779674,0.00196727666232406,0.00994509693663357,0.000857718972762748
DEL,C,1,2,0.00367735197685527,5.30425777686479e-07,1.92170770302185e-06,0.0274305085314365,0.00237738325536668,0.00797374936153785,0.202565707169957,0.00237809161252662,0.00675436198826828,0.000508854264151246,0.00330247955959786,0.00179264994495638,6.59101817026849e-06
DEL,C,1,3,0.00983321730800251,0.00148441146883708,0.00201606803581874,0.0136567337902096,0.00566010997555931,0.00148486954161943,0.0713444997289825,0.0115265672650514,0.00401305865656678,0.00115444059577739,0.00157273271634526,0.00196098783098559,0.0210981219608417
DEL,C,1,4,0.0201913883591098,0.00211682004270547,0.000965999892543557,0.00247822433820308,0.00127605866661384,0.00289787096397447,0.0453646394235529,0.0132746792867693,0.00394258375499285,0.00254083549357735,0.00244744904999682,0.00306050580686854,0.0293584933681813
DEL,C,1,5+,0.0709804981778109,0.0096149264216228,0.00349493687663943,0.00208041340431038,0.000570937300726388,0.00293424555450748,0.0258600996896858,0.000855957877192755,0.00122265718525434,0.00460516161173297,0.0024060885290157,0.000891480418626231,0.0124716729755577
DEL,T,1,0,0.0484977566872128,0.00381520573107395,0.0023466057951928,0.112698813252271,0.0311897555880619,0.00542344070984887,0.0250636289775859,0.107560609066488,0.036405975905409,0.0213743234349471,0.00729427262681386,0.0136988115693839,0.0240559738752017
DEL,T,1,1,0.00301607963533925,1.76051967194129e-07,1.61699404930568e-06,0.0973632935736591,0.00911530329008164,0.00170000484087268,0.00609852169413475,0.0371695054115666,0.546680565030126,0.000749140018158526,0.00327643902875851,0.00430596548203902,1.99328921939581e-06
DEL,T,1,2,0.0491616614694139,0.0044510644915176,0.0007141313901423,0.122675596621717,0.00755182733638981,0.0124540872786372,0.00589979783522714,0.0859395922374968,0.0172044762010806,0.00825903092375914,0.00490051591514604,0.0144803922688168,0.0708978856673524
DEL,T,1,3,0.12680299554568,0.0136775694483526,0.00238056012782899,0.0837204618448671,0.00853122454918509,0.0247417605798184,0.00852133302542397,0.103363708612271,0.0557817928902789,0.0166382354887213,0.00641619171623191,0.00375700880050635,0.032617948814527
DEL,T,1,4,0.189637210999686,0.0351563488915999,0.00596416897831139,0.0437127072239553,0.000724088988424966,0.0243027051013403,0.0102035113638196,0.0891406007383585,0.0127481909849951,0.0110128609665106,0.00409216952592287,0.00511340980095112,0.0394848781911728
DEL,T,1,5+,0.0425588461441961,0.874050651658629,0.0012357871345082,0.02594881169579,0.00965410463530278,0.00366178308636755,0.0089228640038117,0.00291176093375355,0.00562745296984702,0.0143227023261476,0.00172864003403192,0.00619179687710156,0.0130895126282968
INS,C,1,0,0.00017194789136759,1.63604453764808e-07,1.48777943223667e-06,0.000492597431119668,0.00267861752572264,0.00211224913302392,0.00273793768625901,0.000197119480813595,0.00299779261143858,0.621325346419266,0.000443143723749568,0.000753166315560695,2.02235271748452e-06
INS,C,1,1,0.00170320251827596,8.56266006576405e-05,5.25360636124292e-05,0.00111588676633708,0.00211950170707545,0.00178793905970783,0.00127487491134483,0.000208392654586773,0.00246960530928095,0.0188137780766321,0.000330915587581843,0.133970669291463,0.000787638081744485
INS,C,1,2,0.000403444561456798,6.36224134629012e-06,1.08583529248361e-05,0.00301684122580931,0.00144734901320814,0.000184359414422304,0.0019036174639563,0.000333917739184053,0.00197531996195139,0.000847975851172858,0.000202145445706856,0.0735080209550533,0.000152944208148566
