Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 0.999),signeR.2 (ID1 1),signeR.3 (False Positive) (ID2 1),signeR.4 (False Positive) (ID2 0.981),signeR.5 (ID5 0.969),signeR.6 (False Positive) (ID8 0.867),signeR.7 (ID3 0.996),signeR.8 (ID9 0.998),signeR.9 (False Positive) (ID14 0.857),signeR.10 (ID4 0.998)
DEL,C,1,0,0.00353286925865367,3.80713995203738e-06,0.00300979883530999,0.00750880652754058,0.0218019731009746,0.0296206635534446,0.111482823747361,0.360117454251036,0.000358362372249728,0.00938539859432852
DEL,C,1,1,7.03262925757947e-05,0.000535482605750673,1.51287438880331e-05,3.0974335795078e-05,0.024090004200727,0.00880174011473203,0.21135825755146,0.0978402076657575,8.68776778075217e-05,0.00139286404211297
DEL,C,1,2,1.06838949096392e-06,9.4081145000416e-07,1.52058389436124e-06,1.99709511418333e-06,0.018629804528973,0.00436301111122401,0.186286942130602,4.02222275834127e-05,0.000131608262860341,0.000203346323459861
DEL,C,1,3,0.00169022497807486,0.00183692395696903,0.00160892740108248,0.00402818050401015,0.0121608411154175,0.00159690388906701,0.0623035831651235,0.00975331940455687,9.71378145988886e-05,0.000998583297104765
DEL,C,1,4,0.00210738859034399,0.000614600080391374,0.00308875193031263,0.00645763410687185,0.00174317368893472,0.00185547532526877,0.0423944219996518,0.0115012806477784,0.000265238955444961,0.00136303823903691
DEL,C,1,5+,0.00772054169892964,0.00288426593119855,0.014320043710606,0.0236542640375848,0.00151308008642676,0.000971901723913374,0.0232845291762678,0.000144578680119311,0.000822901111523553,0.00204974581312784
DEL,T,1,0,0.00488052524717066,0.000629313627543484,0.00673120699663106,0.0148592754502275,0.101786705778331,0.0105913371401924,0.0373531649537461,0.111000609869908,0.00957717702544548,0.0036527702854668
DEL,T,1,1,9.55723012503148e-07,8.02676753643326e-07,1.29050667567859e-06,1.38464212862173e-06,0.141207506030925,2.23263103048942e-05,0.00401443913963474,0.032921256296258,4.93420933766752e-05,0.00321347813189716
DEL,T,1,2,0.00263495003718916,0.00115268969117942,0.00551928964942576,0.0104184357842761,0.101956082747175,0.00883685843894807,0.0180521563508841,0.080518318190945,0.00342185132908602,0.00014648911447135
DEL,T,1,3,0.00830886791675484,0.00257947339335844,0.0132142281473124,0.0348750422187504,0.0827820825109477,0.0144732228174358,0.0133289542084992,0.124454848487461,0.00465453829225913,0.000115381779634775
DEL,T,1,4,0.0174133791670236,0.00553038697343061,0.0478831640494886,0.0826070282318114,0.0420719827388885,0.0104935330278729,0.0127115625595408,0.0896452130709839,0.000388531189642672,0.000194510204486221
DEL,T,1,5+,0.878307056889112,8.42174750290365e-06,0.854382561841246,0.57514376559479,0.00868664980023233,4.19931838327916e-05,0.000115741081203163,5.49367304545934e-05,0.0029535189459595,0.000396350420682605
INS,C,1,0,8.91602846239515e-07,8.20008178121345e-07,1.16902750456082e-06,1.46584207819022e-06,0.000341438767758262,0.0017749229424558,0.00166741593946812,2.65775178024142e-05,0.37647071535388,0.00016290061764014
INS,C,1,1,0.000126206882685711,2.01969963587248e-06,0.000226347684120177,0.000371544809038166,0.00302099121072825,0.00158353247079672,0.00255527951365044,3.97708276334136e-05,0.0931474507570835,4.82672571042352e-05
INS,C,1,2,1.52614966278605e-05,1.92420523435884e-06,1.70619443298455e-05,1.21438260788844e-05,0.00412690350858635,0.000483361395884082,0.00246051865741494,0.000155002226227404,0.0440180220969692,7.17417272939166e-05
INS,C,1,3,0.000260326961292564,0.000723258208283029,0.00029140045367446,0.00102212409629227,0.000761966007565192,5.19347903589646e-05,0.00744468579194042,4.39013334069175e-05,0.0179097324399216,0.000316449967680069
INS,C,1,4,0.00121581326746653,0.0018101976585015,0.00192983119561046,0.00515430120010197,0.00020757371412629,0.00048736277112221,0.0065951345033337,5.03230067977165e-05,0.00612368417185795,8.82214056325602e-05
INS,C,1,5+,0.00463625532320815,0.0231901828002843,0.00892230199826904,0.0256798139368499,3.66885455076431e-05,2.48663817403105e-05,0.00786760738832503,6.12953855352316e-05,0.000320822326521961,0.000212449225944311
INS,T,1,0,0.000934806216249445,0.00214120598347873,0.000673587872947739,0.0029231770825884,0.00969160573249979,0.00535726388030683,0.0170571290344424,0.0127817353869068,0.0229099073755545,0.00205511539318746
INS,T,1,1,1.65099149064374e-06,6.7937783083143e-06,2.53134284130601e-06,5.68232037122939e-06,0.0149293687014466,0.00187535552701211,0.0546753398018665,0.00721500481261866,0.125661759251028,0.000324418438336993
INS,T,1,2,0.000302296404794193,9.8587534016248e-05,0.000545161492707144,0.00110594394369497,0.027387054338438,2.41483045241329e-05,0.0434430406696764,4.93934306634588e-05,0.0685990213040437,7.10078231234374e-05
INS,T,1,3,0.000977441053022117,0.00361095740547552,0.000544606886461126,0.00235629662301452,0.0176226585565052,0.000454178044873991,0.0279439563929206,6.21527913276836e-05,0.049280663799141,0.000197137435662446
INS,T,1,4,0.00273085231301379,0.0149390898309749,0.00164662265206483,0.00906773760965291,0.0119216342700532,0.00101207114930765,0.00834791520524355,7.99745882702255e-05,0.0280052579572732,0.000514909770955952
INS,T,1,5+,0.0248779664458267,0.89948442182665,0.000392384079935196,0.096905321585136,1.51948888120275e-05,0.00752213573162746,0.0150248026052034,0.000213543945888302,0.0547448360124666,0.0020910615062753
DEL,repeats,2,0,8.89462625552017e-05,0.000442107911829287,0.000116561973419521,0.000359948269028435,0.0282194853092552,0.00276619129028897,0.00738697970168426,0.0135466335569191,0.000122528691963539,0.0713201518103869
DEL,repeats,2,1,0.00138730881297224,0.00154099759100133,0.00242987659014266,0.00603932496202757,0.0210414873083166,0.0038352762359946,0.0096884942079544,0.00352692072268994,0.00252577649754113,0.227618497349438
DEL,repeats,2,2,0.00130500467402173,0.000533378548454801,0.00150279276960588,0.00256793553551075,0.00327017384008724,0.00131450129280136,0.0121021584784794,0.000160902455316526,0.00231968523324783,0.0514184630551228
DEL,repeats,2,3,0.000489306918282172,0.000384390192077882,0.000473058863046757,0.00122760389233554,2.03278691123125e-05,0.000255378684191484,0.00717758522784812,3.50505435632282e-05,8.76360034110773e-05,0.0112544691816672
DEL,repeats,2,4,0.000501491416651518,8.34533209187486e-05,0.000515530454185094,0.00154966255296122,0.000731003434221214,0.000190252341262952,0.00274597574356791,0.000156665422294226,8.42987220508626e-05,0.00328325375468316
DEL,repeats,2,5+,7.77688298300032e-07,8.31837177070003e-07,1.16954123699411e-06,1.52543652730938e-06,0.0221399323762079,8.14896196749114e-06,0.000231959596323651,2.54544099290883e-05,0.00172372638908098,0.000623970490255717
DEL,repeats,3,0,1.94267389266912e-05,9.77578801582283e-05,3.65014741685987e-06,1.34926438934916e-05,0.0175465363199377,0.00445308843055602,0.00150910468288526,0.00340101679606374,0.0010964426281279,0.00461682398506355
DEL,repeats,3,1,0.0036311330876055,0.00430925751575933,0.00408099777406978,0.00901469422099976,0.00402853747424521,0.0035478093774596,0.000174465322599675,0.00366781302851972,0.00173783972165931,0.101208272184909
DEL,repeats,3,2,0.00146665747002251,0.000559813935675949,0.00185455395963704,0.00378257978260862,0.000723285428883777,0.000541971395692536,8.99885564180605e-05,0.000856555028076127,0.000658714855139709,0.0190244764387131
DEL,repeats,3,3,0.00028446605018667,0.000301477053589082,0.000386820339940147,0.000620022180835098,0.00065208960953423,2.27776761881343e-05,3.62224550890019e-05,7.26051155007993e-05,0.000418320849086544,0.00466260737143477
DEL,repeats,3,4,7.84717111997131e-07,7.54362622769331e-07,1.17382669424358e-06,1.50443173557452e-06,0.00589159700140863,5.86183700135382e-06,0.000119235711365965,2.34524609338938e-05,0.000533016778051593,0.000282081828166199
DEL,repeats,3,5+,7.6419379563863e-07,7.16819336773018e-07,1.18329752118635e-06,1.59912688190141e-06,0.00837390218918776,1.52599878643449e-05,8.86310017666371e-05,1.85964754262723e-05,0.000289805206591963,7.18069505008811e-05
DEL,repeats,4,0,1.11649962336301e-05,4.77229689849143e-05,1.45028894379609e-05,3.07863653637774e-05,0.0110429968768392,0.003466769538826,0.000619613384079016,0.00262905114936393,9.33287835120318e-05,0.00838847589683225
DEL,repeats,4,1,0.00139586541109818,0.000713939831965621,0.00138859425732571,0.00347732450974222,0.0017832553055627,0.00208810030469259,0.000449449435941904,0.00340524070403378,0.000264265276601445,0.0659732386517138
DEL,repeats,4,2,0.00024728890691651,2.97129770040501e-06,0.000361641796234815,0.00102618548366833,4.61048946658264e-05,0.000405734558340704,7.89178276485778e-05,0.000681671056994299,0.000317450762962693,0.0139891827311563
DEL,repeats,4,3,7.07125039250734e-06,1.11409947765016e-06,1.56561668575962e-06,2.04295556082902e-05,0.00361860612971349,0.000107275703040054,3.41942937845362e-05,3.75921774937108e-05,0.000129976873531936,0.0039332095393908
