Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (False Positive) (ID2 1),signeR.3 (ID1 1),signeR.4 (False Positive) (ID2 0.966),signeR.5 (ID5 0.983),signeR.6 (False Positive) (ID2 0.847),signeR.7 (ID8 0.998),signeR.8 (ID3 0.998),signeR.9 (ID6 1),signeR.10 (ID14 0.999),signeR.11 (ID9 0.999),signeR.12 (ID4 0.992)
DEL,C,1,0,0.00411262214311769,0.00602192256551362,3.47469674501895e-06,0.00301930148950274,0.0249034249087238,0.00271891163679426,0.0432827437561058,0.115431725476407,0.0336313636812251,0.00932996459603784,0.352397460882247,0.0132907244669542
DEL,C,1,1,1.57646331345019e-05,6.75395378306813e-05,0.000540913479215285,6.49608924730732e-05,0.0232308728259047,0.000297859332511933,0.0230345259786927,0.204206144765345,0.00565024632455423,0.000920418615529836,0.104450769113087,0.00236049359063857
DEL,C,1,2,1.65858112906797e-06,2.06492182207284e-06,1.0550286536681e-06,3.07189411702649e-06,0.0207734026726427,4.36560628745325e-06,0.00078994470106719,0.173402766736338,0.00743973792100526,0.000319367198459413,7.66103307735731e-05,0.000854359007070905
DEL,C,1,3,0.00234060623251097,0.00260923735529037,0.00196423906851136,0.00224120943314775,0.0118641043300234,0.00221935129353094,0.00460398129858585,0.0633757123548758,0.000926494948725795,0.000422976816624902,0.0108776590613412,0.000598296566519019
DEL,C,1,4,0.00369089319872738,0.00398694749489993,0.00063137683762691,0.00310885959535998,0.00258096583069666,0.00272468717093278,1.21858801097744e-05,0.0419010651616885,0.002503569446579,0.0019615688325176,0.0136093315898808,0.00125095949478627
DEL,C,1,5+,0.0146066984606887,0.0141000026007598,0.00360899283057592,0.0123702415094888,0.00176538147848864,0.0105505262425638,3.69136045592087e-05,0.0218949389974707,0.00111721487081522,0.00248156489446597,3.90252965540418e-05,0.00209712022965167
DEL,T,1,0,0.0079687770050135,0.00753804676251083,0.000870545753630094,0.00669572038374351,0.0973728628848327,0.00578029670110678,0.0342529814124809,0.0395604481503597,0.00478965428244762,0.0180304517280512,0.1116726627884,0.00533912389574676
DEL,T,1,1,1.71185803276837e-06,1.85145513044493e-06,1.19208444869876e-06,3.38370519722067e-06,0.147706912772877,3.85577152429103e-06,0.00811778925567433,0.0060675683463593,5.55006019273159e-05,0.000146388758165012,0.0332185657951392,0.0419343265029229
DEL,T,1,2,0.00700012451392707,0.0068847165306845,0.000818544460047489,0.00580356037840566,0.106207281905927,0.00492660618288254,0.00743039510928296,0.019985935337454,0.0124251140675558,0.010708714333533,0.0909142188272909,0.000175316277918748
DEL,T,1,3,0.0200784827920985,0.0198226351317142,0.00184914993971964,0.0165642070450251,0.0872664404446411,0.0138002897232728,0.00843837808439871,0.0207675496476308,0.0234794370369967,0.0171252183438633,0.119209209224905,0.00126268241449501
DEL,T,1,4,0.0473638730335495,0.0463584098560951,0.00409364383450001,0.038710083683203,0.0487222894885556,0.0317482719690612,8.1863242407978e-06,0.0169326265163639,0.0187985461082559,0.0143190260369874,0.100113222310286,0.000378713572686915
