Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15
DEL,C,1,0,0.00247827371732635,0.0109692289354676,0.0155730600840413,0.0134048533476402,0.0189617997750176,0.0174124259534797,0.0516154709272774,0.00305138508359147,0.00760463640188054,0.0233645672165916,0.041261819792128,0.289265941769228,0.00618735873729419,0.00671599317017644,0.0831503841931943
DEL,C,1,1,0.000407421632765839,0.000608683764919949,0.0283821797423271,0.00690932520462235,0.0308258822903085,0.0241418321352404,0.00149799085093936,0.00237638171661517,0.041556574878407,0.00332620574958422,0.00153689859074214,0.0837455689648305,0.000292447745854553,0.000308968208797463,0.00137211855104281
DEL,C,1,2,8.72901254484848e-06,5.06324553449522e-05,0.0155362912998051,0.00732675298371665,0.0253664290236483,0.0209717979546,8.91889559138032e-05,0.00021468242880604,0.0166724480231451,0.0200513997299631,1.30245643283232e-05,0.0229816385868483,2.5066949644676e-05,0,0
DEL,C,1,3,0.00264036479691177,0.00511274160056809,0.0121853000702784,0.00122575117101112,0.0142526885963364,0.0139183458712455,0.00937443058126265,0.0236536617626071,0.0116297520905139,0.0259997450295244,0.013337153872203,0.0446011072609233,0.00409426844196375,0.00452069273924709,0.0485729967069155
DEL,C,1,4,0.00220779824506748,0.0150086298243092,0.00616952573563303,0.00118605765383874,0.00329438140795661,0.00260046377732969,0.016622711536064,0.00210380739689515,0.00306750164215126,0.00206149424288256,0.0117742061528042,0.0570836818417175,0.00881938844998517,0.0136759086104561,0.00548847420417124
DEL,C,1,5+,0.00799610864399192,0.0359219803948439,0.00186307232396838,0.00108464193933937,0.0016031727846542,0.00291910178484642,0.23488918511983,0.00882891539140346,0.00270309167263253,0.00366664928231606,0.17577952017505,0.040793404229896,0.0304981220676891,0.0355963899504025,0.00192096597145993
DEL,T,1,0,0.0059350987902389,0.0394783316660679,0.0716692998444036,0.0102715441539234,0.0922718341485712,0.116840392972414,0.0967604269561631,0.00986855726573383,0.0157046858509296,0.00344499881206938,0.066529474589075,0.040156131756084,0.0233164409944895,0.0311732661191967,0.0101536772777168
DEL,T,1,1,7.62798280332931e-06,7.04982233605943e-05,0.00598525427044927,0.0021009635505289,0.0636236002653447,0.100472668274186,0.000225369942362836,0.000198199320976363,0.00601045810484674,0.160405403056169,1.30245643283232e-05,0.0106902457481977,3.7600424467014e-05,3.25229693471014e-05,0.000274423710208562
DEL,T,1,2,0.00577693850871591,0.0185974313225248,0.0186838044720248,0.0127228719422202,0.0844706363686574,0.0778436257626086,0.0108417327591994,0.00840799310121633,0.00777346431180947,0.104971055056238,0.00694209278699628,0.00223841956426495,0.0134066402349609,0.0158061631026913,0.0963227222832053
DEL,T,1,3,0.0124775840908012,0.0890634990755684,0.302658366656277,0.0102774440698444,0.153171233839722,0.0565083378880328,0.0841579315834396,0.00639303367579335,0.259413770453086,0.010046705955299,0.0506785798015056,0.00614967937228661,0.0518802301145977,0.0679079599967477,0.0148188803512624
