Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.94),ID83D (ID8 0.99),ID83E (ID3 0.986),ID83F (ID6 0.998),ID83G (ID9 0.994),ID83H (ID4 0.987),ID83I (ID14 0.987)
DEL,C,1,0,0.00239105,1.039e-05,0.00637259,0.03344351,0.09491461,0.02628504,0.33577968,0.01552796,0.00334142
DEL,C,1,1,1.9e-06,4.578e-05,0.0071299,0.01925566,0.22431772,0.00234818,0.08742747,0.00129239,0.00011335
DEL,C,1,2,0,0,0.00790347,0.00074066,0.20104041,0.00336709,0.00125881,0.00157638,0
DEL,C,1,3,0.00239216,0.00201395,0.00682275,0.00549446,0.07217723,0.00013663,0.01052664,0.00111965,0.00052917
DEL,C,1,4,0.00370204,0.00067104,0.00024197,0.00128982,0.04255185,0.00165489,0.01346588,0.00230141,0.00131118
DEL,C,1,5+,0.01546574,0.00261098,0.00013033,0.00253676,0.02534726,0.0009444,0.00050628,0.00270434,0.00357298
DEL,T,1,0,0.00677795,0.00158729,0.11004998,0.04079678,0.03011614,0.00220185,0.11821302,0.0075529,0.01638025
DEL,T,1,1,0,0,0.20492747,0.02715476,0.00367497,0.00011463,0.00634989,0.02397695,1.622e-05
DEL,T,1,2,0.00732333,0.00029097,0.12458077,0.01331513,0.00789677,0.00853328,0.09335803,0.00457786,0.00604671
DEL,T,1,3,0.02022157,0.00201809,0.10153196,0.01309097,0.00805722,0.01956887,0.11495391,0.00790311,0.01298454
DEL,T,1,4,0.04722553,0.00444093,0.04902485,0.0114578,0.00749358,0.01472734,0.10615545,0.00714142,0.01091749
DEL,T,1,5+,0.81663636,0.0002889,0.00496271,0.00033535,0.00116325,0.00012913,0.01108162,0.00123642,0.06713209
INS,C,1,0,0,0,4e-08,1.1e-07,1.4e-07,2e-08,2e-07,1.2e-07,0.51544768
INS,C,1,1,0.0002238,3.32e-06,0.00580443,0.00238416,0.00611567,0.00141285,0.00079308,0.0002329,0.0141242
INS,C,1,2,2.265e-05,2.93e-06,0.00557723,0.00192876,0.00394902,6.189e-05,0.00071173,0.0001882,0.00049108
INS,C,1,3,0.00041361,0.00079628,0.00059615,0.00039673,0.00842698,6.8e-07,0.0001322,0.00066631,0.00072692
INS,C,1,4,0.00287599,0.00148068,1.11e-06,0.00114147,0.00792967,0.00025071,0.00012797,0.00019086,0.00075154
INS,C,1,5+,0.00874821,0.02250437,1.347e-05,0.01058128,0.00820893,3.406e-05,0.00029047,0.00216537,0.00244856
INS,T,1,0,0.0010912,0.00232137,0.01179872,0.00543321,0.01608772,0.0060399,0.01336444,0.00577711,0.03710891
INS,T,1,1,1.6e-07,4.27e-06,0.01399201,0.00544195,0.06155376,0.00027737,0.00617263,0.00079988,0.00284541
INS,T,1,2,0.0006331,2.957e-05,0.02875009,0.00253466,0.05489878,0,0.00388335,0.0009035,0.00144597
INS,T,1,3,0.0011547,0.00372148,0.02275279,0.00366957,0.03072436,2.517e-05,0.00264493,0.00113554,0.00025256
INS,T,1,4,0.00374151,0.01520597,0.01455262,0.00676864,0.00833187,0.00047408,0.00334065,0.00192132,0.00482058
INS,T,1,5+,0.00297698,0.902987,0.00044883,0.01861108,0.00213468,0.00580213,0.01010939,0.00702673,0.17068264
DEL,repeats,2,0,3.746e-05,0.00019004,0.02528248,0.00897241,0.00899079,0.00041172,0.01338979,0.08832052,0.00187852
DEL,repeats,2,1,0.00310608,0.00020918,0.01340182,0.00817971,0.01188409,0.0006694,0.00228623,0.18832087,0.00879997
DEL,repeats,2,2,0.00177202,0.00045361,0.00194748,0.00038257,0.01251997,0.00156525,0.00019413,0.04362103,0.00279038
DEL,repeats,2,3,0.00094912,0.00015987,0,3.935e-05,0.00590506,0.00034981,1.204e-05,0.00958322,0.00032584
DEL,repeats,2,4,0.00091202,6.61e-06,0.00032804,0.0002721,0.00316865,0.00013681,0.00026843,0.00320084,0.00036416
DEL,repeats,2,5+,0,1e-08,0.02240566,0.00212286,0.00025383,3e-08,0.00269606,0.00159259,0
DEL,repeats,3,0,1.864e-05,2.864e-05,0.0173545,0.01312126,0.00164332,0.00148941,0.00283149,0.00504751,0.00153211
DEL,repeats,3,1,0.00464327,0.00435107,0.00051226,0.00333267,1.771e-05,0.00370223,0.00174874,0.09912098,0.00588078
DEL,repeats,3,2,0.00212908,0.00060599,0.00043295,0.00056501,4.78e-06,0.00049335,0.00062656,0.01324157,0.00167023
DEL,repeats,3,3,0.00051781,0.00032692,0.00035099,0.00053222,4.031e-05,0.00012937,0.00026305,0.00363483,0.00038444
DEL,repeats,3,4,0,2e-08,0.00595518,0.00042824,6.42e-06,2e-08,0.00063387,0.00055162,4.5e-06
DEL,repeats,3,5+,0,1e-08,0.00869903,0.00074426,0.00021042,4.946e-05,0.0010234,0.00049586,2.803e-05
DEL,repeats,4,0,2.18e-06,6.134e-05,0.0115526,0.00703289,0.00021953,0.00258855,0.00159673,0.00578475,0.00025689
DEL,repeats,4,1,0.00197649,0.00054749,0.00015693,0.00104661,0.00099048,0.00237468,0.00263924,0.05362094,0.00111037
DEL,repeats,4,2,0.00045655,0,8.45e-06,2.867e-05,0,0.0004972,7.008e-05,0.01037,0.00064966
DEL,repeats,4,3,2.7e-07,0,0.00375911,0.00025647,1.743e-05,0.00011282,0.00037185,0.00371543,7.098e-05
DEL,repeats,4,4,0,4e-08,0.00481727,0.00044958,0.00013445,1.713e-05,0.00053026,0.00025203,0
DEL,repeats,4,5+,0.00018332,2.868e-05,0.00148174,0.0001428,8.049e-05,7.673e-05,0.00016396,0.00073801,5.22e-05
DEL,repeats,5+,0,0,0,0.01760186,0.25584387,0.00146557,0.03233629,0.00161349,0.00268097,0.00060731
DEL,repeats,5+,1,0.00317007,1.34e-06,0.00017053,4.9e-05,1.8e-07,0.00698227,0.00026052,0.01183038,0.0005953
DEL,repeats,5+,2,0.00042925,9.018e-05,0.0002479,0.00032626,1.958e-05,0.00044817,8.715e-05,0.00270028,3.93e-05
