Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 1),hdp.2 (ID1 0.999),hdp.3 (ID6 1),hdp.4 (ID5 1),hdp.5 (ID11 0.992),hdp.6 (ID13 1),hdp.7 (ID9 1),hdp.8 (ID8 1),hdp.9 (ID4 0.999),hdp.10 (ID3 1),hdp.11 (ID14 1)
DEL,C,1,0,0.0046947909119305,0.000584129565240183,0.0312243707484522,0.022461812212327,0.0101045408103504,0.0639775015163106,0.336149564336726,0.0411171054676715,0.00741801336052348,0.123957157756587,0.0121508037518148
DEL,C,1,1,4.24339904993297e-05,0.000867134287246719,0.00563195606705969,0.0283438471193094,0.00797130507921522,0.0174455698888298,0.100722941508283,0.0243770025926136,0.00285408620522799,0.206064106835031,0.00201813949068911
DEL,C,1,2,8.04685053112444e-07,5.19538561111881e-05,0.00800718721092906,0.0263860926327164,0.00614196963616318,0.00524736063064668,0.00255545225269745,0.00313679457680835,0.0021032089143913,0.173886089252257,0.000667711909808367
DEL,C,1,3,0.00245508697408543,0.00198835997461469,0.00118402079947156,0.0140113976893995,0.0032776845882534,0.00550407740665396,0.0109348099130619,0.0054148580937601,0.00117473299567814,0.063146707055105,0.000485731589026656
DEL,C,1,4,0.00376476312049286,0.00089462813902333,0.00251218676489942,0.00279227325185397,0.00175520322070524,0.00444360279416193,0.0130498586254254,0.00107572669271426,0.00101145197368772,0.0433817709226059,0.00206410622177154
DEL,C,1,5+,0.0143046718718643,0.00405445895150598,0.00124204077434747,0.00247313895503911,0.00169824478893738,0.00103159871866453,0.000298761217970112,0.000980984814041737,0.00231301856533941,0.022096071935404,0.00234154220447519
DEL,T,1,0,0.00772675075557454,0.00195021157338348,0.0043206942152338,0.101862283961165,0.0142126578992157,0.0531916495800828,0.105480215365718,0.0348790669650944,0.0068248307840647,0.0379841841628484,0.0186313760064433
DEL,T,1,1,1.51153414689047e-06,7.91510852309826e-05,0.000476045124001311,0.106635496376661,0.0119651654882928,0.494676743796254,0.0443123178514051,0.0107525817226071,0.00200775342158828,0.0139564811518474,0.000900217578829361
DEL,T,1,2,0.0068528284300843,0.00157192733536356,0.0115147022164818,0.114492463981846,0.0138812847741486,0.0239339654438443,0.0861498547110289,0.0095269168242192,0.00260890617985926,0.0171388321831271,0.0109575310561867
DEL,T,1,3,0.0197580145158513,0.00343244237664787,0.0221718827498171,0.0893385341369636,0.01096296894218,0.0621065689112711,0.113643677846228,0.0102957987675314,0.00141156946134797,0.0206633645249892,0.0173618942438876
DEL,T,1,4,0.0459784624447058,0.00666848645992523,0.0177967320732796,0.0526332500144961,0.00812542481932689,0.0227527931527583,0.0946683657711599,0.00149893895625789,0.00158694218259221,0.0161874478169431,0.0134706246313583
DEL,T,1,5+,0.793099728587797,0.0435341952900589,0.00774194162809169,0.0309405652569884,0.00984800567984567,0.00622532252476016,0.0021181560945154,0.0101785986909114,0.00288770457571872,0.00844646617317526,0.038023134212855
INS,C,1,0,3.33103159189999e-07,9.7982077997705e-06,0.00199716527705151,0.000301571071659879,0.00158887623523534,0.00269206341255384,8.2443675493065e-05,0.00283236122685362,0.000130452489336938,0.00238831964754933,0.462066689977961
INS,C,1,1,0.000212234687638906,2.97992121572676e-05,0.00181818728690901,0.00150085649821014,0.129259436612362,0.00169644393901155,8.47666699173504e-05,0.00197499911426546,0.000260976782113625,0.00190705185060061,0.0128906114469954
INS,C,1,2,1.97507128527021e-05,1.57920311409512e-05,5.97183746193588e-05,0.00338588916894113,0.0741175056891122,0.000762750509644703,5.34741248967003e-05,0.00129982359377026,0.000110950675100967,0.00187294101557956,0.000587519113500377
INS,C,1,3,0.000439679410223418,0.000693370234616236,1.71298722590832e-05,0.000524915777365747,0.0288661358963356,7.66663875132619e-05,2.10653358020429e-05,1.44637324683564e-05,0.00029954958994707,0.00660681309888981,0.00163084326360876
INS,C,1,4,0.00288265441824255,0.00175353029517945,0.000230141848262647,9.05976262715423e-05,0.0104475199674069,4.5466191759605e-05,6.45611437398807e-05,0.000147356562358202,5.36371694928955e-05,0.00744382686803324,0.00162079487303745
INS,C,1,5+,0.00942816187365816,0.0234326602863345,0.000326936740798817,0.000394793905800774,0.00290893167547266,0.00115893725990465,0.000411433989737644,0.000520752671555399,0.000690820893830185,0.0073238006939646,0.00212495525895395
INS,T,1,0,0.00135647609277942,0.00223535970661896,0.00640953139991026,0.00635694466765382,0.00248133827168252,0.0406771218036431,0.0126588715119353,0.00442327384984595,0.000841407067672889,0.0185493999722095,0.0330766621351745
