Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID6 0.997),hdp.2 (ID4 0.994),hdp.3 (False Positive) (ID5 0.926),hdp.4 (ID13 0.998),hdp.5 (ID3 0.971),hdp.6 (ID2 1),hdp.7 (ID9 1),hdp.8 (ID1 1),hdp.9 (ID14 0.979),hdp.10 (ID8 0.987),hdp.11 (ID11 0.977),hdp.12 (False Positive) (ID5 0.127),hdp.13 (False Positive) (ID3 0.935),hdp.14 (ID5 0.998),hdp.15 (False Positive) (ID5 0.92)
DEL,C,1,0,0.0301204365967376,0.0117157735713217,0.0151811390738082,0.0470962638094795,0.138380787506372,0.00425628277348229,0.333748639576375,0.000484308337351754,0.0103776410089603,0.0338231769919862,0.0081285533401669,0.00316800227836254,0.0668284569421128,0.0245560941307772,0.0188898307922918
DEL,C,1,1,0.00612104064128124,0.0023968244389663,0.0310509315552615,0.0141493373824171,0.14748024197764,4.44786119030763e-05,0.0975368439268375,0.000568428195114162,0.002475336944307,0.0194560791485389,0.00897614887521603,0.00417670996431072,0.319896929216905,0.0280875563879692,0.0291585109007276
DEL,C,1,2,0.00826968431251601,0.00326317376715138,0.0227239209024738,0.00702434673032168,0.21795290036873,4.16595967849432e-06,0.00242627087527098,6.63993386630186e-06,0.000369253190100626,0.00268907090058612,0.00296677466247011,0.000119413570496864,0.135093780987575,0.028842790179123,0.0263779105142002
DEL,C,1,3,0.000896811916885012,0.00173006323659795,0.0117735940203936,0.00447805034557012,0.0708497614314553,0.00237954317381588,0.0108991967626481,0.00185791349584375,0.000838699642373999,0.00563284646365104,0.00234873578510022,0.0140978866390212,0.0552436222086698,0.0135248763460147,0.0155529953763771
DEL,C,1,4,0.00260553421473799,0.00251988057355719,0.00149226846984954,0.00412149511157135,0.0432464826593841,0.00354122450004462,0.0130613882068187,0.000788481625031407,0.00181819004254153,0.00108716969983057,0.003286976425176,0.00631656312882218,0.0402347723760897,0.00298839090051885,0.00358098086514565
DEL,C,1,5+,0.00185718675891089,0.00228823316517059,0.00149807703072854,0.00136040218653748,0.0256642886886495,0.0140574641879144,0.000639034486215695,0.00265230879511331,0.0033825249421699,0.000588799371872588,0.000751040252762163,0.0197134350808383,0.0219774618525581,0.00237130815874593,0.00341901018881502
DEL,T,1,0,0.00300311247842719,0.00798759795413561,0.0656667178161183,0.0400901352298001,0.0285040885555364,0.00686366461639834,0.105902120892118,0.00142163973288771,0.0197035714590456,0.0289703409665127,0.0167829557472567,0.0109231446656524,0.0350841823233262,0.0903409057339213,0.191785292203642
DEL,T,1,1,0.000912355543071487,0.00340000595964244,0.0969580732825453,0.520278738117937,0.00807364276094605,4.03242184932502e-06,0.0389039885563572,7.73094201498237e-06,0.000579683713742525,0.0107644309943833,0.00912524652882865,9.52197935510451e-05,0.0208205937581113,0.111933521062031,0.0752315234711689
DEL,T,1,2,0.00964149563570281,0.00578378806553151,0.203039554777663,0.0184550072561221,0.0114916781255699,0.00690249468327545,0.0844993517525115,0.000317700277930603,0.00804325930964108,0.00889302409708298,0.0198939253026576,0.0115104486010121,0.00872918448640142,0.107533267809664,0.0861593686188789
DEL,T,1,3,0.0213299461419478,0.00673665702692007,0.0749581423073889,0.0554950997770621,0.0158072515483807,0.0175325369915296,0.105571614424191,0.0020045305305821,0.0157629825887221,0.0102026998480303,0.00540467800828191,0.0117229218064042,0.0101198848892595,0.0844139098204159,0.0741244391302996
DEL,T,1,4,0.0169266822299188,0.00421029272176421,0.0298500614381586,0.014724624029371,0.0135857448412914,0.0462499565082011,0.0967199229003854,0.00407688809891793,0.0106222334667496,0.00164624160233568,0.00779391193983637,0.0363226357668356,0.0153097245072355,0.0534104740048197,0.0451913726780924
DEL,T,1,5+,0.00313130006195214,0.0020775642971298,0.024155631469887,0.00646044126364439,0.00852002877859889,0.810292742575436,0.00443253579054695,0.000936660171927172,0.0459509575262195,0.00925662497954623,0.00872498872868751,0.0132875679240288,0.0135306455974426,0.0276333982946588,0.0313671129214692
INS,C,1,0,0.00223741719237095,0.000395462705590818,0.000513040807339985,0.00284747422433771,0.00262704334710918,3.23855522709806e-06,0.000203337535748938,6.46403443184595e-06,0.53049921555029,0.00266685275226482,0.000705796054871608,0.000136089995320232,0.00230053150190565,0.000429313771452778,0.00065626462795176
INS,C,1,1,0.00176208367420941,0.000426878107193603,0.00106766532797504,0.00237186069067674,0.00133091582196907,0.000186706914758083,0.000208119200687055,5.30978881777209e-05,0.0151381162988202,0.00219454375167044,0.120907182658573,0.000446980029074007,0.00139419624847221,0.001224010871623,0.00123871511820988
INS,C,1,2,0.000147892758542337,0.000272780920399392,0.00219285135893375,0.00191825559183361,0.00217004519489993,1.28343523058308e-05,0.000376301050772714,8.75612276794625e-06,0.000653456220345401,0.00103329142780574,0.0662673700165648,0.000142397658595392,0.0010975546949277,0.00310876106529659,0.00361897891439818
INS,C,1,3,9.70372211340467e-05,0.000958064931053076,0.000482416266687326,0.000377933676078989,0.00580993918680639,0.000357801469772025,0.000221874170007758,0.000829448927057479,0.00081650415160538,0.000228492115978218,0.0264537967079462,0.00596886399157227,0.00676441984333757,0.000438033300378975,0.000200016622283899
INS,C,1,4,0.000438313924100989,0.000110537890672905,0.000298084179113076,0.000328556704298543,0.00827432430746122,0.00259891533425092,0.000360874342553338,0.00141790267925875,0.00083686972233842,0.000237948844446978,0.00783163409394106,0.0183012097579724,0.00563120255274931,0.000107492725978313,0.000259685267692771
INS,C,1,5+,0.000342661411007916,0.000887208076723059,0.000267479576312404,0.00101063228415548,0.0101824951582136,0.00831692631835774,0.000797155172414853,0.0212457757804772,0.00224042867007683,0.000903423695312175,0.00129166476283589,0.19306487111975,0.00732166757502045,0.000196912835902429,0.000350066341986286
INS,T,1,0,0.00692094526942211,0.00371907143979121,0.00576588058384384,0.0395004310441294,0.0177304230498079,0.0011723359626301,0.0136908286326637,0.00234230600593101,0.0389544947205265,0.0045039808530017,0.00417665958616984,0.0120974933173332,0.0218301061611272,0.00539008038512795,0.00469063566228788
