Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID2 1),W.2 (ID6 0.995),W.3 (False Positive) (ID5 0.455),W.4 (ID4 0.999),W.5 (ID8 0.991),W.6 (ID11 0.996),W.7 (ID13 0.985),W.8 (ID9 0.992),W.9 (ID3 0.992),W.10 (False Positive) (ID14 0.888),W.11 (ID1 1),W.12 (ID5 0.985)
DEL,C,1,0,0.00433151116966744,0.0222523477062428,0.0146197154433073,0.00165249014037503,0.0352541273441594,4.18909759347242e-209,5.44395659303679e-58,0.4013397785512,0.120679828843091,0.00752635676063427,1.70070778983433e-240,7.86903037026426e-19
DEL,C,1,1,7.12188104918928e-125,0.00199353280189929,0,4.78436858266296e-176,0.0211994094520505,4.13924566768073e-231,3.4918621441914e-159,0.108166105397464,0.238412042939456,0,0.000665584910117804,0.0191540748075314
DEL,C,1,2,0,0.00607475011947346,0,0,2.94074170510836e-196,0,0.000100091882495928,0,0.207170546706834,0,0,0.0231060559954442
DEL,C,1,3,0.00247052132826393,0,0.0140083430091004,0.000236268472858325,0.00502981649437879,5.96731141102266e-250,0.00196232532300286,0.0110695365528865,0.0749893948078178,0,0.00149084790870774,0.0127796300328876
DEL,C,1,4,0.00360410889683592,0.00203534551856079,0.0231271590002378,0.00171095699649288,7.29446252852944e-154,0,0.00162099053347319,0.0110087526006441,0.0486938287808331,0.00102801775734531,0.00059044543343177,6.50423972828186e-202
DEL,C,1,5+,0.0142693547424678,0,0.0832352328963384,0.00173769150103975,0,0,0,0,0.0238160937369592,4.10751467127487e-208,0.00197284903252111,3.87170633775874e-172
DEL,T,1,0,0.00724881589590151,4.80539990278237e-160,0.060643452371473,0.00494360129984477,0.0394498290629278,1.00050635233649e-292,0.0369906363397393,0.106661655808322,0.0329719734123358,0.0188318929288244,0.000969560901255707,0.118365328211903
DEL,T,1,1,0,0,0,0,1.47991310677625e-167,0,0.717372146303926,3.54130598458325e-204,2.03392657051246e-28,0,0,0.0994638170455094
DEL,T,1,2,0.00710540173164567,0.0105396003350749,0.031521988836012,1.66881943736643e-308,0.00614309360839283,0,1.67450613858103e-33,0.0939607210850178,0.0130960337180453,0.0111847771417974,0.000482337319436199,0.139522054240096
DEL,T,1,3,0.0189603454579789,0.0198031520785039,0.146237868260061,0,0.00383542284780675,2.51367795047822e-171,0.0516203456524051,0.122527006858015,0.0101139750810246,0.0187773047153188,0.000724389587020568,0.0999246887528902
DEL,T,1,4,0.0434134199423378,0.0115264091413794,0.363884427618895,4.45296773577457e-126,1.36175158614635e-277,3.25438478527025e-283,5.9076038301269e-31,0.0917430107762926,0.00479097258520248,9.27994357390462e-09,3.97746529261464e-69,0.0501208830043869
DEL,T,1,5+,0.820598272943446,5.87164080191302e-66,1.87137927009734e-118,9.62124807931686e-146,1.50046157823591e-50,2.94724354813386e-245,4.3390574135267e-66,6.22047614545226e-121,7.65103127488885e-17,2.38323538300563e-117,0.00174749809040965,0.0155274585552089
