Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID6 0.998),hdp.2 (ID8 0.974),hdp.3 (ID2 0.999),hdp.4 (ID1 1),hdp.5 (ID14 0.921),hdp.6 (False Positive) (ID8 0.964),hdp.7 (ID9 0.998),hdp.8 (ID13 0.999),hdp.9 (ID11 0.999),hdp.10 (False Positive) (ID5 0.921),hdp.11 (ID4 0.998),hdp.12 (ID12 0.994),hdp.13 (ID10 0.987),hdp.14 (ID5 0.953),hdp.15 (ID3 0.978),hdp.16 (False Positive) (ID3 0.964)
DEL,C,1,0,0.0308077463989503,0.0401330805400433,0.00391928075702588,0.000364716041546121,0.0126993442629057,0.0385035000200149,0.32532954250845,0.051074869434063,0.00289971991797551,0.0178641572511994,0.00841869497361116,0.047175073219182,0.0108540130101268,0.0198988865607058,0.115831587534089,0.105165307706353
DEL,C,1,1,0.00558653049883613,0.0234535755807196,0.000225905026365627,0.000626237510179915,0.000859700224511767,0.0219722673197356,0.09502911585557,0.0142450396574106,0.00118398429642149,0.0211697439495908,0.00239235905334316,0.0110809233699025,0.0236861637224195,0.029602444528028,0.164138150037449,0.306424136075763
DEL,C,1,2,0.00788547003798571,0.00271851499536972,1.97574449315255e-05,1.26988675920758e-05,0.000369238795234836,0.00307475287167294,0.00262368840094573,0.00612628218958305,0.000186602213505649,0.0313489343503843,0.00146892007322214,0.00196755695256051,0.016741017649939,0.0250691697258282,0.225753021025563,0.15125834064925
DEL,C,1,3,0.00089690541632456,0.00583742833870028,0.00232111103626107,0.00156249678952877,0.00104226635009775,0.00584830129078399,0.00927354770230596,0.0054991990457739,0.000411957002961004,0.0128754487483,0.00123083453232228,0.00573562796515601,0.00736424468986314,0.0136264822347024,0.0638873998597782,0.0539863550030121
DEL,C,1,4,0.00303602907232581,0.00139247771216733,0.00330782805542364,0.000764239478516645,0.00285883909177189,0.000692813406606826,0.0113409940581399,0.00328180805424943,0.000245162217020749,0.0020610686131606,0.00164413454055104,0.002984936897522,0.00405925281147751,0.00223804948772611,0.0439825510317694,0.0379333374756392
DEL,C,1,5+,0.0017079084710609,0.000312315770419775,0.0136563491150739,0.00321954507998553,0.00581663316198911,0.000915441501325686,0.000931750846590663,0.00133835691088025,0.000707756252470695,0.00152893521394076,0.00229044430055654,0.0343102243443914,0.00577567246189836,0.00247403426555414,0.0224624417278905,0.021852819665272
DEL,T,1,0,0.00353795206134765,0.0339949795943889,0.00697183411559262,0.00116874152712727,0.0247680156754109,0.0388267485019745,0.0976443185896137,0.0471572654625364,0.000682637685021837,0.0963514868259458,0.00451997913163555,0.0261227307724565,0.0321512951837661,0.0416312314336651,0.042705193563185,0.0298982335873352
DEL,T,1,1,0.000234145061296782,0.00803722366230216,3.14111834869168e-05,1.3608664643058e-05,0.000775484237547912,0.0109538165593642,0.0451369517445211,0.538341328420013,0.00101690208408754,0.0720193464525173,0.000766699055299226,0.00385193966117529,0.00129615525107058,0.144385639606852,0.0106806868936131,0.0133322661568073
DEL,T,1,2,0.0120937457742429,0.00988343508274047,0.00677129397135076,0.000705940479945039,0.0115919302971128,0.00727203199280424,0.0791298032217568,0.0205748695819042,0.000673252588427761,0.217108387945126,0.000843888730501364,0.0193876230706835,0.00287598411427772,0.124559336521815,0.0130861276816016,0.0184879209825842
DEL,T,1,3,0.0219394006653086,0.00659746652277105,0.0173739858438848,0.00249233694524013,0.0244921291318379,0.0107708750963158,0.117493690064035,0.0595451833688924,0.00153202016878503,0.0740164702972281,0.00116150235600288,0.0154582958708463,0.00720686412422573,0.0794615634041789,0.0170510807780433,0.0155940735429045
