Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.953),ID83D (ID8 0.996),ID83E (ID3 0.992),ID83F (ID6 0.999),ID83G (ID9 0.993),ID83H (ID14 1),ID83I (ID4 0.992)
DEL,C,1,0,0.00359192,1.961e-05,0.00984616,0.04429503,0.10120969,0.03114684,0.31608432,0.00699064,0.01372942
DEL,C,1,1,4.41e-06,0.00043518,0.00887093,0.02366669,0.21325997,0.00305405,0.09507088,0.00011045,0.00350909
DEL,C,1,2,0,0,0.01086763,0.00107598,0.18889692,0.00589869,0.00105951,1.56e-06,0.00107728
DEL,C,1,3,0.00257187,0.00195392,0.00846647,0.00511928,0.06794568,0.00041322,0.01100108,0.00022263,0.00101665
DEL,C,1,4,0.00384983,0.00061345,0.0004892,0.00064044,0.04273596,0.00182402,0.01272448,0.00162937,0.00130234
DEL,C,1,5+,0.0148082,0.00356386,0.00047605,0.00049576,0.02324777,0.00083288,0.00053469,0.00239525,0.00221036
DEL,T,1,0,0.00771393,0.0013859,0.10686965,0.04028102,0.03550664,0.00406333,0.10350483,0.01767499,0.00639324
DEL,T,1,1,0,0,0.18875367,0.02950741,0.00617242,0.00014559,0.014775,8.7e-07,0.04161985
DEL,T,1,2,0.00683719,0.00108075,0.11858018,0.01304278,0.01572205,0.01203868,0.0870974,0.01064881,0.00095427
DEL,T,1,3,0.01996579,0.00233962,0.09778287,0.01414779,0.01395551,0.02271311,0.10927649,0.01686947,0.00298917
DEL,T,1,4,0.04682481,0.00427247,0.05167778,0.00450828,0.01131889,0.01760447,0.09116226,0.01328795,0.00108043
DEL,T,1,5+,0.81647769,3.195e-05,0.01101159,0.00290227,0.00633363,0.00126623,0.03031233,0.04541509,0.00191343
INS,C,1,0,0,1e-08,7e-08,2.3e-07,2e-07,1e-07,2.4e-07,0.46185702,1e-07
INS,C,1,1,0.00016545,0,0.00567988,0.00175105,0.00652474,0.00158998,0.00157521,0.01200381,6.207e-05
INS,C,1,2,1.091e-05,0,0.00559175,0.00141326,0.00462495,2.974e-05,0.00137738,0.00046702,1.084e-05
INS,C,1,3,0.00051232,0.00050939,0.0004288,0.00014572,0.00848385,0,0.00063555,0.00154941,0.00019718
INS,C,1,4,0.00317975,0.00141806,1.9e-07,0.00028565,0.00770219,4.111e-05,0.00104027,0.00162698,1.2e-07
INS,C,1,5+,0.00890886,0.0245312,3.351e-05,0.00039205,0.00691417,2.366e-05,0.00094183,0.00241742,0.00050471
INS,T,1,0,0.00135091,0.0021051,0.01245454,0.00509776,0.01503507,0.00575289,0.01203944,0.0321148,0.00454791
INS,T,1,1,1.4e-07,0,0.01513172,0.0056877,0.05945968,0.00027433,0.00978022,0.00262742,0.00033115
INS,T,1,2,0.00071065,2.787e-05,0.02996464,0.00140596,0.05130717,7.3e-06,0.00536228,0.0016962,5.463e-05
INS,T,1,3,0.0011281,0.00413647,0.02100086,0.00140808,0.03121081,0.00051706,0.00426503,0.00096384,0.00025055
INS,T,1,4,0.00372929,0.01652402,0.01460831,0.00136182,0.00785755,0.000973,0.0029575,0.00495186,0.00082161
INS,T,1,5+,0.002091,0.90026579,0.00041024,0.02094804,0.00899252,0.00876269,0.02718842,0.240315,0.00710808
DEL,repeats,2,0,9.414e-05,0.00047653,0.02904775,0.01026177,0.00708923,0.00142389,0.01195486,0.00024275,0.06908697
DEL,repeats,2,1,0.00348165,0.00058659,0.0155694,0.01064607,0.01017809,0.00106206,0.00298743,0.00574751,0.21987061
DEL,repeats,2,2,0.00190704,0.00018221,0.00223441,0.00041799,0.01228095,0.00173377,0.0004823,0.00242803,0.05127
DEL,repeats,2,3,0.00078027,0.00018608,0,0.0001096,0.00610604,1.859e-05,0.00019922,0.00041196,0.0102583
DEL,repeats,2,4,0.00086803,0,0.00010778,2.067e-05,0.00367058,2.8e-07,0.00010491,3.652e-05,0.00315344
DEL,repeats,2,5+,0,1e-08,0.02296144,0.00083413,0.00038312,0,0.00241656,0,0.00112359
DEL,repeats,3,0,1.369e-05,5.684e-05,0.01805277,0.01235335,0.00083487,0.00120547,0.00296162,0.00110475,0.00405195
DEL,repeats,3,1,0.00496917,0.00467969,0.00258156,0.00092505,0.00019141,0.00513163,0.00298532,0.00453866,0.09105467
DEL,repeats,3,2,0.00259198,0.00020619,0.00010766,0.00020742,0,0.00032588,0.00058283,0.00117662,0.02047043
DEL,repeats,3,3,0.00056895,8.401e-05,5.607e-05,5.129e-05,0,0,0.00010718,0.00051243,0.00382408
DEL,repeats,3,4,0,4e-08,0.00620846,0.00022282,8.027e-05,1e-08,0.00068668,1.42e-06,0.00013901
DEL,repeats,3,5+,0,2e-08,0.00890996,0.00032336,0.00014946,0,0.00092148,1e-08,0.00041386
DEL,repeats,4,0,1.264e-05,2.753e-05,0.01118728,0.00737068,0.00028388,0.00242841,0.00155972,2.313e-05,0.00655461
DEL,repeats,4,1,0.0021005,0.00059255,0.00035741,0.00167629,0.00062313,0.00259549,0.00364458,0.00042341,0.05992065
DEL,repeats,4,2,0.0004598,0,0,2.794e-05,0,0.0001078,5.47e-06,0.00055915,0.01025214
DEL,repeats,4,3,1.15e-06,0,0.00404386,0.00015218,5.939e-05,6e-07,0.00030807,1.8e-06,0.00384512
DEL,repeats,4,4,0,4e-08,0.00491118,0.00017134,7.158e-05,1e-08,0.00055526,1.86e-06,0.00017282
DEL,repeats,4,5+,0.00016896,0,0.0011976,3.663e-05,0,0,0.00013421,0,0.00020204
DEL,repeats,5+,0,0,0,0.01634066,0.24882505,0.00134108,0.02461035,0.00070018,0.00355634,0.00385644
DEL,repeats,5+,1,0.00295923,1.4e-07,9.585e-05,5.931e-05,0,0.00760211,5.285e-05,0.00038015,0.01212537
DEL,repeats,5+,2,0.00041965,3e-07,4.48e-06,1.299e-05,0,8.636e-05,1.916e-05,2.703e-05,0.0024145
DEL,repeats,5+,3,9.145e-05,0,0,2.66e-06,0,7.3e-06,9.3e-07,9.02e-06,0.00056242
DEL,repeats,5+,4,4.459e-05,1e-08,0,2e-08,0,0,6e-07,0,2.979e-05
DEL,repeats,5+,5+,1.913e-05,2.8e-07,8.724e-05,3.28e-06,0,0,1.734e-05,4.642e-05,7.677e-05
INS,repeats,2,0,0.00036799,0.00032874,0.00828305,0.00183772,0.00249876,0.00199778,0.00099678,0.02425473,0.0012433
INS,repeats,2,1,0.00021822,0,0.01935234,0.00192266,0.00330692,1.416e-05,0.00272829,1.327e-05,0.00026135
INS,repeats,2,2,0.00107673,0.00011625,0.0075466,0.00036303,0.00143644,0.00054505,0.00094354,0.00131047,8.552e-05
INS,repeats,2,3,0.00044922,0.0003312,0.00124985,0.00014127,0.00098395,0.00013373,0.00035611,0.00100934,0.00012277
INS,repeats,2,4,0.00203962,0.00253506,0,0.00050951,2.304e-05,0,0.00121761,0.00315169,1.857e-05
INS,repeats,2,5+,0.0138067,0.0182453,0.00080538,0.00154728,0,0.00049147,0.0006276,0.00072816,0.00035036
INS,repeats,3,0,4.17e-05,0,0.00419799,0.00017583,0.00012393,0.00121101,0.00047809,0.00675642,2.984e-05
INS,repeats,3,1,0.00127554,0.00016059,0.00724514,0.00046115,0.00043085,8.17e-06,0.0008692,0.00279764,0.00058987
INS,repeats,3,2,0.00018314,1.9e-07,0.00076882,2.744e-05,5.25e-06,0.00048788,0.00010132,0.00014678,0.00036492
INS,repeats,3,3,3.205e-05,1.114e-05,0,6.14e-06,0,8.77e-06,1.254e-05,0.00019209,0
INS,repeats,3,4,0.00010706,1.12e-06,0,2.29e-06,0,0,5.8e-07,0.00056221,0
INS,repeats,3,5+,0.00219054,0.00045625,0,0.00011742,0,0,0.00028668,0.00251314,0
INS,repeats,4,0,5.83e-06,1.8e-07,0.00306469,0.00014906,9.4e-07,0.00155368,0.00023852,0.00606477,0.00011132
INS,repeats,4,1,0.00127435,0.00063315,0.00421852,0.00110232,0.00031465,0.00040313,0.00070352,0.0013826,0.00127566
INS,repeats,4,2,2.105e-05,1.419e-05,5.56e-06,5.66e-06,0,0.00014916,1.045e-05,3.124e-05,5.811e-05
INS,repeats,4,3,0.00012288,4.64e-06,0,4.81e-06,0,4.494e-05,2.237e-05,0.00091922,0
INS,repeats,4,4,0.00031138,4.204e-05,0,1.796e-05,0,0,4.261e-05,0.00168105,3.451e-05
INS,repeats,4,5+,0.00247908,0.00065288,0.00045544,0.00039801,0,9.61e-06,0.00077359,0.00046773,8.204e-05
INS,repeats,5+,0,0,3e-08,0.00521269,0.00027383,8.999e-05,0.00854798,0.00047684,0.00268002,0.00010774
INS,repeats,5+,1,0.00011229,0.0014591,0.00705118,0.00992061,0.00023514,0.00543871,0.00095929,0.02658218,0.00327501
INS,repeats,5+,2,3.706e-05,6.115e-05,2.6e-07,1.35e-05,0,0.00105917,2.72e-05,0.00066702,7.406e-05
INS,repeats,5+,3,9.24e-05,4.076e-05,0,1.166e-05,0,0,3.203e-05,2.141e-05,0
INS,repeats,5+,4,2.529e-05,6.038e-05,0,1.164e-05,0,0,2.147e-05,4.184e-05,0
INS,repeats,5+,5+,0.00010891,4.3e-06,0.00019031,6.62e-06,7.3e-07,0,1.56e-05,1.525e-05,6.154e-05
DEL,MH,2,1,8.371e-05,0.00057776,0.02264559,0.00474726,0.00854578,4.62e-05,0.0032182,0.00209538,0.18120677
DEL,MH,3,1,6.2e-07,2.904e-05,0.01347117,0.01043985,0.00057311,0.00104214,0.00242497,0.00162638,0.00603563
DEL,MH,3,2,0.00288097,0.00139178,0.00699982,0.00430397,0.00046086,0.00418053,0.00193733,0.00319422,0.04732618
DEL,MH,4,1,0.0001158,3.69e-06,0.00874954,0.00626968,7.018e-05,0.00276695,0.00189219,3.5e-07,0.01037064
DEL,MH,4,2,0.00052843,8.52e-06,0.00472745,0.00095501,0.00039933,0.00883084,0.0027832,0.00077177,0.02868791
DEL,MH,4,3,0.00063752,4.59e-06,0.00175158,0.00080774,7.584e-05,0.00473172,0.00143405,0.00190668,0.0463705
DEL,MH,5+,1,0.00052387,7.2e-07,0.00306519,0.28759334,0.00069573,0.07901209,0.00011413,0.0032614,0.00050655
DEL,MH,5+,2,3e-07,1e-08,0.00154101,0.10778123,0.00117392,0.26278523,0.00029173,0.00272377,0.0001062
DEL,MH,5+,3,0,1e-08,0.00312974,0.0303907,0.00046213,0.22264775,0.00051079,0.00071278,0.00042268
DEL,MH,5+,4,0.0004231,0,0.0002653,0.00738345,0.00031648,0.12314015,0.00015767,0,0.00294922
DEL,MH,5+,5+,0.00244165,0.00053165,0.00094633,0.00600842,1.495e-05,0.10139903,0.00013854,0.00065017,0.00145719
