Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10
DEL,C,1,0,0.00859775632786798,1.7429566071382e-22,1.7641608889302e-24,0.357663366328768,0.00483978385122651,0.0341429072105454,0.106738270614093,0.0060848362398055,0.0168080831602738,0.0296686294934329
DEL,C,1,1,0.000771615482853875,0.000701170138996224,0,0.101910262153157,2.74774469723461e-05,0.0208552461658285,0.225847832074073,0,0.0142473295361228,0.00134478668505642
DEL,C,1,2,0,0,0,0,0,6.88589869494429e-45,0.200107571040255,7.24732413717831e-300,0.014228684299347,0.0065703516035433
DEL,C,1,3,0.000241430643428311,0.00189900507921519,6.56178354789077e-189,0.0100069671492426,0.00248095579263422,0.00454051089216134,0.0720769685472252,0,0.0100838688380251,1.39356746362925e-115
DEL,C,1,4,0.000725035178017513,0.000576121525846898,0,0.0133757567449216,0.00389229979556431,0.000345903244252689,0.0461225143844907,0.00189012939964505,0.000736727370121963,0.00202265684030956
DEL,C,1,5+,0.00196212305557285,0.00337810443324452,3.42484057563997e-172,2.369826282764e-230,0.0146281408566349,0.000399423994213135,0.0244503361759929,0.000194661310350492,0.00127275482760652,0.000923777904071749
DEL,T,1,0,0.00111388804157814,0.00134562053520044,0.000431418329757411,0.109509593443838,0.007916708271507,0.0342866062884073,0.0376161741988203,0.0228442502656023,0.110665297097526,0.00141099666766433
DEL,T,1,1,9.72679632451978e-282,0,0,0.0458525277092408,0,0.0090515791640634,0.00325015806495095,0,0.167731188786495,0
DEL,T,1,2,1.11253692927022e-308,0.000962211475134965,7.06229261316779e-37,0.0889423287086868,0.00705533402157303,0.00731536726544456,0.0168288501967408,0.0130987244223365,0.123374824400831,0.0127881938367067
DEL,T,1,3,8.43874857030141e-307,0.00238049501598284,5.5035041476514e-52,0.118122368285573,0.0202510517773082,0.0076987631391298,0.015713537499833,0.0197679493913403,0.0993188259071834,0.024354865029753
DEL,T,1,4,5.21727837845821e-222,0.00454968289909495,0.000909673373148781,0.0975345069151357,0.0471248792530071,1.23892374590118e-35,0.0124078301056881,0.0105293412092418,0.0547657417002638,0.0194990818633812
