Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,3400
low confidence hdp.4,3049
low confidence hdp.5,2396
low confidence hdp.6,1990
low confidence hdp.7,1770
low confidence hdp.8,1198
low confidence hdp.9,1017
low confidence hdp.10,1000
low confidence hdp.11,996
low confidence hdp.12,800
low confidence hdp.13,800
low confidence hdp.14,732
low confidence hdp.15,600
low confidence hdp.16,600
low confidence hdp.17,398
low confidence hdp.18,196
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
