Signature,NumberOfPostSamples
low confidence hdp.1,3581
low confidence hdp.2,3204
low confidence hdp.3,2600
low confidence hdp.4,2599
low confidence hdp.5,2387
low confidence hdp.6,1993
low confidence hdp.7,1947
low confidence hdp.8,1807
low confidence hdp.9,1800
low confidence hdp.10,1430
low confidence hdp.11,1400
low confidence hdp.12,1200
low confidence hdp.13,1049
low confidence hdp.14,987
low confidence hdp.15,921
low confidence hdp.16,910
low confidence hdp.17,881
low confidence hdp.18,803
low confidence hdp.19,800
low confidence hdp.20,800
low confidence hdp.21,712
low confidence hdp.22,693
low confidence hdp.23,600
low confidence hdp.24,600
low confidence hdp.25,582
low confidence hdp.26,562
low confidence hdp.27,540
low confidence hdp.28,539
low confidence hdp.29,472
low confidence hdp.30,432
low confidence hdp.31,400
low confidence hdp.32,400
low confidence hdp.33,393
low confidence hdp.34,375
low confidence hdp.35,321
low confidence hdp.36,319
low confidence hdp.37,303
low confidence hdp.38,261
low confidence hdp.39,258
low confidence hdp.40,256
low confidence hdp.41,255
low confidence hdp.42,255
low confidence hdp.43,247
low confidence hdp.44,219
low confidence hdp.45,213
low confidence hdp.46,207
low confidence hdp.47,200
low confidence hdp.48,200
low confidence hdp.49,200
low confidence hdp.50,197
low confidence hdp.51,188
low confidence hdp.52,184
low confidence hdp.53,183
low confidence hdp.54,179
low confidence hdp.55,178
low confidence hdp.56,171
low confidence hdp.57,151
low confidence hdp.58,139
low confidence hdp.59,138
low confidence hdp.60,131
low confidence hdp.61,129
low confidence hdp.62,126
low confidence hdp.63,122
low confidence hdp.64,121
low confidence hdp.65,119
low confidence hdp.66,119
low confidence hdp.67,115
low confidence hdp.68,112
low confidence hdp.69,105
low confidence hdp.70,104
low confidence hdp.71,97
low confidence hdp.72,86
low confidence hdp.73,85
low confidence hdp.74,84
low confidence hdp.75,80
low confidence hdp.76,79
low confidence hdp.77,79
low confidence hdp.78,78
low confidence hdp.79,77
low confidence hdp.80,68
low confidence hdp.81,63
low confidence hdp.82,62
low confidence hdp.83,54
low confidence hdp.84,52
low confidence hdp.85,51
low confidence hdp.86,50
low confidence hdp.87,50
low confidence hdp.88,46
low confidence hdp.89,46
low confidence hdp.90,46
low confidence hdp.91,39
low confidence hdp.92,37
low confidence hdp.93,34
low confidence hdp.94,34
low confidence hdp.95,32
low confidence hdp.96,28
low confidence hdp.97,25
low confidence hdp.98,24
low confidence hdp.99,23
low confidence hdp.100,23
low confidence hdp.101,23
low confidence hdp.102,21
low confidence hdp.103,20
low confidence hdp.104,18
low confidence hdp.105,18
low confidence hdp.106,16
low confidence hdp.107,14
low confidence hdp.108,13
low confidence hdp.109,12
low confidence hdp.110,11
low confidence hdp.111,11
low confidence hdp.112,10
low confidence hdp.113,10
low confidence hdp.114,10
low confidence hdp.115,9
low confidence hdp.116,9
low confidence hdp.117,8
low confidence hdp.118,8
low confidence hdp.119,7
low confidence hdp.120,7
low confidence hdp.121,6
low confidence hdp.122,6
low confidence hdp.123,6
low confidence hdp.124,6
low confidence hdp.125,6
low confidence hdp.126,6
low confidence hdp.127,6
low confidence hdp.128,6
low confidence hdp.129,4
low confidence hdp.130,4
low confidence hdp.131,4
low confidence hdp.132,4
low confidence hdp.133,4
low confidence hdp.134,4
low confidence hdp.135,4
low confidence hdp.136,4
low confidence hdp.137,4
low confidence hdp.138,4
low confidence hdp.139,3
low confidence hdp.140,3
low confidence hdp.141,2
low confidence hdp.142,2
low confidence hdp.143,2
low confidence hdp.144,2
low confidence hdp.145,2
low confidence hdp.146,2
low confidence hdp.147,2
low confidence hdp.148,2
low confidence hdp.149,2
low confidence hdp.150,2
low confidence hdp.151,2
low confidence hdp.152,2
low confidence hdp.153,2
low confidence hdp.154,2
low confidence hdp.155,2
low confidence hdp.156,2
low confidence hdp.157,2
low confidence hdp.158,2
low confidence hdp.159,2
low confidence hdp.160,2
low confidence hdp.161,2
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
low confidence hdp.173,2
low confidence hdp.174,2
