Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13
DEL,C,1,0,0.0981599768971683,1.36321835868223e-115,0.00227191848866279,0.00905145811340564,1.51006891931181e-86,0.020615074806259,0,0.0243438004513523,0.0284352299925415,3.33874983364417e-31,0.000113772233163888,0.500866019546093,0.00446713605288176
DEL,C,1,1,0.245087749606705,0,0,0.0174896230945472,9.22640866579789e-32,0,0.000313333634402163,0.00188298657238122,0,0,0.0234988428857143,0.118533996948103,0
DEL,C,1,2,0.219761974463048,0,0,0,0.00500576011392844,0,0,0.00441549675771075,0,0,0.0249856231091308,0,4.07934224567645e-107
DEL,C,1,3,0.0776757982150696,1.19136018445358e-229,0.00161902575688136,0.00477010247572256,0.00325857471221008,0.00974131135022254,0.00192721669950378,0,0.0121726614090219,2.4620181054872e-120,0.0134710367833262,0.0109615712161965,0.000150732193251123
DEL,C,1,4,0.0481856637755002,0.01404081522388,0.00195465442368607,1.13021882605282e-272,1.63925456390885e-110,0.0383676546006177,0.000165903702335733,0.00158886931368301,0.00165206076999985,0.00199877822526762,0,0.0144852238843543,0.00148775891074421
DEL,C,1,5+,0.0274885148354523,2.93330449987227e-08,0.0097220370432438,0,0,0.1323765920605,0.000843245200060677,0.000645052254845694,5.79297115039351e-63,0.00561009073997682,0,0,0.00172423865053116
DEL,T,1,0,0.0218360351818004,0.0588652499118152,0.00320047872145268,0.0285197496835107,0.0283522488307362,0.0584375103120887,0.00106058573339097,1.16705323487171e-244,0.0248600395756056,0.0198522530473678,0.145859622244545,0.143156620373319,0.00183378651591296
DEL,T,1,1,7.12589247562359e-29,0,0,4.58857856989055e-252,0.767615891829017,0,0,0,0,0,4.90498567247982e-35,0,0
DEL,T,1,2,1.44586417590733e-96,0.0667700936281033,0.00463059091971222,9.8455985221224e-92,0.000872603177451158,0.0550778164985291,1.51346922559291e-175,0.00795069605588098,4.71373992255317e-273,0.00495156094875215,0.175816685516285,0.108638346942681,6.27891404169169e-226
DEL,T,1,3,1.10871474759543e-52,0.772369378795558,0.0153837551109307,8.98491965794465e-101,9.98427335551122e-37,2.01529011672053e-17,0.000425300623376529,0.00948829778875867,7.43591929483184e-62,1.3091516573611e-158,0.0665099366920877,0.0417389227051245,3.11568678492828e-172
DEL,T,1,4,3.08279754250735e-11,1.09739532928159e-78,0.035986493924814,3.83520463212191e-164,3.61573888335337e-63,0.0324803199529783,9.32183270824839e-62,1.40618191738894e-61,0.874972405549736,5.29119733165587e-157,0.00768215531625043,1.195179528028e-66,3.53940189491226e-209
DEL,T,1,5+,5.87845271236026e-40,7.341950204735e-137,0.873330730124805,3.6978751467082e-78,1.56855621509216e-58,4.92001859748463e-43,1.42340084290963e-24,9.46094675534199e-99,2.85966243533535e-115,4.64165494430078e-165,0.0030319359355233,1.15978279225623e-146,1.40840177415286e-174
INS,C,1,0,0,0,0,0,0,0,0,0,0,0.733013763398229,0,0,0
INS,C,1,1,0.00185500873229531,0,9.95691221804903e-05,0.00190434366601634,0,0.00208770465025581,0,0.00150885391113029,0.00104880832271815,0.0206707480309584,0.012958212264788,0,0
