"ex.sig","gt.sig","sim"
"SBS96B","SBS40",0.909462803703618
"SBS96C","SBS3",0.931730876942583
"SBS96D","SBS4",0.985461005211431
"SBS96E","SBS7a",0.939685367505356
"SBS96F","SBS1",0.99956495202409
"SBS96G","SBS2",0.998606397988684
"SBS96H","SBS17b",0.999552546065674
"SBS96I","SBS7b",0.984672402159527
"SBS96J","SBS18",0.987338944848001
"SBS96K","SBS44",0.99287018190364
"SBS96L","SBS13",0.998709246712294
"SBS96M","SBS17a",0.999653681292216
"SBS96N","SBS7c",0.995111163684935
"SBS96O","SBS22",0.960943252465038
"SBS96P","SBS7d",0.966446866933555
"SBS96Q","SBS28",0.931377270358787
