Signature,NumberOfPostSamples
low confidence hdp.1,3409
low confidence hdp.2,2899
low confidence hdp.3,2799
low confidence hdp.4,2200
low confidence hdp.5,1399
low confidence hdp.6,982
low confidence hdp.7,439
low confidence hdp.8,398
low confidence hdp.9,358
low confidence hdp.10,199
low confidence hdp.11,195
low confidence hdp.12,171
low confidence hdp.13,31
low confidence hdp.14,25
low confidence hdp.15,4
low confidence hdp.16,2
low confidence hdp.17,2
