Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2400
low confidence hdp.4,2185
low confidence hdp.5,2000
low confidence hdp.6,2000
low confidence hdp.7,1571
low confidence hdp.8,1400
low confidence hdp.9,1384
low confidence hdp.10,1358
low confidence hdp.11,1196
low confidence hdp.12,1141
low confidence hdp.13,1000
low confidence hdp.14,992
low confidence hdp.15,690
low confidence hdp.16,479
low confidence hdp.17,454
low confidence hdp.18,400
low confidence hdp.19,400
low confidence hdp.20,400
low confidence hdp.21,235
low confidence hdp.22,203
low confidence hdp.23,200
low confidence hdp.24,200
low confidence hdp.25,200
low confidence hdp.26,200
low confidence hdp.27,200
low confidence hdp.28,137
low confidence hdp.29,38
low confidence hdp.30,26
low confidence hdp.31,26
low confidence hdp.32,16
low confidence hdp.33,13
low confidence hdp.34,13
low confidence hdp.35,10
low confidence hdp.36,9
low confidence hdp.37,7
low confidence hdp.38,6
low confidence hdp.39,4
low confidence hdp.40,4
low confidence hdp.41,4
low confidence hdp.42,4
low confidence hdp.43,3
low confidence hdp.44,2
low confidence hdp.45,2
low confidence hdp.46,2
low confidence hdp.47,2
low confidence hdp.48,2
low confidence hdp.49,2
low confidence hdp.50,2
low confidence hdp.51,2
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
low confidence hdp.63,2
