Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2830
low confidence hdp.4,2198
low confidence hdp.5,1575
low confidence hdp.6,1395
low confidence hdp.7,1192
low confidence hdp.8,1182
low confidence hdp.9,1168
low confidence hdp.10,1078
low confidence hdp.11,800
low confidence hdp.12,800
low confidence hdp.13,800
low confidence hdp.14,631
low confidence hdp.15,600
low confidence hdp.16,200
low confidence hdp.17,195
low confidence hdp.18,67
low confidence hdp.19,26
low confidence hdp.20,4
low confidence hdp.21,2
low confidence hdp.22,2
