"ex.sig","gt.sig","sim"
"hdp.1","SBS1",0.996947038675353
"hdp.2","SBS17a",0.998618719653557
"hdp.3","SBS17b",0.998451725599027
"hdp.4","SBS2",0.991644945033515
"hdp.5","SBS28",0.983483594307752
"hdp.6","SBS7c",0.999187523777642
"hdp.7","SBS13",0.993696796574176
"hdp.9","SBS4",0.994525774644597
"hdp.10","SBS38",0.985160536700822
"hdp.11","SBS3",0.97921876483823
"hdp.12","SBS41",0.992224253805901
"hdp.13","SBS16",0.990712655263099
"hdp.14","SBS12",0.991902303280782
"hdp.15","SBS44",0.993661385540844
"hdp.16","SBS40",0.993262803489153
"hdp.17","SBS22",0.989851782631046
"hdp.18","SBS18",0.994006281229762
"hdp.19","SBS5",0.993298230398294
"hdp.20","SBS7d",0.980173367179116
"hdp.21","SBS29",0.941684317215797
