Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (ID1 1),signeR.3 (False Positive) (ID2 0.997),signeR.4 (ID5 0.971),signeR.5 (False Positive) (ID8 0.867),signeR.6 (ID9 0.987),signeR.7 (False Positive) (ID3 0.842),signeR.8 (ID14 0.969),signeR.9 (ID4 0.998)
DEL,C,1,0,0.00366133292703423,1.75621952415434e-06,0.00681590824361056,0.0266521349876267,0.0302319529865632,0.340013969801412,0.000319645516086486,0.00944279025195654,0.00867869255065457
DEL,C,1,1,1.18772899603045e-05,0.000464283127039973,1.41582671847083e-05,0.0248386236898283,0.00601174515642998,0.143912515360732,0.163910133536977,0.000317527737362649,0.000289117828289472
DEL,C,1,2,6.87134074935735e-07,7.14821633763602e-07,1.59702251913379e-06,0.0182970115364131,0.00396714725794849,0.00296480946984204,0.214405935729437,0.000222609266616129,0.000125423995018517
DEL,C,1,3,0.00177651820497675,0.00176467628929061,0.00358488892702502,0.0122626718465166,0.000902014608041857,0.0192927047683313,0.061284539907157,0.00022904618404134,0.00050703185215374
DEL,C,1,4,0.00277749352605845,0.00048189670279394,0.0058494786775019,0.00174783895133526,0.00136877372171778,0.0198850974691329,0.0379325815354007,0.00233563308042201,0.00118838887717755
DEL,C,1,5+,0.0112220432492467,0.00257217914153584,0.0220897183725348,0.00152103360885381,0.000716652842054223,0.00437855678911321,0.0252793019515731,0.00531604502974178,0.00192942049210107
DEL,T,1,0,0.00630951907019721,0.000478152194889045,0.0135120703567096,0.103493340571835,0.0106223803457029,0.109442543191798,0.00121274901836466,0.0197134138296355,0.00254371700055139
DEL,T,1,1,5.67350628279305e-07,6.24047657437463e-07,1.45669184820208e-06,0.141576958823719,1.82708765198667e-05,0.0266845714859094,3.59785753878726e-05,9.40494430050827e-05,0.00414367059422342
DEL,T,1,2,0.00422385725878677,0.000981918035719978,0.00959539998359854,0.102992939523241,0.00928853705103562,0.0703430263335542,4.0348013499486e-05,0.0117627823238974,0.000135162165795524
DEL,T,1,3,0.0116208673022257,0.00225210717698198,0.0324856559559228,0.0833015175551048,0.0164191111250958,0.0891249085696822,3.43588103671596e-05,0.0202849128535537,0.000122467311493179
DEL,T,1,4,0.0326314468269017,0.00456402901288298,0.0771750100046906,0.0435204901050707,0.0122355554660158,0.0654314368490609,3.79678948873954e-05,0.0212637319000646,0.000193160055671349
DEL,T,1,5+,0.872326872563091,4.50393487131277e-06,0.683498310186574,0.012191385609443,5.06113711822626e-05,4.11233153642263e-05,0.00721878557856677,0.10218496015345,0.000783840342240298
INS,C,1,0,4.75030568294097e-07,5.84626925886965e-07,1.2978203970243e-06,0.000602912028972151,0.0021743304407606,2.63765056459333e-05,0.0023407246645428,0.485900535773951,0.000156624383685789
