Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12,signeR.13,signeR.14
DEL,C,1,0,0.00473893865743531,0.00212360422420141,8.985588854805e-06,0.00477558728085852,7.93150341088734e-06,0.0224343244170473,0.0301183616058317,0.0140896557940415,0.114782899201028,0.00546293661023887,0.364861422790717,0.0087283875367348,0.0090674585329565,0.000283877573482005
DEL,C,1,1,7.77676873115528e-05,8.23692922072408e-06,0.000726166540184505,1.75542605880016e-05,0.000443818090773114,0.0255069506748987,0.00894673588115937,0.000231434837785633,0.220390113836139,0.000132132718141293,0.101135482251182,0.000303608040329457,0.000663807514224267,0.00028256723190599
DEL,C,1,2,1.41775452969392e-06,1.10320329054742e-06,1.80745003850357e-06,2.24217429043549e-06,1.77499337376521e-06,0.0199748241876314,0.00443104186335817,9.5607955259892e-06,0.195980835178608,1.26069922155986e-05,4.00217173042722e-05,0.000219075923212914,0.000192799472841154,8.30929295900552e-05
DEL,C,1,3,0.00186121869174394,0.00142799302240565,0.000822534987756654,0.0025435161706846,0.00313403147418316,0.0128998518113715,0.00155062768377089,0.00834336458372324,0.0647104947604079,0.000145752854850382,0.0104443517696844,0.000396386426469972,0.00080661600670906,0.000268843549517228
DEL,C,1,4,0.00246129355069753,0.00254161888459433,8.88380984772274e-05,0.00288486660027776,0.00114321875836783,0.00162872019763044,0.00140661079730798,0.00588688329409384,0.044100169175399,0.0256258130225898,0.011548542158793,0.00261194642883252,0.0014096883628232,0.000229712492522663
DEL,C,1,5+,0.0124100463519621,0.00952288740739897,0.00133040374783793,0.00940225025755434,0.00445022576247644,0.000845008463106216,4.45976993634852e-05,0.0370130115102978,0.02317413041716,0.052511855070223,9.95239001648341e-05,0.00606308110306692,0.00215771333030902,0.000764300454794701
DEL,T,1,0,0.00586627348564988,0.00528638711300349,9.81632261739358e-06,0.00714543708484425,0.00159517717962264,0.103568257665911,0.0100898530157814,0.0172283133286304,0.0379601940955331,0.0492611867372009,0.111989494358511,0.0196163528165783,0.00294655614952498,0.000490354538150057
DEL,T,1,1,9.71738759571091e-07,1.11189223036745e-06,1.91624006250649e-06,1.76747844209457e-06,1.95656726309846e-06,0.144489160806845,1.79972750853655e-05,4.95819499944648e-06,0.00382885658987917,1.07375227412304e-05,0.0345442316732046,9.33395496706383e-05,0.00459053832176889,0.000118388496649084
DEL,T,1,2,0.00102520394485931,0.00447026417838161,2.04094990209657e-05,0.00748702439764928,0.00136556050075683,0.103887122222171,0.00859841803247671,0.0170330920905794,0.0187026912192236,0.0405304394822891,0.079815382615958,0.0121059745815672,0.000137757480877198,0.000313135084547206
DEL,T,1,3,0.007686752883925,0.0104001828067572,0.00354261575582796,0.00856178340335805,0.000958682692159102,0.0801964547942687,0.0115078008226547,0.039291695690637,0.0128260165770491,0.213623828713582,0.119449058449752,0.0207034451499748,0.000211542467876496,0.000398759314806622
DEL,T,1,4,0.0235425413241931,0.0237394104857243,1.97450996266864e-05,0.0796036407581123,0.0055423754048801,0.0364960032121031,0.00543551612392562,0.000168587802000657,0.0117533779704217,0.404757925040489,0.0828052229461239,0.0252374312425929,0.000243871427605197,0.000450022699161432
DEL,T,1,5+,0.878547635691399,0.902804132369071,2.74734384698605e-05,0.795301374757665,1.86189894001077e-05,0.00966526552597377,3.77187012037901e-05,0.00222878311006692,0.00020471216625275,0.0142538343696637,0.000102390968083426,0.0963405289678516,0.000686743761325726,0.000963410848750478
INS,C,1,0,8.70473541218341e-07,9.50030985946637e-07,1.75846502526126e-06,1.82473658810153e-06,1.76360483603849e-06,0.000629218784037584,0.00222353287955196,6.01516104513053e-06,0.0020379692325475,1.12846181448348e-05,2.09612131090472e-05,0.479663253143853,0.000183207639786441,0.000141077295774555
