"ex.sig","gt.sig","sim"
"signeR.1","SBS40",0.997389350349932
"signeR.2","SBS5",0.999566187379915
"signeR.3","SBS7a",0.999990893829927
"signeR.6","SBS7b",0.999965957133222
"signeR.7","SBS3",0.994369581410571
"signeR.8","SBS1",0.999510987421206
"signeR.9","SBS4",0.951452655586565
"signeR.11","SBS44",0.993773951690547
"signeR.13","SBS18",0.988487126301008
"signeR.14","SBS17b",0.999738669592755
"signeR.15","SBS13",0.999995420181962
"signeR.16","SBS2",0.999994445827835
"signeR.17","SBS7c",0.999810186310801
"signeR.18","SBS26",0.983484936134229
"signeR.19","SBS17a",0.997802298949022
"signeR.20","SBS7d",0.999939159346736
