"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.960637650370811
"SBS96B","SBS7b",0.997620995412461
"SBS96C","SBS2",0.999957441029628
"SBS96F","SBS4",0.969004510497719
"SBS96G","SBS1",0.999992640134786
"SBS96H","SBS44",0.982048631341639
"SBS96J","SBS17b",0.999994316027529
"SBS96K","SBS13",0.999984731036643
"SBS96L","SBS26",0.995642481380469
"SBS96M","SBS36",0.99533224303492
"SBS96N","SBS7c",0.99954689242992
"SBS96P","SBS12",0.947093191631938
"SBS96Q","SBS17a",0.999956684738555
"SBS96R","SBS7d",0.99995381785625
"SBS96U","SBS22",0.998632135442088
"SBS96V","SBS37",0.964916776655458
"SBS96X","SBS28",0.98329054369381
"SBS96Y","SBS34",0.99302214628262
