"ex.sig","gt.sig","sim"
"W.2","SBS1",0.999977558862443
"W.3","SBS44",0.998211460471603
"W.4","SBS26",0.993360135214354
"W.5","SBS5",0.919324932357118
"W.7","SBS28",0.977020781628668
"W.8","SBS17a",0.999805437328824
"W.11","SBS38",0.979274744028116
"W.12","SBS13",0.999983439743852
"W.13","SBS22",0.999052967861739
"W.14","SBS17b",0.999994538974511
"W.15","SBS7c",0.999210633543031
"W.17","SBS40",0.920050466399568
"W.18","SBS7d",0.999617801979986
"W.19","SBS7b",0.999633255582591
"W.20","SBS34",0.985617232073784
"W.21","SBS2",0.99964103973738
"W.23","SBS7a",0.999998305869328
"W.24","SBS4",0.998988032520519
"W.25","SBS36",0.990993565456147
