Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15
DEL,C,1,0,0.019525074452321,0.618588210496587,0.00226208935867887,0,2.55075839752773e-08,2.25858348668096e-182,2.9268335077216e-14,3.30338510232629e-122,0.0291950423018962,0.00867897759974734,0.0211151325791709,6.79477852672894e-30,8.93017378893669e-306,0.0948271022733396,0.0110965793416361
DEL,C,1,1,0.000718130967396579,0.142445412595909,0,0.00038137131427608,0,8.68577580280237e-129,0.0261114230563582,0,0,0,0,2.3787235570479e-240,9.43553700329913e-207,0.247675059089542,0.0195347537407953
DEL,C,1,2,0.00525311428438113,0,0,0,0,0,0.0289790791951128,0,0,0,0,0.00151439222154385,0,0.222728924110725,0
DEL,C,1,3,0,0.0126821674199016,0.00162505430306065,0.00191656292154351,7.30266223353879e-158,1.21735858442933e-129,0.0155693275388116,4.73617464615228e-266,0.011580572169446,9.8728176566132e-05,0.00960650756576205,0.00176702047048618,0,0.0788000477702366,0.00525769810012774
DEL,C,1,4,0.00169562302127614,0.0187962948886443,0.00195910515581315,0.000154430890671571,0.00225709597385486,1.35701075233061e-63,1.27033010166055e-299,0.00539104511085209,0.00310428087960292,0.00171178813906192,0.0377028190520034,0.000860439967624144,7.42193209992339e-180,0.0490114807636452,4.83860044197568e-149
DEL,C,1,5+,0.000619831076355441,0,0.00972331271770402,0.000671356879314072,0.00590673741265485,0,1.58742648325966e-221,1.08199775853859e-242,3.63044648094624e-81,0.00162161322764004,0.126129235441146,0,0,0.027939245563141,0
DEL,T,1,0,8.4268298012535e-63,2.40202565200491e-21,0.00352109919878925,4.5769841836885e-86,0.00945382199061505,0.988158945047865,0.104215719044961,1.17718624154016e-32,1.38179215610862e-35,2.5107687583523e-44,0.0515841732315554,4.92462456448521e-37,8.85321187866417e-294,0.0310672275423925,0.0104267490690218
DEL,T,1,1,0,0,0,0,0,0,0.0816272711454962,0,0,0,0,0.795915805476972,0,1.50602931111299e-53,1.11253700290145e-308
DEL,T,1,2,0.0084622613566355,0.139800653157387,0.00475967866999726,3.56263172617576e-139,0.00616776318628889,0,0.203013439176424,1.25986947487734e-07,2.9577952740656e-300,0,0.061400665752652,1.97668732217687e-184,0,4.31914206419007e-51,1.0506836394577e-49
DEL,T,1,3,8.89292052556282e-24,1.17221508052509e-68,0.0141097215857121,4.93033234712703e-22,7.48923728835406e-151,2.30457771072207e-184,0.000278545820941646,0.922515612864784,3.28814167519224e-99,1.47216425543924e-194,0.0269196316815964,7.19291889776029e-103,0,4.35221919500018e-38,1.44112180161822e-96
