Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,2668
low confidence hdp.4,2600
low confidence hdp.5,2400
low confidence hdp.6,1848
low confidence hdp.7,1413
low confidence hdp.8,1400
low confidence hdp.9,1199
low confidence hdp.10,861
low confidence hdp.11,800
low confidence hdp.12,693
low confidence hdp.13,600
low confidence hdp.14,600
low confidence hdp.15,600
low confidence hdp.16,537
low confidence hdp.17,400
low confidence hdp.18,400
low confidence hdp.19,398
low confidence hdp.20,200
low confidence hdp.21,200
low confidence hdp.22,200
low confidence hdp.23,200
low confidence hdp.24,90
low confidence hdp.25,53
low confidence hdp.26,46
low confidence hdp.27,27
low confidence hdp.28,10
low confidence hdp.29,4
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
low confidence hdp.33,2
low confidence hdp.34,2
low confidence hdp.35,2
low confidence hdp.36,2
low confidence hdp.37,2
low confidence hdp.38,2
