Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,2602
low confidence hdp.3,2397
low confidence hdp.4,2066
low confidence hdp.5,1560
low confidence hdp.6,1400
low confidence hdp.7,1234
low confidence hdp.8,971
low confidence hdp.9,846
low confidence hdp.10,799
low confidence hdp.11,798
low confidence hdp.12,396
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,112
low confidence hdp.16,6
low confidence hdp.17,4
low confidence hdp.18,2
low confidence hdp.19,2
