Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12
DEL,C,1,0,0.0200808549084609,0.0182453493499418,0.14166662195189,0.0211084833316849,0.00822117874182407,0.00897752476470222,0.00258995375480883,0.0186354361780849,0.0051398743150754,0.0100909338556733,0.0305242809880944,0.163932432848612
DEL,C,1,1,0.0101051199212588,0.0301463019944987,0.141921956671622,0.000658231619907078,0.0022321989673566,0.00824757620569597,0.000424855358200593,0.0217459796202044,0.0186162488492819,0.0316332781301843,0.00925656462770634,0.142197504144361
DEL,C,1,2,0.023992863189666,0.0256004728439682,0.217721203931067,5.47743858695856e-05,0.000888316186420326,0.00207394347782955,1.2169375445973e-05,0.0252702837281537,0.012441194850457,0.0211544808958188,0.0504743225191033,0.0872694583179789
DEL,C,1,3,0.0168505016868792,0.0155635354269921,0.0718276007522013,0.00532453980125975,0.00382552186158897,0.00373073012085632,0.00307611415772624,0.0123221108180576,0.0205253396904988,0.0115440882904464,0.0160134374538965,0.0903789236025194
DEL,C,1,4,0.00679185501201152,0.00364117126392491,0.0435584787718135,0.0301553338983963,0.00646552640952034,0.0030919397420899,0.00243963011982331,0.00337249067007019,0.00524962650657281,0.00148529621606195,0.00480410702268139,0.0507754547646078
DEL,C,1,5+,0.0175153609024777,0.0034906840757557,0.0256188571741441,0.111928171061346,0.00288992807229973,0.00149245903251949,0.00878554035926991,0.00281095670746852,0.00560576116877871,0.00235672764957099,0.00276216575621803,0.0240027781288198
DEL,T,1,0,0.0200124616622406,0.198356392396417,0.0282132819009295,0.054655447203126,0.0468884569557246,0.0234652996633523,0.00672869241256538,0.0761061010444769,0.426378117951502,0.152341809827314,0.135442370925464,0.0259743362916441
DEL,T,1,1,0.0100761542071988,0.0731474185536316,0.00843789182991097,4.86709543012604e-05,0.000997083677683154,0.00796628376941884,9.4874194248219e-06,0.0905414110925521,0.0314397098361109,0.0194015286804141,0.150874778450762,0.0305418944162372
DEL,T,1,2,0.0177202559658162,0.0855167254196511,0.0116073018615522,0.0608795389186096,0.121741470985087,0.0162995532186542,0.00358054538603773,0.0827376388744295,0.0148408107924482,0.200924616712861,0.0437371541861438,0.00622530242417227
DEL,T,1,3,0.0266596304416133,0.0735566029838571,0.0157272212318678,0.215770703778869,0.550441915065835,0.0119792930512343,0.00836836210017986,0.0841146650479929,0.0412108279869582,0.0174995423759839,0.140306854536379,0.0128270752866538
DEL,T,1,4,0.449133252604157,0.0454306566955793,0.0135411358455456,0.0570717801112014,0.0413025453333235,0.0212560231002874,0.0342985745202601,0.0459043571689257,0.0213790922821811,0.0437393431257666,0.0101324040896423,0.0104421430247833
DEL,T,1,5+,0.0145437775490095,0.0314181643907608,0.00809177944066914,0.0116905754252683,0.00930179585279707,0.0127471166576508,0.358472577323753,0.0236749986321726,0.044334099109962,0.0272403758426408,0.00789720721649276,0.00691054234044609
INS,C,1,0,0.000901922590374629,0.000639349155830866,0.00263817179513115,4.42890034316935e-05,0.000804299342058194,0.000931392197937578,1.36444512576061e-05,0.000551239591757665,0.00188071952640809,0.000431103443206337,0.0021273274037966,0.00231802778341215
INS,C,1,1,0.00259794699274327,0.00120083438443367,0.00129082215470602,0.00186264211605659,0.0017187197263816,0.00228851814522174,0.000157665489593418,0.00115461298175858,0.00212467550308687,0.0011731029502696,0.00245573562430908,0.000896307616172193
INS,C,1,2,0.00217121868438011,0.00361872253021212,0.0021714429655822,7.10502033851197e-05,0.000798981820263123,0.00070603946094168,1.76003363888039e-05,0.00271908344217557,0.00441229941293777,0.00235110644118414,0.0044628150950565,0.000869492725996425
INS,C,1,3,0.00102981297898847,0.000201789914389895,0.00574777748208186,0.00485144560559187,0.00306743661804067,0.000184289809843732,0.00106041188631287,0.000467766167862933,0.000549320917647779,0.000418563824497226,0.00141341845674409,0.00548032636641778
INS,C,1,4,0.003086378677249,0.00027590530948218,0.0082127095517943,0.0224329279820115,0.00188095248223851,0.000992037814933107,0.00242010771495269,0.000259185323577983,0.0010698972137129,0.000425770501916256,0.00066970014813737,0.00527748897934563
INS,C,1,5+,0.0122719261381408,0.000370862058002494,0.0103401918859206,0.0324726034171705,0.00173631588941256,0.00337057561191541,0.0251489474563022,0.00534296107328608,0.000803542830606079,0.00118362469930138,0.000383984996291513,0.0130288506978774
INS,T,1,0,0.0064660441054594,0.00470649439197453,0.0178227692071787,0.00572220184267294,0.00437400006419699,0.00927065789716371,0.00266500382413404,0.00470699264655515,0.00352308267774442,0.00536277693459652,0.00265833823419447,0.0247275766454519
INS,T,1,1,0.0121197671782875,0.014599531847156,0.0412119340774459,4.67929753571603e-05,0.00139957173646285,0.00190020403189367,3.68768952908272e-05,0.0115375245452838,0.0113574852861135,0.0160922224095958,0.0099376327527076,0.0286683035254412
INS,T,1,2,0.0172439229825149,0.024833667529935,0.0462701429722267,0.00373467412683369,0.00336309082984665,0.00149223132682363,0.000709991982515971,0.0243043476186712,0.0256698803402467,0.0270502636923268,0.0290752428705102,0.0780114183643236
INS,T,1,3,0.00636427267768099,0.021463270089753,0.0259759947589477,0.00399993865268783,0.0037888793023102,0.000841448448075625,0.00415991493550689,0.0185706341407765,0.019897437696966,0.016178270137979,0.0206023107812882,0.0276557095538533
INS,T,1,4,0.00594871787572428,0.0112992343841474,0.00578176071198524,0.0107144958690723,0.00683659274860188,0.00159378806717409,0.0138325681228563,0.014231203032361,0.0104094727340466,0.0110404856724046,0.011550369737132,0.00799535066973507
INS,T,1,5+,0.00573357450077734,0.000833362988994122,0.0299299889403674,0.00978301831279868,0.00453922996870203,0.0347749861649814,0.452904226478849,0.151135310465785,0.00304842311485679,0.00129158072703844,0.00213515867674728,0.0590378923602519
DEL,repeats,2,0,0.0115998077018197,0.0251922285795696,0.0101252205940082,0.00115448755588552,0.00229842628425886,0.00152820882676841,0.000747371744560764,0.0215028635584317,0.0108010715397635,0.026056607009791,0.0221208198685963,0.0118097024237475
DEL,repeats,2,1,0.0167147827268978,0.0235557031541769,0.00946564427598942,0.0236755240500244,0.0387776893028091,0.00431988065792677,0.00239839504599812,0.0229559904690104,0.00952790878771612,0.0266838762123433,0.0232904583770369,0.0163878803068261
DEL,repeats,2,2,0.00925280200582232,0.00419011892630661,0.0121157555837477,0.00767326546734758,0.0112633813018918,0.00206400032911063,0.00174150579270094,0.00442644250898606,0.00294389721819258,0.00518001559524994,0.00316408689378369,0.0127989329266674
DEL,repeats,2,3,0.00122054544503471,0.000487733768669335,0.00655909706371279,0.0038049418389921,0.00174907794172073,0.000542850378913663,0.000713735546128828,0.000387762243676158,0.00157255478463559,0.000455750279979418,0.000822788903237802,0.00765817333782195
DEL,repeats,2,4,0.00176349245379097,0.000773422868337607,0.00297241141021782,0.00511420615952054,0.0018932311234744,0.000727216090656013,0.000462045148360555,0.000414285655917251,0.00171609123916197,0.00087344930318636,0.000708351269474608,0.00397152417959711
