Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10
DEL,C,1,0,0.0034720018925696,3.48689650681074e-06,0.00378211122647727,0.00587294483566098,0.0217782145615819,0.033761269811985,0.114562491388334,0.363063323106557,0.00816739229278963,0.0110084822316504
DEL,C,1,1,0.000138489599063988,0.000567846226535874,2.76822602703793e-05,2.13755764399886e-05,0.0222185907116451,0.00961555022634323,0.211411894805296,0.10648629579379,0.000154004682199739,0.00272222448533462
DEL,C,1,2,1.22309956529281e-06,1.2269514365265e-06,2.11194026321893e-06,2.96594855178907e-06,0.0173335957028935,0.00399436024687766,0.180222694677566,2.57956671613182e-05,0.000136543744584018,0.000237099431160886
DEL,C,1,3,0.0024930506188459,0.00157998484166073,0.00190381737188864,0.00330745942038234,0.0108713432648144,0.00122088801932835,0.0669228585010737,0.0134057636795773,0.000565961751189506,0.000726705211085537
DEL,C,1,4,0.0032918752509778,0.000736187154075164,0.00291492228243484,0.0048185451910673,0.00152087781730707,0.00177471420772307,0.0425344704731081,0.0108371822475921,0.00162894935845989,0.00227013122596273
DEL,C,1,5+,0.0115011836938865,0.00339718913046714,0.0128236418929141,0.0192926139305693,0.00122658450114623,0.000666476694943703,0.0225864558302546,6.13207280714041e-05,0.00283465275091634,0.00216455272559504
DEL,T,1,0,0.00641506852430304,0.00151139224144887,0.00602350554429317,0.0106106195990437,0.0957604869206156,0.0125277310835666,0.0365461645816285,0.11102085360657,0.0161714402640847,0.0081610863512881
DEL,T,1,1,1.4591964795056e-06,1.17487478300047e-06,1.94070191491516e-06,2.15996223332069e-06,0.139222763097958,6.5456057458623e-06,0.00368591227994957,0.0294349838545387,0.000136339041300333,0.0451613703775858
DEL,T,1,2,0.00577635822403033,0.000660395375397354,0.00660185613273981,0.00904380296677187,0.0988683603798775,0.00917312385006711,0.0173790859191435,0.0861487415382415,0.0100136625856171,0.000116693312028298
DEL,T,1,3,0.0175046650622112,0.00156642930918607,0.0144632632077474,0.0268723549446245,0.0797082793242733,0.0167254802783458,0.0157943634427691,0.114737299742885,0.0195340328679147,0.00165534527000294
DEL,T,1,4,0.0367468115795974,0.00313154828581533,0.0372179604073484,0.0628286658706329,0.0420136923626762,0.0118929180641865,0.0133374089558172,0.0932189525277442,0.0143552101574276,0.000402447322991691
DEL,T,1,5+,0.648797763216352,3.85492748732881e-06,0.844016628879938,0.764938541136417,0.0126131424004507,1.16779653176584e-05,0.00499384663690097,4.10776209961435e-05,0.0604453850012742,0.000416004225529881
INS,C,1,0,1.39978636119108e-06,1.2629613687427e-06,2.14690772674523e-06,2.15868936402157e-06,0.000460948624911357,0.00215591651186794,0.00201053305517181,2.59458704994626e-05,0.454972285941464,0.000487395488340968
INS,C,1,1,0.000143954326076264,3.51595022305345e-06,0.000184855309218697,0.000314084124446318,0.00625713501332136,0.0015618553092794,0.00410797617626195,1.91474414977396e-05,0.0107343933587646,4.86556318184369e-05
INS,C,1,2,1.40957302605879e-05,2.01760447924005e-06,2.67878649501954e-05,2.53798287012125e-05,0.0056717600322791,0.000362640952443694,0.0037666685604556,4.38090050038189e-05,0.000602475089655788,5.71654106607093e-05
INS,C,1,3,0.000460622483398823,0.000759582569358548,0.000482476398240302,0.000638356984070565,0.0012210366655826,7.80140710191078e-06,0.00738720504726726,2.09438925791129e-05,0.00181353431067885,6.33535298139139e-05
INS,C,1,4,0.00258037992938944,0.00184337396469337,0.00236656540128478,0.00374897242496001,0.000225974118757836,0.000252284303174515,0.00744130029158251,3.76715923700568e-05,0.00120569920660813,9.13772461798827e-05
INS,C,1,5+,0.0102012559787013,0.0242744495284369,0.00957681080127467,0.0109386822319703,4.07815946998999e-06,8.25364137891024e-06,0.0067537773828512,3.11351857957298e-05,0.00117683250020964,0.000121460761281128
INS,T,1,0,0.00160694104549184,0.0020682920569805,0.0011725136401835,0.00166039077979361,0.0103819209223623,0.0053483127402927,0.0147998316980694,0.011351940880707,0.0324527137739899,0.00547394947145831
INS,T,1,1,2.78786736726287e-06,2.73200729170567e-06,3.62297724352926e-06,6.13017243853121e-06,0.0191207387037973,0.00135163286987799,0.0533589051210022,0.00754876116646039,0.00271982266421531,0.000208354994504108
INS,T,1,2,0.000571901147593851,1.99697929061441e-05,0.000652657566856029,0.000744831606641157,0.0279519952722275,6.14575076631515e-06,0.047552744117861,2.21403346141142e-05,0.0014478149349052,6.72466389933316e-05
INS,T,1,3,0.00192772378176422,0.0038048654968031,0.00103941258895309,0.00129258866761601,0.0189758556890686,1.78532863090066e-05,0.0278358915622493,9.18703518637808e-05,0.000541461214189423,0.000107942112279413
INS,T,1,4,0.0056630719043696,0.0172102138928973,0.00293930245753002,0.00428887782251523,0.012115672934354,0.000404968823284133,0.00680244628110614,4.15515706334983e-05,0.00497364339598808,0.000792347126345264
INS,T,1,5+,0.19182040881488,0.897477041086887,0.000160978075172207,8.10712819317202e-05,4.39475622351442e-06,0.00160576736705009,0.0140659602838645,2.93250200576437e-05,0.229468294344004,0.00267004456678796
DEL,repeats,2,0,0.000328299597745689,0.000343956539856293,8.42648268313539e-05,0.000240753614272937,0.0269631999554002,0.00363069197009062,0.00647752842353,0.0147874317285155,0.000936680207264081,0.0671488811650164
DEL,repeats,2,1,0.00293753689769868,0.000717935988524031,0.0029180244911394,0.00547152719969536,0.0210029464525588,0.00371528561060918,0.0101444803910617,0.00248493480408039,0.00646188917721857,0.221190574593341
DEL,repeats,2,2,0.00139778573515192,0.000198834078365991,0.00186751917253102,0.00236908549095792,0.00369117310718778,0.00118096278934516,0.0117177179203391,4.11786396347723e-05,0.002156792552795,0.0510931425746124
