Signature,NumberOfPostSamples
low confidence hdp.1,1438
low confidence hdp.2,1402
low confidence hdp.3,1400
low confidence hdp.4,1400
low confidence hdp.5,1400
low confidence hdp.6,1311
low confidence hdp.7,1201
low confidence hdp.8,1200
low confidence hdp.9,1018
low confidence hdp.10,1003
low confidence hdp.11,1000
low confidence hdp.12,1000
low confidence hdp.13,1000
low confidence hdp.14,987
low confidence hdp.15,986
low confidence hdp.16,982
low confidence hdp.17,800
low confidence hdp.18,800
low confidence hdp.19,800
low confidence hdp.20,790
low confidence hdp.21,650
low confidence hdp.22,600
low confidence hdp.23,600
low confidence hdp.24,600
low confidence hdp.25,599
low confidence hdp.26,587
low confidence hdp.27,548
low confidence hdp.28,403
low confidence hdp.29,402
low confidence hdp.30,401
low confidence hdp.31,400
low confidence hdp.32,400
low confidence hdp.33,400
low confidence hdp.34,400
low confidence hdp.35,400
low confidence hdp.36,400
low confidence hdp.37,400
low confidence hdp.38,399
low confidence hdp.39,397
low confidence hdp.40,393
low confidence hdp.41,386
low confidence hdp.42,378
low confidence hdp.43,373
low confidence hdp.44,370
low confidence hdp.45,352
low confidence hdp.46,350
low confidence hdp.47,339
low confidence hdp.48,333
low confidence hdp.49,330
low confidence hdp.50,319
low confidence hdp.51,253
low confidence hdp.52,220
low confidence hdp.53,220
low confidence hdp.54,214
low confidence hdp.55,200
low confidence hdp.56,200
low confidence hdp.57,200
low confidence hdp.58,200
low confidence hdp.59,200
low confidence hdp.60,200
low confidence hdp.61,200
low confidence hdp.62,200
low confidence hdp.63,200
low confidence hdp.64,200
low confidence hdp.65,200
low confidence hdp.66,200
low confidence hdp.67,200
low confidence hdp.68,200
low confidence hdp.69,200
low confidence hdp.70,200
low confidence hdp.71,200
low confidence hdp.72,200
low confidence hdp.73,200
low confidence hdp.74,200
low confidence hdp.75,200
low confidence hdp.76,200
low confidence hdp.77,200
low confidence hdp.78,200
low confidence hdp.79,200
low confidence hdp.80,200
low confidence hdp.81,200
low confidence hdp.82,200
low confidence hdp.83,200
low confidence hdp.84,200
low confidence hdp.85,200
low confidence hdp.86,200
low confidence hdp.87,200
low confidence hdp.88,199
low confidence hdp.89,199
low confidence hdp.90,199
low confidence hdp.91,199
low confidence hdp.92,198
low confidence hdp.93,198
low confidence hdp.94,197
low confidence hdp.95,197
low confidence hdp.96,196
low confidence hdp.97,196
low confidence hdp.98,196
low confidence hdp.99,195
low confidence hdp.100,194
low confidence hdp.101,193
low confidence hdp.102,191
low confidence hdp.103,189
low confidence hdp.104,188
low confidence hdp.105,187
low confidence hdp.106,182
low confidence hdp.107,182
low confidence hdp.108,182
low confidence hdp.109,181
low confidence hdp.110,181
low confidence hdp.111,180
low confidence hdp.112,179
low confidence hdp.113,177
low confidence hdp.114,176
low confidence hdp.115,171
low confidence hdp.116,167
low confidence hdp.117,166
low confidence hdp.118,164
low confidence hdp.119,161
low confidence hdp.120,159
low confidence hdp.121,141
low confidence hdp.122,139
low confidence hdp.123,135
low confidence hdp.124,134
low confidence hdp.125,133
low confidence hdp.126,131
low confidence hdp.127,129
low confidence hdp.128,124
low confidence hdp.129,123
low confidence hdp.130,122
low confidence hdp.131,121
low confidence hdp.132,119
low confidence hdp.133,119
low confidence hdp.134,116
low confidence hdp.135,115
low confidence hdp.136,111
low confidence hdp.137,109
low confidence hdp.138,107
low confidence hdp.139,104
low confidence hdp.140,102
low confidence hdp.141,96
low confidence hdp.142,96
low confidence hdp.143,96
low confidence hdp.144,94
low confidence hdp.145,92
low confidence hdp.146,89
low confidence hdp.147,81
low confidence hdp.148,72
low confidence hdp.149,66
low confidence hdp.150,59
low confidence hdp.151,58
low confidence hdp.152,52
low confidence hdp.153,52
low confidence hdp.154,50
low confidence hdp.155,44
low confidence hdp.156,44
low confidence hdp.157,38
low confidence hdp.158,36
low confidence hdp.159,35
low confidence hdp.160,35
low confidence hdp.161,33
low confidence hdp.162,33
low confidence hdp.163,32
low confidence hdp.164,31
low confidence hdp.165,29
low confidence hdp.166,27
low confidence hdp.167,25
low confidence hdp.168,25
low confidence hdp.169,22
low confidence hdp.170,20
low confidence hdp.171,17
low confidence hdp.172,17
low confidence hdp.173,17
low confidence hdp.174,17
low confidence hdp.175,16
low confidence hdp.176,16
low confidence hdp.177,16
low confidence hdp.178,15
low confidence hdp.179,13
low confidence hdp.180,13
low confidence hdp.181,11
low confidence hdp.182,11
low confidence hdp.183,10
low confidence hdp.184,10
low confidence hdp.185,10
low confidence hdp.186,9
low confidence hdp.187,8
low confidence hdp.188,8
low confidence hdp.189,7
low confidence hdp.190,6
low confidence hdp.191,6
low confidence hdp.192,6
low confidence hdp.193,6
low confidence hdp.194,6
low confidence hdp.195,6
low confidence hdp.196,6
low confidence hdp.197,5
low confidence hdp.198,4
low confidence hdp.199,4
low confidence hdp.200,4
low confidence hdp.201,4
low confidence hdp.202,4
low confidence hdp.203,4
low confidence hdp.204,4
low confidence hdp.205,4
low confidence hdp.206,4
low confidence hdp.207,4
low confidence hdp.208,4
low confidence hdp.209,3
low confidence hdp.210,3
low confidence hdp.211,3
low confidence hdp.212,2
low confidence hdp.213,2
low confidence hdp.214,2
low confidence hdp.215,2
low confidence hdp.216,2
low confidence hdp.217,2
low confidence hdp.218,2
low confidence hdp.219,2
low confidence hdp.220,2
low confidence hdp.221,2
low confidence hdp.222,2
low confidence hdp.223,2
low confidence hdp.224,2
low confidence hdp.225,2
low confidence hdp.226,2
low confidence hdp.227,2
low confidence hdp.228,2
low confidence hdp.229,2
low confidence hdp.230,2
low confidence hdp.231,2
low confidence hdp.232,2
low confidence hdp.233,2
low confidence hdp.234,2
low confidence hdp.235,2
low confidence hdp.236,2
low confidence hdp.237,2
low confidence hdp.238,2
low confidence hdp.239,2
low confidence hdp.240,2
low confidence hdp.241,2
low confidence hdp.242,2
low confidence hdp.243,2
low confidence hdp.244,2
low confidence hdp.245,2
low confidence hdp.246,2
low confidence hdp.247,2
low confidence hdp.248,2
low confidence hdp.249,2
low confidence hdp.250,2
low confidence hdp.251,2
low confidence hdp.252,2
