Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3400
low confidence hdp.3,3274
low confidence hdp.4,3200
low confidence hdp.5,2800
low confidence hdp.6,2199
low confidence hdp.7,1800
low confidence hdp.8,1643
low confidence hdp.9,1161
low confidence hdp.10,800
low confidence hdp.11,600
low confidence hdp.12,391
low confidence hdp.13,212
low confidence hdp.14,200
low confidence hdp.15,103
low confidence hdp.16,85
low confidence hdp.17,2
