Approach,Down_samp_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
mSigHdp,1k,seed.200437,0.892857142857143,0.78125,0.993057289739249,2.667164432596392,28,7,3
mSigHdp,1k,seed.310111,0.925925925925926,0.78125,0.99360483642153,2.7007807623474562,27,7,2
mSigHdp,1k,seed.528401,0.892857142857143,0.78125,0.993521283744589,2.6676284266017323,28,7,3
mSigHdp,1k,seed.1076753,0.892857142857143,0.78125,0.993628902482487,2.66773604533963,28,7,3
mSigHdp,1k,seed.145879,0.888888888888889,0.75,0.994137385498832,2.6330262743877206,27,8,3
mSigHdp,3k,seed.200437,0.862068965517241,0.78125,0.992250121615821,2.635569087133062,29,7,4
mSigHdp,3k,seed.310111,0.923076923076923,0.75,0.992382695936197,2.66545961901312,26,8,2
mSigHdp,3k,seed.528401,0.892857142857143,0.78125,0.99170260402899,2.665809746886133,28,7,3
mSigHdp,3k,seed.1076753,0.892857142857143,0.78125,0.991736056332528,2.665843199189671,28,7,3
mSigHdp,3k,seed.145879,0.925925925925926,0.78125,0.992657970915991,2.699833896841917,27,7,2
mSigHdp,5k,seed.200437,0.892857142857143,0.78125,0.99463625042665,2.668743393283793,28,7,3
mSigHdp,5k,seed.310111,0.862068965517241,0.78125,0.994075352660748,2.6373943181779893,29,7,4
mSigHdp,5k,seed.528401,0.862068965517241,0.78125,0.994890228634678,2.6382091941519192,29,7,4
mSigHdp,5k,seed.1076753,0.923076923076923,0.75,0.991799988837732,2.664876911914655,26,8,2
mSigHdp,5k,seed.145879,0.866666666666667,0.8125,0.993394276711359,2.672560943378026,30,6,4
mSigHdp,10k,seed.200437,0.896551724137931,0.8125,0.992703664710924,2.701755388848855,29,6,3
mSigHdp,10k,seed.310111,0.866666666666667,0.8125,0.993063077495784,2.6722297441624514,30,6,4
mSigHdp,10k,seed.528401,0.862068965517241,0.78125,0.992766798393015,2.636085763910256,29,7,4
mSigHdp,10k,seed.1076753,0.857142857142857,0.75,0.994152681419906,2.6012955385627627,28,8,4
