"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"signeR.1",0.000604856935389697,0.998929852885999,0.028829805376398,0.00357714845166068,0.14536759374422,0.024002752271812,0.0283150151753876,0.0140178474918529,0.0160946502495452,0.015615863667405,0.0763781851592017
"signeR.2",0.0021091032825622,0.999293241643255,0.0422916316013289,0.012028706479101,0.184786278200116,0.0313062665685746,0.0324996040930778,0.0485369783200844,0.0181432474411133,0.0257204464761875,0.0800936195307747
"signeR.3",0.999778138145363,0.00581033221214045,0.0859093986892678,0.00861510200511484,0.0145465394851961,0.0394575545718308,0.0518346442437185,0.0185444422291888,0.0612536070488516,0.0239336826456311,0.451895082046224
"signeR.4",0.999754791088625,0.00425896927015712,0.0821181489648,0.0043435108229416,0.00751897723023065,0.038477020178902,0.0509764720821262,0.0145269644805242,0.0583804019667447,0.0221740852208799,0.45155078740984
"signeR.5",0.00273047041676366,0.998845167984085,0.0419739025197041,0.0103306136412394,0.178881265744446,0.0306921030626653,0.0307632959704019,0.0458352130238133,0.0181987549096514,0.0236799381986984,0.0799957705629801
"signeR.6",0.0052538006438867,0.0622649723758918,0.291065767056913,0.180456543949049,0.975966217409781,0.0961282653193378,0.15966226590899,0.487887237134868,0.148797210412087,0.736420047851226,0.0583927418888873
"signeR.7",0.10575031241492,0.991713734224642,0.0526844209419622,0.0135904073965326,0.180823247207951,0.0343921358781587,0.0361520934217636,0.0540766070963973,0.0258710173491408,0.0258420826257741,0.126143172095329
"signeR.8",0.000494128957872597,0.00245802619122715,0.0785879063324051,0.0356383703192531,0.154308979373843,0.4427839699782,0.996635012228283,0.0999873290816146,0.0113766665006497,0.0754081188428259,0.0305929058163847
"signeR.9",0.00405044226347984,0.0100455569034229,0.989878939241966,0.0744324029492727,0.328260756299598,0.0592628958102225,0.095558899942094,0.488107591920247,0.23090974487927,0.106943702456428,0.0298304030875695
"signeR.10",0.00111357426485736,0.00631395903105691,0.0589110856395885,0.0232015087841032,0.112893486052186,0.998056491414422,0.442826875700903,0.0974205755538144,0.00519343247704163,0.0462413879337803,0.0224508354102145
"signeR.11",0.00308152694845321,0.0297064800935202,0.550119529328519,0.0396870569858538,0.498665495152603,0.10831512815071,0.135286632606426,0.997009152520298,0.0170859004658563,0.245888520415225,0.0513326638959124
"signeR.12",0.332455548171704,0.197171544272608,0.0576957683836514,0.0167385279127283,0.0748891792938893,0.0335418049879004,0.043996454150073,0.0413857336787727,0.0400982014438378,0.0330735161326919,0.98490323972797
"signeR.13",0.00593046226729876,0.00769468320186184,0.0653783448031401,0.986472309856087,0.246528746972132,0.0285776357392451,0.0462185560699733,0.0694180887386875,0.0049204750243842,0.122543370630745,0.0221586975916892
