Signature,NumberOfPostSamples
low confidence hdp.1,3590
low confidence hdp.2,2869
low confidence hdp.3,2619
low confidence hdp.4,2596
low confidence hdp.5,2277
low confidence hdp.6,2201
low confidence hdp.7,2199
low confidence hdp.8,2198
low confidence hdp.9,1650
low confidence hdp.10,1351
low confidence hdp.11,800
low confidence hdp.12,600
low confidence hdp.13,588
low confidence hdp.14,408
low confidence hdp.15,400
low confidence hdp.16,391
low confidence hdp.17,335
low confidence hdp.18,277
low confidence hdp.19,268
low confidence hdp.20,203
low confidence hdp.21,200
low confidence hdp.22,181
low confidence hdp.23,158
low confidence hdp.24,91
low confidence hdp.25,75
low confidence hdp.26,62
low confidence hdp.27,43
low confidence hdp.28,43
low confidence hdp.29,32
low confidence hdp.30,30
low confidence hdp.31,27
low confidence hdp.32,23
low confidence hdp.33,23
low confidence hdp.34,21
low confidence hdp.35,15
low confidence hdp.36,14
low confidence hdp.37,12
low confidence hdp.38,8
low confidence hdp.39,7
low confidence hdp.40,7
low confidence hdp.41,4
low confidence hdp.42,4
low confidence hdp.43,4
low confidence hdp.44,4
low confidence hdp.45,2
low confidence hdp.46,2
low confidence hdp.47,2
low confidence hdp.48,2
low confidence hdp.49,2
low confidence hdp.50,2
low confidence hdp.51,2
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
low confidence hdp.63,2
low confidence hdp.64,2
low confidence hdp.65,2
low confidence hdp.66,2
