Signature,NumberOfPostSamples
low confidence hdp.1,2999
low confidence hdp.2,2600
low confidence hdp.3,2000
low confidence hdp.4,1485
low confidence hdp.5,1480
low confidence hdp.6,1178
low confidence hdp.7,1067
low confidence hdp.8,800
low confidence hdp.9,800
low confidence hdp.10,799
low confidence hdp.11,600
low confidence hdp.12,599
low confidence hdp.13,213
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,66
low confidence hdp.17,24
low confidence hdp.18,7
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
