Signature,NumberOfPostSamples
low confidence hdp.1,3412
low confidence hdp.2,2755
low confidence hdp.3,2750
low confidence hdp.4,2400
low confidence hdp.5,1800
low confidence hdp.6,1722
low confidence hdp.7,1120
low confidence hdp.8,801
low confidence hdp.9,800
low confidence hdp.10,798
low confidence hdp.11,600
low confidence hdp.12,600
low confidence hdp.13,600
low confidence hdp.14,567
low confidence hdp.15,496
low confidence hdp.16,480
low confidence hdp.17,410
low confidence hdp.18,400
low confidence hdp.19,400
low confidence hdp.20,400
low confidence hdp.21,200
low confidence hdp.22,200
low confidence hdp.23,200
low confidence hdp.24,98
low confidence hdp.25,69
low confidence hdp.26,69
low confidence hdp.27,60
low confidence hdp.28,40
low confidence hdp.29,36
low confidence hdp.30,27
low confidence hdp.31,20
low confidence hdp.32,19
low confidence hdp.33,6
low confidence hdp.34,6
low confidence hdp.35,6
low confidence hdp.36,6
low confidence hdp.37,6
low confidence hdp.38,2
low confidence hdp.39,2
low confidence hdp.40,2
low confidence hdp.41,2
low confidence hdp.42,2
low confidence hdp.43,2
low confidence hdp.44,2
low confidence hdp.45,2
low confidence hdp.46,2
low confidence hdp.47,2
low confidence hdp.48,2
low confidence hdp.49,2
low confidence hdp.50,2
low confidence hdp.51,2
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
