"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.963397061726431
"SBS96B","SBS7b",0.997369727527109
"SBS96C","SBS2",0.999946682787317
"SBS96E","SBS4",0.969506471510541
"SBS96G","SBS1",0.999992514890771
"SBS96I","SBS44",0.971399719531607
"SBS96J","SBS17b",0.99999616389505
"SBS96K","SBS13",0.999983651353014
"SBS96L","SBS26",0.996332586518927
"SBS96M","SBS36",0.995030681872305
"SBS96O","SBS7c",0.999534868351297
"SBS96P","SBS12",0.940919164074202
"SBS96Q","SBS17a",0.999950331488105
"SBS96R","SBS7d",0.99996163798821
"SBS96U","SBS22",0.998772972316404
"SBS96V","SBS37",0.962973625719201
"SBS96X","SBS28",0.984496596520266
"SBS96Y","SBS34",0.992217250051572
