Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16
DEL,C,1,0,0.0223359489249229,1.47655787359271e-68,0.000249096614276945,0.00327031175802895,0.0801587030739214,0.0479240706449595,0,2.43515401586184e-108,0,0.612032408589244,1.59273051867487e-49,3.49439275373279e-78,1.49551810792765e-302,0,1.82055598426368e-119,2.47752326755876e-36
DEL,C,1,1,0.000882368217202248,0,0,0,0.266892399353275,0,0,0,0.000439955604438761,0.140993463555144,0,0.0174412179779763,3.615525443964e-209,0,8.70159905636083e-243,0.0161581902283645
DEL,C,1,2,0.00533468530363452,0,0,0,0.250995598126916,0,0,0,0,0,0,0.0206681721480284,0,0,4.11906938730471e-60,0
DEL,C,1,3,0,3.28710011150282e-200,0,0.00174923157830304,0.07943980250244,3.83572320589341e-06,3.03958798304752e-228,0.000236672783911576,0.00120816006027271,0.0136075792253714,0.0303136074294022,0.0179366366074771,1.11253706492476e-308,0,0.00309314453701252,0.00467582404380624
DEL,C,1,4,0.00177608257930877,0.00449261062592695,0.000857038920829615,0.00245893393575187,0.0462066938750405,0.0705738456556291,0,0.000525930632401058,0.000511845046086503,0.0156527539489825,7.62304624560601e-56,0,0,0,0,0
DEL,C,1,5+,0,0,0,0.00875610299227086,1.29419325541849e-05,0.369699640200439,0,0,0.00159650350142348,0,1.84446793460716e-212,0,0,0,0,0
DEL,T,1,0,0,0.0302859178746448,0.0223144145320895,0.00569634185129534,0.0180603465202019,0.102236868301557,0,0,1.42968907202504e-48,0.157495990721381,0.01464903989488,0.193622193166089,1.78414771127878e-133,0,0.0419199612393086,0.0298365373994117
DEL,T,1,1,0,0,0,0,1.76580409678281e-101,0,0,0,0,0,0,1.05944521458825e-19,0,0,0.767540335812885,0
DEL,T,1,2,0.000717315549000739,0.0458649277382535,2.51348306644753e-261,0.00310081970342341,0.0107758014638525,0.0268469129001723,0.972165805705744,0,2.87287886176449e-211,2.27882060323704e-87,1.07619752282229e-158,0.111265575774099,6.99726368536959e-132,0,1.33657134099016e-08,2.61928788410468e-199
DEL,T,1,3,2.78297197497526e-56,0.088326311507718,0,0.00865031783641468,2.15683517250491e-127,0.215804946716995,1.72355134293927e-266,0,0.00105992554523385,1.97081369485633e-09,1.20699539817744e-25,0.0296125550540804,0.983198985576174,0,3.2735049651521e-64,2.26191251532297e-204
DEL,T,1,4,2.56389868526044e-107,0.780319773884597,0,0.0283470045049294,2.73749693591629e-99,8.62029647725545e-268,0,4.60257316988051e-303,4.21165955905132e-68,4.58716246573719e-182,5.01558485043545e-209,6.21119291796787e-44,2.5686218741532e-268,0,2.39902019056963e-142,7.26712519808265e-247
DEL,T,1,5+,1.99379995131042e-159,2.22768294479277e-151,0,0.88495157845413,6.76746860386273e-77,1.28766959399991e-187,0,0,7.72964697661019e-111,2.73450702087115e-298,1.76155187018157e-180,5.4379565478881e-75,1.04578459464215e-284,0,3.35827314637794e-168,2.32167555076969e-142
INS,C,1,0,0,0,0.74424729552883,0,0,0,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,0.00120765686882498,0,0.022583669680373,0.000186991131851177,0,0.00243357482401988,0,0,0,0,0,0,0,0.168480662936526,0,0
INS,C,1,2,0,0,0.000233064393567066,1.37642879282851e-05,0.000912002093465693,0.000120189747883422,0,0,0,0,0,0.00387544357697638,0,0.100804165801644,0.000571113851324323,9.59743236012548e-05
