Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16
INS,C,1,5+,0.0211338832556329,0.0499651314096178,0.00102542836525779,0.00136578101604821,0.000422632342846548,0.010457944629021,0.00533018926552395,0.00077198386238377,0.354336531164257,0.000922595095048257,0.00101931258237656,0.00226603846421737,0.00112445802596238,0.039098611213945,0.0109986707259551,0.182173821103827
INS,T,1,0,0.00211117919580871,0.00275763054501155,0.0126839022117022,0.00263253330544311,0.0081372179132342,0.0224809596953321,0.00519567020497312,0.00126737606199876,0.00845558017326295,0.00122804719035231,0.0266048562963746,0.00748046508388297,0.0116480430011081,0.00246184275937933,0.0218472621242657,0.00687248889828716
INS,T,1,1,1.99991314098116e-05,0.000180240387916491,0.0109124398609227,0.00129697643631835,0.0125564552242221,0.0469835639091005,0.0112852476415373,0.013726781616365,0.000411427681855205,0.0130101630200827,0.0132944491847245,0.00388927518643612,0.0106929902235986,7.13960843214199e-05,0.0241842116547318,0.000211461196870374
INS,T,1,2,0.000416357534803607,0.00665178125735863,0.0327670867725502,0.000816018272232092,0.0334716958377407,0.0336304953007949,0.0250613253891784,0.0243979963705506,0.00426253904624762,0.0239255834846245,0.0113316241728682,0.001402476527997,0.00691533502138434,0.00441598003025079,0.0690150508125724,0.0024318037640093
INS,T,1,3,0.0028015563663893,0.00174748400636418,0.0154043385993666,0.00213021270083348,0.0170388109714163,0.0249015185125151,0.0174588896056531,0.0129863328154822,0.023578327398211,0.0136802111213012,0.0232482061046052,0.00098574739131102,0.00749311330837811,0.00143585458468633,0.0414004545259637,0.0183971241277226
INS,T,1,4,0.00964570251401696,0.00708076707107632,0.00746729325883744,0.00175195598582491,0.00968800524335732,0.00884024499973714,0.0123635353491272,0.00815841214436057,0.0693292709482945,0.0108425511738319,0.00743390052127566,0.00164271556288537,0.0050649714138873,0.00630400981563945,0.0123279447708074,0.0578346373440474
INS,T,1,5+,0.489239601252997,0.0143240822220528,0.00214664814324091,0.0397994733989938,0.00119314521159112,0.074721989797425,0.18296566657338,0.00643343038815771,0.0187848242490287,0.00366742156257214,0.00414307677807461,0.011375642949309,0.00378092873358529,0.0104899357964101,0.0209253462544488,0.398868682596744
DEL,repeats,2,0,0.000369263792906486,0.00099993133699508,0.0358161873713144,0.00321332886901006,0.0316233703758386,0.0099891780863949,0.0214139160587618,0.0409023639765685,0.00570160929381774,0.0445663091829032,0.0229041133052707,0.00411947966704168,0.00962500061378713,0.000883196006050157,0.0173663221988766,0.00306618735462043
DEL,repeats,2,1,0.00292185238911747,0.0149457351638413,0.0148958461260784,0.00403723170130914,0.0208672488370238,0.011111959783233,0.0214534835896038,0.0327415901756197,0.0169852914603737,0.0308731213385989,0.0193056007835342,0.0029395341369634,0.00611577498400062,0.0110849031657553,0.00535997598730758,0.00676675829985198
DEL,repeats,2,2,0.00118940703855616,0.00324680179939197,0.00405138406340153,0.00058675952566891,0.00488917583352221,0.0107195929323046,0.00361167729307055,0.00203963776633409,0.00710824717907946,0.00141346459787756,0.00135642378868114,0.00270224644156997,0.00821574535854171,0.00307532022465968,0.00347326443977531,0.00523366462254176
DEL,repeats,2,3,0.000644954337520959,0.00275452385997296,0.000452103681075587,0.000293042815823045,0.000151734544142276,0.00746435932301463,0.000163950871466959,0.000852974791260815,0.00116015193171783,0.00105236232507939,0.000628343372697882,0.000841131756058805,0.000660434954113274,0.00208370794241774,0.00621757214527679,0.000264326496087968
DEL,repeats,2,4,0.000448455458232464,0.00388556783673201,0.000586867265518068,0.000233976004722919,0.000755233854187032,0.00291443991038483,0.000750214619585804,0.000886732588374231,0.00121389698925748,0.000979742586735044,0.000423882433962857,0.00132338062953252,0.000764369575144731,0.00294310525369409,0.0014150336606492,0.000634383590611123
DEL,repeats,2,5+,8.52163507118474e-06,8.25114483976456e-05,0.0279530798892767,0.000241388838973933,0.0237221283541042,0.00102660525659832,0.0167296054454201,0.0293323305091162,0.000239072842159106,0.035232801162914,0.00440239309061659,0.000406104314504181,0.0285173685390721,6.08188866441725e-05,0.00966939668110287,0.000528652992175936
DEL,repeats,3,0,6.32121286970511e-05,0.000157493134752622,0.0146227760324919,0.00448537122648409,0.0187785183105985,0.00158997377987158,0.0138471859518026,0.0175923966882906,0.00107860770648527,0.0174090225657726,0.00323497099896124,0.0029814431577916,0.0145017439738379,8.46175814179791e-05,0.0161871274816689,0.000581518291393529
DEL,repeats,3,1,0.0051133034575147,0.0115331732881534,0.00408320416282395,0.00190476145549922,0.00583403705855333,0.00065526320145007,0.00585809024663133,0.0043312781827247,0.0401447780653447,0.00532345105966173,0.0025926644402034,0.0105533997660178,0.00276040532865437,0.0113176015146547,0.00645341108871832,0.0280714738845422
DEL,repeats,3,2,0.00140094645077476,0.00502035036667308,0.00131740509440123,0.00176526539277559,0.00106564597045428,0.000465291211086223,0.00112983621296078,0.000599999694373853,0.0186652878279491,0.000891650601733141,0.00100684545196589,0.000596170577978521,0.00216380423627695,0.00451910770760395,0.000986235581664594,0.00798266018185663
DEL,repeats,3,3,0.000460504829004202,0.000916156152310552,0.000787158401216488,0.000133936437035369,0.000706175593770093,5.54132973711402e-05,0.000717158201413995,0.000612502582193637,0.00253528409359424,0.000879672088191806,0.000629340743130736,0.000102706614424022,0.00182744888789956,0.000388712014638842,0.000450237982933836,0.00158595897652781
DEL,repeats,3,4,4.88564330510343e-06,3.80173999636886e-05,0.00575013367918459,5.57984250894519e-05,0.00661926305242738,0.000162591754032853,0.00495768508276013,0.00662014017959982,0.000121389698925748,0.00604790157654707,0.000831308255783627,8.44083095553748e-05,0.00995726404795069,7.93289825793554e-06,0.00289438703314609,0
DEL,repeats,3,5+,5.94702342581713e-06,7.38232614253345e-05,0.0111508091593014,0.000401539753496979,0.00894060678125108,0.000149055241681276,0.00628203749164578,0.00984602415807985,0.000227026536158841,0.0115827234897403,0.0008308095705672,0.000493463963554499,0.00327434975391228,2.64429941931185e-05,0.00257278847390764,0.000105730598435187
