Approach,Noise_level,Run,CPU_time
mSigHdp,Noiseless,seed.145879,401313.454
mSigHdp,Noiseless,seed.200437,400288.959
mSigHdp,Noiseless,seed.310111,400077.434
mSigHdp,Noiseless,seed.528401,395850.305
mSigHdp,Noiseless,seed.1076753,409050.675
mSigHdp,Realistic,seed.145879,512662.866
mSigHdp,Realistic,seed.200437,517940.201
mSigHdp,Realistic,seed.310111,512623.635
mSigHdp,Realistic,seed.528401,513239.173
mSigHdp,Realistic,seed.1076753,524300.26
signeR,Noiseless,seed.145879,733110.327
signeR,Noiseless,seed.200437,680529.989
signeR,Noiseless,seed.310111,744798.978
signeR,Noiseless,seed.528401,661956.94
signeR,Noiseless,seed.1076753,1056582.686
signeR,Realistic,seed.145879,863908.54
signeR,Realistic,seed.200437,626767.543
signeR,Realistic,seed.310111,698393.888
signeR,Realistic,seed.528401,1145976.107
signeR,Realistic,seed.1076753,675841.927
SignatureAnalyzer,Noiseless,seed.145879,88164.9110000001
SignatureAnalyzer,Noiseless,seed.200437,70012.3019999999
SignatureAnalyzer,Noiseless,seed.310111,67168.995
SignatureAnalyzer,Noiseless,seed.528401,91373.691
SignatureAnalyzer,Noiseless,seed.1076753,61351.6479999999
SignatureAnalyzer,Realistic,seed.145879,161793.674
SignatureAnalyzer,Realistic,seed.200437,168239.008
SignatureAnalyzer,Realistic,seed.310111,111497.293
SignatureAnalyzer,Realistic,seed.528401,137332.951
SignatureAnalyzer,Realistic,seed.1076753,120675.468
SigProfilerExtractor,Noiseless,seed.145879,308465.4
SigProfilerExtractor,Noiseless,seed.200437,306714.18
SigProfilerExtractor,Noiseless,seed.310111,301380.06
SigProfilerExtractor,Noiseless,seed.528401,299888.34
SigProfilerExtractor,Noiseless,seed.1076753,298735.21
SigProfilerExtractor,Realistic,seed.145879,171996.2
SigProfilerExtractor,Realistic,seed.200437,173403.92
SigProfilerExtractor,Realistic,seed.310111,171235.3
SigProfilerExtractor,Realistic,seed.528401,175469.36
SigProfilerExtractor,Realistic,seed.1076753,175572.03
