Approach,Noise_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
mSigHdp,Noiseless,seed.145879,0.928571428571429,1,0.998576973257623,2.927148401829052,14,0,1
mSigHdp,Noiseless,seed.200437,1,1,0.998315933763666,2.9983159337636662,13,0,0
mSigHdp,Noiseless,seed.310111,0.928571428571429,1,0.998633916731656,2.927205345303085,14,0,1
mSigHdp,Noiseless,seed.528401,1,1,0.998444009380401,2.998444009380401,13,0,0
mSigHdp,Noiseless,seed.1076753,1,1,0.996628311528275,2.996628311528275,13,0,0
mSigHdp,Realistic,seed.145879,0.928571428571429,1,0.991171387944536,2.919742816515965,14,0,1
mSigHdp,Realistic,seed.200437,0.866666666666667,1,0.990963432311844,2.857630098978511,15,0,2
mSigHdp,Realistic,seed.310111,0.866666666666667,1,0.991101043804838,2.857767710471505,15,0,2
mSigHdp,Realistic,seed.528401,0.866666666666667,1,0.991131482020146,2.857798148686813,15,0,2
mSigHdp,Realistic,seed.1076753,0.866666666666667,1,0.991072237161162,2.857738903827829,15,0,2
signeR,Noiseless,seed.145879,0.666666666666667,0.615384615384615,0.995535212586835,2.277586494638117,12,5,4
signeR,Noiseless,seed.200437,0.727272727272727,0.615384615384615,0.995591897397791,2.338249240055133,11,5,3
signeR,Noiseless,seed.310111,0.5,0.461538461538462,0.992310917439598,1.95384937897806,12,7,6
signeR,Noiseless,seed.528401,0.727272727272727,0.615384615384615,0.991930793664575,2.334588136321917,11,5,3
signeR,Noiseless,seed.1076753,0.625,0.769230769230769,0.997975966935212,2.3922067361659813,16,3,6
signeR,Realistic,seed.145879,0.571428571428571,0.615384615384615,0.99025856013945,2.177071746952636,14,5,6
signeR,Realistic,seed.200437,0.666666666666667,0.461538461538462,0.983569511824023,2.111774640029152,9,7,3
signeR,Realistic,seed.310111,0.5,0.461538461538462,0.992866482600834,1.9544049441392959,12,7,6
signeR,Realistic,seed.528401,0.526315789473684,0.769230769230769,0.992884912596755,2.288431471301208,19,3,9
signeR,Realistic,seed.1076753,0.6,0.461538461538462,0.986625626466471,2.048164088004933,10,7,4
SigProfilerExtractor,Noiseless,seed.145879,1,0.769230769230769,0.994221304458587,2.763452073689356,10,3,0
SigProfilerExtractor,Noiseless,seed.200437,1,0.769230769230769,0.993826985872189,2.7630577551029583,10,3,0
SigProfilerExtractor,Noiseless,seed.310111,1,0.769230769230769,0.993803338795263,2.763034108026032,10,3,0
SigProfilerExtractor,Noiseless,seed.528401,1,0.769230769230769,0.994071709820344,2.763302479051113,10,3,0
SigProfilerExtractor,Noiseless,seed.1076753,1,0.769230769230769,0.99370285823114,2.7629336274619094,10,3,0
SigProfilerExtractor,Realistic,seed.145879,0.833333333333333,0.769230769230769,0.989285523137837,2.591849625701939,12,3,2
SigProfilerExtractor,Realistic,seed.200437,0.833333333333333,0.769230769230769,0.989380556634963,2.5919446591990654,12,3,2
SigProfilerExtractor,Realistic,seed.310111,0.833333333333333,0.769230769230769,0.989378100773802,2.5919422033379043,12,3,2
SigProfilerExtractor,Realistic,seed.528401,0.833333333333333,0.769230769230769,0.989108157082488,2.5916722596465904,12,3,2
SigProfilerExtractor,Realistic,seed.1076753,0.833333333333333,0.769230769230769,0.989426026658713,2.591990129222815,12,3,2
SignatureAnalyzer,Noiseless,seed.145879,0.909090909090909,0.769230769230769,0.995388570632534,2.6737102489542117,11,3,1
SignatureAnalyzer,Noiseless,seed.200437,0.909090909090909,0.769230769230769,0.995387594559645,2.673709272881323,11,3,1
SignatureAnalyzer,Noiseless,seed.310111,0.909090909090909,0.769230769230769,0.995387951909286,2.673709630230964,11,3,1
SignatureAnalyzer,Noiseless,seed.528401,0.909090909090909,0.769230769230769,0.995384235758627,2.673705914080305,11,3,1
SignatureAnalyzer,Noiseless,seed.1076753,0.909090909090909,0.769230769230769,0.995386015884905,2.673707694206583,11,3,1
SignatureAnalyzer,Realistic,seed.145879,0.666666666666667,0.769230769230769,0.975662156410257,2.411559592307693,15,3,5
SignatureAnalyzer,Realistic,seed.200437,0.533333333333333,0.615384615384615,0.989907245747102,2.13862519446505,15,5,7
SignatureAnalyzer,Realistic,seed.310111,0.5,0.615384615384615,0.989098929080067,2.104483544464682,16,5,8
SignatureAnalyzer,Realistic,seed.528401,0.533333333333333,0.615384615384615,0.9898807689887,2.138598717706648,15,5,7
SignatureAnalyzer,Realistic,seed.1076753,0.6,0.692307692307692,0.98047006794756,2.272777760255252,15,4,6
