Signature,NumberOfPostSamples
low confidence hdp.1,3416
low confidence hdp.2,3223
low confidence hdp.3,3200
low confidence hdp.4,3200
low confidence hdp.5,3043
low confidence hdp.6,2999
low confidence hdp.7,2939
low confidence hdp.8,2599
low confidence hdp.9,2476
low confidence hdp.10,2350
low confidence hdp.11,1601
low confidence hdp.12,1000
low confidence hdp.13,999
low confidence hdp.14,657
low confidence hdp.15,600
low confidence hdp.16,378
low confidence hdp.17,323
low confidence hdp.18,239
low confidence hdp.19,211
low confidence hdp.20,200
low confidence hdp.21,200
low confidence hdp.22,200
low confidence hdp.23,200
low confidence hdp.24,197
low confidence hdp.25,163
low confidence hdp.26,88
low confidence hdp.27,42
low confidence hdp.28,35
low confidence hdp.29,32
low confidence hdp.30,32
low confidence hdp.31,28
low confidence hdp.32,25
low confidence hdp.33,24
low confidence hdp.34,18
low confidence hdp.35,17
low confidence hdp.36,17
low confidence hdp.37,10
low confidence hdp.38,8
low confidence hdp.39,7
low confidence hdp.40,7
low confidence hdp.41,6
low confidence hdp.42,6
low confidence hdp.43,6
low confidence hdp.44,5
low confidence hdp.45,5
low confidence hdp.46,4
low confidence hdp.47,4
low confidence hdp.48,4
low confidence hdp.49,4
low confidence hdp.50,4
low confidence hdp.51,3
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
low confidence hdp.56,2
low confidence hdp.57,2
low confidence hdp.58,2
low confidence hdp.59,2
low confidence hdp.60,2
low confidence hdp.61,2
low confidence hdp.62,2
low confidence hdp.63,2
low confidence hdp.64,2
low confidence hdp.65,2
low confidence hdp.66,2
low confidence hdp.67,2
low confidence hdp.68,2
