Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (ID1 1),signeR.3 (ID5 0.983),signeR.4 (False Positive) (ID2 1),signeR.5 (False Positive) (ID2 1),signeR.6 (ID8 0.999),signeR.7 (ID3 0.998),signeR.8 (ID6 1),signeR.9 (ID14 0.999),signeR.10 (ID9 0.999),signeR.11 (ID4 0.992)
DEL,C,1,0,0.00488818719756199,1.79655794071458e-06,0.0242219136166373,0.00364675450747747,0.00460350113345338,0.0442567431993078,0.114186393457144,0.0327383487477547,0.00915450161000877,0.354128931314479,0.0135670633064438
DEL,C,1,1,1.96933025339812e-05,0.00058696782107588,0.0229147332424848,1.30536158535814e-05,0.00011995090981029,0.0230577486703024,0.201637748847067,0.00533197978380552,0.000900911968435987,0.105307290694612,0.00240319887248161
DEL,C,1,2,7.19115835599247e-07,6.11142316438193e-07,0.0207835546405129,4.19639370001719e-06,5.59278728097716e-06,1.20654044303753e-05,0.171405693581422,0.00750258715110502,0.000312548729629771,0.000118176273026787,0.000528257564401197
DEL,C,1,3,0.00247863526371911,0.00190963294378163,0.01172660752489,0.00241616546942597,0.00247492724133769,0.00468697255003544,0.0626983298580397,0.000864465884181806,0.000343509472844339,0.0106986991967047,0.000344425631024684
DEL,C,1,4,0.00385212094086375,0.000772003734763759,0.00244979593009714,0.00366651371031326,0.003748628991487,0.000356097545896151,0.0414476795669167,0.00240091409579693,0.00179187011075011,0.0132428574660732,0.00115867145194494
DEL,C,1,5+,0.014602957413629,0.00370915243188348,0.00180944984038617,0.014537525312694,0.0142021914427832,4.43895178444711e-06,0.0218510729283558,0.00117136822516511,0.00249927563331544,2.51919688018396e-05,0.00208223899577148
DEL,T,1,0,0.00797086117411625,0.00094887781431638,0.0974426931215423,0.0076750683414093,0.00824557520768566,0.0341446766714856,0.0400976028303014,0.00464487701163028,0.0174977779333844,0.111483413681848,0.00535669304137998
DEL,T,1,1,8.34688896224626e-07,5.7896296343288e-07,0.148569468478961,4.34260117447422e-06,5.77941577629904e-06,0.0072617399500642,0.0060272310708141,2.77763366149086e-05,0.000119621998851064,0.0330650619882917,0.0411703100184229
DEL,T,1,2,0.00707909601719036,0.000770077395693838,0.106700352026586,0.00674246251461309,0.00718908039621429,0.00699242947752552,0.0204961309473389,0.0122516580851663,0.010529740296527,0.0912483802138393,9.8839639661766e-05
DEL,T,1,3,0.0202954434907996,0.00188269103157572,0.0875532362404044,0.0200657634994147,0.0206837276841504,0.00806318593137286,0.0212826144391655,0.0234126703464439,0.0167922273467966,0.12034995586968,0.000579222703800479
DEL,T,1,4,0.0471409670634403,0.00395724231614078,0.0488376849654466,0.0476314233504033,0.0477064492607038,5.72976565941017e-06,0.0172936223067737,0.0186528422516766,0.0137983736372969,0.101072464010019,0.000283447927944282
