Approach,Down_samp_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
mSigHdp,500,seed.145879,0.785714285714286,1,0.989615004673407,2.775329290387693,14,0,3
mSigHdp,500,seed.200437,0.6875,1,0.990218195165444,2.677718195165444,16,0,5
mSigHdp,500,seed.310111,0.733333333333333,1,0.987933016028511,2.721266349361844,15,0,4
mSigHdp,500,seed.528401,0.846153846153846,1,0.984234376261163,2.830388222415009,13,0,2
mSigHdp,500,seed.1076753,0.733333333333333,1,0.989797203843177,2.7231305371765098,15,0,4
mSigHdp,1k,seed.145879,0.6875,1,0.990446566072786,2.677946566072786,16,0,5
mSigHdp,1k,seed.200437,0.733333333333333,1,0.990801487531084,2.7241348208644167,15,0,4
mSigHdp,1k,seed.310111,0.785714285714286,1,0.990622026741217,2.776336312455503,14,0,3
mSigHdp,1k,seed.528401,0.785714285714286,1,0.98319571661926,2.768910002333546,14,0,3
mSigHdp,1k,seed.1076753,0.846153846153846,1,0.989918984879546,2.836072831033392,13,0,2
mSigHdp,3k,seed.145879,0.733333333333333,1,0.991367793393613,2.724701126726946,15,0,4
mSigHdp,3k,seed.200437,0.733333333333333,1,0.990926906672275,2.724260240005608,15,0,4
mSigHdp,3k,seed.310111,0.6875,1,0.990748402575643,2.678248402575643,16,0,5
mSigHdp,3k,seed.528401,0.647058823529412,1,0.990125337984759,2.6371841615141713,17,0,6
mSigHdp,3k,seed.1076753,0.733333333333333,1,0.991369353331376,2.724702686664709,15,0,4
mSigHdp,5k,seed.145879,0.916666666666667,1,0.990923092924003,2.90758975959067,12,0,1
mSigHdp,5k,seed.200437,0.846153846153846,1,0.99264182674663,2.838795672900476,13,0,2
mSigHdp,5k,seed.310111,0.733333333333333,1,0.991300945465486,2.7246342787988187,15,0,4
mSigHdp,5k,seed.528401,0.785714285714286,1,0.99008480954277,2.775799095257056,14,0,3
mSigHdp,5k,seed.1076753,0.647058823529412,1,0.990685988018126,2.637744811547538,17,0,6
mSigHdp,10k,seed.145879,0.846153846153846,1,0.987010604430804,2.83316445058465,13,0,2
mSigHdp,10k,seed.200437,0.6875,1,0.989859400363809,2.677359400363809,16,0,5
mSigHdp,10k,seed.310111,0.846153846153846,1,0.990320931226799,2.836474777380645,13,0,2
mSigHdp,10k,seed.528401,0.785714285714286,1,0.992403381391671,2.778117667105957,14,0,3
mSigHdp,10k,seed.1076753,0.733333333333333,1,0.991300863230109,2.724634196563442,15,0,4
SigProfilerExtractor,500,seed.145879,0.9,0.818181818181818,0.990845279416433,2.709027097598251,10,2,1
SigProfilerExtractor,500,seed.200437,0.9,0.818181818181818,0.991509359894439,2.709691178076257,10,2,1
SigProfilerExtractor,500,seed.310111,0.9,0.818181818181818,0.9905980879892,2.708779906171018,10,2,1
SigProfilerExtractor,500,seed.528401,0.9,0.818181818181818,0.991741546797265,2.7099233649790833,10,2,1
SigProfilerExtractor,500,seed.1076753,0.9,0.818181818181818,0.990982908550691,2.709164726732509,10,2,1
SigProfilerExtractor,1k,seed.145879,0.9,0.818181818181818,0.990884849028452,2.70906666721027,10,2,1
SigProfilerExtractor,1k,seed.200437,0.9,0.818181818181818,0.990996769715746,2.709178587897564,10,2,1
SigProfilerExtractor,1k,seed.310111,0.9,0.818181818181818,0.991071061753705,2.709252879935523,10,2,1
SigProfilerExtractor,1k,seed.528401,0.9,0.818181818181818,0.991448626045636,2.709630444227454,10,2,1
SigProfilerExtractor,1k,seed.1076753,0.9,0.818181818181818,0.990181851196588,2.708363669378406,10,2,1
SigProfilerExtractor,3k,seed.145879,0.9,0.818181818181818,0.990176624786178,2.708358442967996,10,2,1
SigProfilerExtractor,3k,seed.200437,0.9,0.818181818181818,0.99072567190523,2.7089074900870482,10,2,1
SigProfilerExtractor,3k,seed.310111,0.9,0.818181818181818,0.990553996766956,2.708735814948774,10,2,1
SigProfilerExtractor,3k,seed.528401,0.9,0.818181818181818,0.991059144309116,2.709240962490934,10,2,1
SigProfilerExtractor,3k,seed.1076753,0.9,0.818181818181818,0.991246891647816,2.709428709829634,10,2,1
SigProfilerExtractor,5k,seed.145879,0.818181818181818,0.818181818181818,0.990703029893625,2.627066666257261,11,2,2
SigProfilerExtractor,5k,seed.200437,0.9,0.818181818181818,0.990144008973714,2.708325827155532,10,2,1
SigProfilerExtractor,5k,seed.310111,0.9,0.818181818181818,0.988203741131918,2.706385559313736,10,2,1
SigProfilerExtractor,5k,seed.528401,0.818181818181818,0.818181818181818,0.990790354266556,2.627153990630192,11,2,2
SigProfilerExtractor,5k,seed.1076753,0.9,0.818181818181818,0.988709977636657,2.706891795818475,10,2,1
SigProfilerExtractor,10k,seed.145879,1,0.818181818181818,0.988531423701197,2.8067132418830147,9,2,0
SigProfilerExtractor,10k,seed.200437,0.9,0.818181818181818,0.990030742639361,2.708212560821179,10,2,1
SigProfilerExtractor,10k,seed.310111,0.9,0.818181818181818,0.98802641932508,2.706208237506898,10,2,1
SigProfilerExtractor,10k,seed.528401,0.9,0.818181818181818,0.989405912446677,2.707587730628495,10,2,1
SigProfilerExtractor,10k,seed.1076753,0.9,0.818181818181818,0.988609755717017,2.706791573898835,10,2,1
