prog,down_samp_thres,seed,ex.sig,gt.sig,sim
mSigHdp,500,145879,hdp.6,ID1,1
mSigHdp,500,145879,hdp.4,ID2,1
mSigHdp,500,145879,hdp.7,ID3,0.969
mSigHdp,500,145879,hdp.5,ID4,0.994
mSigHdp,500,145879,hdp.1,ID5,0.994
mSigHdp,500,145879,hdp.2,ID6,0.998
mSigHdp,500,145879,hdp.11,ID8,0.979
mSigHdp,500,145879,hdp.8,ID9,1
mSigHdp,500,145879,hdp.13,ID11,0.977
mSigHdp,500,145879,hdp.3,ID13,0.998
mSigHdp,500,145879,hdp.9,ID14,0.977
SigProfilerExtractor,500,145879,ID83A,ID2,1
SigProfilerExtractor,500,145879,ID83B,ID1,1
SigProfilerExtractor,500,145879,ID83D,ID8,0.991
SigProfilerExtractor,500,145879,ID83E,ID3,0.977
SigProfilerExtractor,500,145879,ID83F,ID6,0.998
SigProfilerExtractor,500,145879,ID83G,ID13,0.981
SigProfilerExtractor,500,145879,ID83H,ID9,0.994
SigProfilerExtractor,500,145879,ID83I,ID4,0.993
SigProfilerExtractor,500,145879,ID83J,ID14,0.984
mSigHdp,500,200437,hdp.6,ID1,1
mSigHdp,500,200437,hdp.10,ID2,1
mSigHdp,500,200437,hdp.8,ID3,0.977
mSigHdp,500,200437,hdp.5,ID4,0.994
mSigHdp,500,200437,hdp.2,ID5,0.994
mSigHdp,500,200437,hdp.1,ID6,0.996
mSigHdp,500,200437,hdp.11,ID8,0.982
mSigHdp,500,200437,hdp.9,ID9,1
mSigHdp,500,200437,hdp.12,ID11,0.977
mSigHdp,500,200437,hdp.3,ID13,0.998
mSigHdp,500,200437,hdp.7,ID14,0.975
SigProfilerExtractor,500,200437,ID83A,ID2,1
SigProfilerExtractor,500,200437,ID83B,ID1,1
SigProfilerExtractor,500,200437,ID83D,ID8,0.99
SigProfilerExtractor,500,200437,ID83E,ID3,0.977
SigProfilerExtractor,500,200437,ID83F,ID6,0.998
SigProfilerExtractor,500,200437,ID83G,ID13,0.984
SigProfilerExtractor,500,200437,ID83H,ID9,0.994
SigProfilerExtractor,500,200437,ID83I,ID4,0.993
SigProfilerExtractor,500,200437,ID83J,ID14,0.987
mSigHdp,500,310111,hdp.5,ID1,1
mSigHdp,500,310111,hdp.4,ID2,1
mSigHdp,500,310111,hdp.12,ID3,0.973
mSigHdp,500,310111,hdp.6,ID4,0.994
mSigHdp,500,310111,hdp.1,ID5,0.969
mSigHdp,500,310111,hdp.2,ID6,0.998
mSigHdp,500,310111,hdp.8,ID8,0.982
mSigHdp,500,310111,hdp.7,ID9,1
mSigHdp,500,310111,hdp.10,ID11,0.976
mSigHdp,500,310111,hdp.3,ID13,0.998
mSigHdp,500,310111,hdp.11,ID14,0.979
SigProfilerExtractor,500,310111,ID83A,ID2,1
SigProfilerExtractor,500,310111,ID83B,ID1,1
SigProfilerExtractor,500,310111,ID83D,ID8,0.991
SigProfilerExtractor,500,310111,ID83E,ID3,0.976
SigProfilerExtractor,500,310111,ID83F,ID13,0.977
SigProfilerExtractor,500,310111,ID83G,ID6,0.998
SigProfilerExtractor,500,310111,ID83H,ID9,0.994
SigProfilerExtractor,500,310111,ID83I,ID4,0.994
SigProfilerExtractor,500,310111,ID83J,ID14,0.985
mSigHdp,500,528401,hdp.6,ID1,1
mSigHdp,500,528401,hdp.9,ID2,1
mSigHdp,500,528401,hdp.4,ID3,0.98
mSigHdp,500,528401,hdp.2,ID4,0.994
mSigHdp,500,528401,hdp.13,ID5,0.921
mSigHdp,500,528401,hdp.1,ID6,0.993
mSigHdp,500,528401,hdp.7,ID8,0.987
mSigHdp,500,528401,hdp.8,ID9,1
mSigHdp,500,528401,hdp.11,ID11,0.977
mSigHdp,500,528401,hdp.3,ID13,0.998
mSigHdp,500,528401,hdp.10,ID14,0.977
SigProfilerExtractor,500,528401,ID83A,ID2,1
SigProfilerExtractor,500,528401,ID83B,ID1,1
SigProfilerExtractor,500,528401,ID83D,ID8,0.991
SigProfilerExtractor,500,528401,ID83E,ID3,0.979
SigProfilerExtractor,500,528401,ID83F,ID6,0.998
SigProfilerExtractor,500,528401,ID83G,ID13,0.982
SigProfilerExtractor,500,528401,ID83H,ID9,0.994
SigProfilerExtractor,500,528401,ID83I,ID4,0.994
SigProfilerExtractor,500,528401,ID83J,ID14,0.988
mSigHdp,500,1076753,hdp.6,ID1,1
mSigHdp,500,1076753,hdp.4,ID2,1
mSigHdp,500,1076753,hdp.10,ID3,0.972
mSigHdp,500,1076753,hdp.5,ID4,0.994
mSigHdp,500,1076753,hdp.1,ID5,0.993
