"Approach","Noise_level","Run","CPU_time"
"SigProfilerExtractor","1k","seed.145879","80413.29"
"SigProfilerExtractor","1k","seed.200437","114125.49"
"SigProfilerExtractor","1k","seed.310111","113026.03000000006"
"SigProfilerExtractor","1k","seed.528401","113957.47999999995"
"SigProfilerExtractor","1k","seed.1076753","113974.71000000004"
"SigProfilerExtractor","3k","seed.145879","79042.47"
"SigProfilerExtractor","3k","seed.200437","115724.74999999996"
"SigProfilerExtractor","3k","seed.310111","115361.52000000008"
"SigProfilerExtractor","3k","seed.528401","112837.38999999987"
"SigProfilerExtractor","3k","seed.1076753","111495.81000000013"
"SigProfilerExtractor","5k","seed.145879","80188.46"
"SigProfilerExtractor","5k","seed.200437","114727.03999999992"
"SigProfilerExtractor","5k","seed.310111","111583.38999999993"
"SigProfilerExtractor","5k","seed.528401","111737.50999999998"
"SigProfilerExtractor","5k","seed.1076753","111942.57"
"SigProfilerExtractor","10k","seed.145879","80055.73999999999"
"SigProfilerExtractor","10k","seed.200437","111233.11000000004"
"SigProfilerExtractor","10k","seed.310111","110829.38000000009"
"SigProfilerExtractor","10k","seed.528401","108906.12000000007"
"SigProfilerExtractor","10k","seed.1076753","109249.78000000012"
"SigProfilerExtractor","non_hyper","seed.145879","67793.2"
"SigProfilerExtractor","non_hyper","seed.200437","67378.96999999999"
"SigProfilerExtractor","non_hyper","seed.310111","68140.23000000003"
"SigProfilerExtractor","non_hyper","seed.528401","67332.52999999998"
"SigProfilerExtractor","non_hyper","seed.1076753","68534.86999999998"
