Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12
DEL,C,1,0,0.00323286629954503,0,2.88729986291552e-48,1.34630109839781e-90,0.00477839884991642,0.0249091490360968,2.49113235264958e-94,0.00144306723728987,0.0219109483932359,0.381971983449982,0.114975377193977,0.0371743952050057
DEL,C,1,1,2.7566593405825e-161,0,1.80069742683789e-223,0,3.06141574716071e-05,0.000662897401106213,0.000629345465347373,0,0.0281811339875077,0.108656191592025,0.237069113452425,0.0216471409661716
DEL,C,1,2,0,0,0.00254637693162036,0,0,0.00745739347876379,0,8.86837197297194e-132,0.0271420326485383,0,0.207618367268276,1.57064322920566e-19
DEL,C,1,3,0.000307950441982016,0,0.00246065024222334,5.26613321224509e-233,0.00248239291814547,3.25456404928649e-73,0.00188027376421971,0,0.0145259584783234,0.0106513798540093,0.0742152468456788,0.00471569209280567
DEL,C,1,4,0.000463501726786908,0,0.00249513130615813,1.91212303597151e-297,0.00388727510208097,0.00209068087567207,0.000617392803098624,0.00182039066354694,0.00274882022378777,0.0140092735023646,0.0506323835167447,0.000439684555211632
DEL,C,1,5+,0.00192624250567816,0.0246317698467216,0.000417196848791405,4.53705977661055e-166,0.0146318378435306,0.00102943564136394,0.00337793503703168,0.000278257948106586,0.00258445415339929,1.35138533221281e-196,0.0260664267909767,0.000503604136294048
DEL,T,1,0,0.00353849052450708,0,0.028260354753712,0.000289169792082579,0.00791138150947324,4.52474373722709e-85,0.00122299340557594,0.0211599115349576,0.107323265630688,0.114119191115129,0.0309827454487936,0.0344730733380253
DEL,T,1,1,0,0,0.730988588751039,0,0,2.29698941857817e-265,0,0,0.112846972911972,7.78304773731329e-53,4.53579877976666e-09,3.03688017476609e-24
DEL,T,1,2,1.18049297337182e-100,0,3.06803505007444e-174,1.10692991844547e-100,0.00705765870474242,0.0109544103461676,0.000850337972557901,0.0117210947778557,0.120215649475581,0.0930133817433797,0.00886910720279661,0.00778429706334731
DEL,T,1,3,2.38285453759708e-269,0,0.0440753145126593,8.34752126340135e-97,0.0202519382796819,0.0222877698541401,0.00223854757402948,0.0181607730324261,0.0942843746541782,0.122865925740235,0.0097903809377805,0.00787065970259867
DEL,T,1,4,6.2259404251793e-162,0,8.04612157570182e-90,0.000309004797763631,0.0471351617298955,0.0178621581989145,0.00434115535724887,0.00909853756310646,0.0555728317617817,0.105039212396673,0.0078663793914791,2.66099725659241e-19
DEL,T,1,5+,1.42761491202462e-100,0,7.06613710920897e-98,3.51425995811347e-96,0.815034326288657,1.1704298400224e-15,8.33101844354015e-25,1.46303647540312e-165,0.0317346753998539,1.72655052461955e-67,0.00634949597897198,0.0108523613416036
INS,C,1,0,0,0,0,0,0,2.06774109588853e-284,0,0.70257907083763,0,0,0,0
INS,C,1,1,0,0,0.000983220131741543,0.177964430513337,0.000209412900786025,0.00190149207682883,0,0.0179512371762881,0,0,0,3.34994103183955e-91
INS,C,1,2,0,0,3.42804370576903e-288,0.100064516840782,1.93252069494835e-05,0,0,0,0.00294981534773863,0,0.000756154754472873,0
INS,C,1,3,0.000215522617473121,0,0,0.0379714541660928,0.000477841437664668,0,0.000611028185348768,0.00194481371889991,0,0,0.00690200940268138,0
INS,C,1,4,0,0.00175258289581674,0,0.0120450998733767,0.00293159859043105,0.000165894308116988,0.00173629137479276,0.00112242196368584,0,0,0.00845076042004575,0
INS,C,1,5+,7.26984454371488e-05,5.56794143928022e-117,0.000219153314016799,0.0015542229805439,0.0090465237045118,0,0.0244117440448907,0,0.00036860159389058,5.42678160417408e-67,0.00781590976013428,3.56278038180081e-118
INS,T,1,0,2.55366890266488e-106,0,0.057656715970188,0.000381867339502313,0.00132493217071876,0.00635303386159024,0.00230867101329871,0.0489484029432336,0.00649993181047386,0.0106039001320457,0.019780845169483,0.00336472496090777
INS,T,1,1,8.92436914718587e-246,0,2.06396659929989e-187,0.328117662450523,0,3.06772253003688e-96,0,0.00100530810697143,0.0122730084020671,0.0112798422160086,0.0452812188309171,0.00245531331610528
INS,T,1,2,0,0,0,0.169262822997076,0.000672544612624474,9.15425135025367e-05,6.73313565914161e-05,0.00101666074457132,0.0300927838228737,6.71033938699534e-146,0.0445377834372888,0
INS,T,1,3,1.21372953013244e-270,0,0.0089938324564234,0.112324499548952,0.00108753815456722,0.000578220258688743,0.00426864749152457,0,0.0190890294271477,0.000151363636978489,0.0273408496228028,1.2833108544882e-31
