Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID11 0.983),hdp.3 (ID4 0.999),hdp.4 (ID6 1),hdp.5 (ID5 1),hdp.6 (ID14 0.999),hdp.7 (ID13 0.999),hdp.8 (ID1 1),hdp.9 (ID9 1),hdp.10 (ID8 1),hdp.11 (ID3 1)
DEL,C,1,0,0.00434345159190794,0.013021028780934,0.00509794861355658,0.0284980951661382,0.0201807188328475,0.0142118814373352,0.0633565451833247,0.000425106059075903,0.333554393117081,0.040521016130418,0.126296231827751
DEL,C,1,1,6.58944143920433e-05,0.0103768103455215,0.00294013159986889,0.00659581249783424,0.0282901264138193,0.00190890078713799,0.0192965406571903,0.000832444532604719,0.0982697517841936,0.0227177972146011,0.207278000330814
DEL,C,1,2,4.42521680518698e-07,0.00378640999793551,0.00173960474617946,0.00792106258978114,0.0257751975991555,0.000431883837209712,0.0057551723818051,4.95413457875866e-06,0.00286975445739379,0.00404966876289427,0.174926220636956
DEL,C,1,3,0.00236501748333426,0.00405084533192829,0.00143539041274364,0.000670283230104848,0.0136563682098757,0.000888252336912469,0.00508665713382429,0.00175358906344147,0.0124295626739718,0.00589774626775395,0.0641854317193991
DEL,C,1,4,0.00354521861075933,0.0013533620970745,0.00220445709412255,0.00279880866631634,0.00249566784085035,0.00194519685738413,0.0040193227667231,0.000887198547499182,0.0112109572147963,0.00102125837258541,0.0427778478833263
DEL,C,1,5+,0.0135797903234336,0.00133550973288861,0.00261324958516423,0.00137907163295451,0.00259305694545842,0.00304091628419744,0.000597165620302462,0.00349739645968508,0.000874693670831792,0.000711491261493715,0.0218163495603678
DEL,T,1,0,0.00732858057847867,0.0195205034852357,0.00788950008629777,0.0040302092610766,0.102209997431406,0.0173072664511015,0.052843598611059,0.00186361682759105,0.100967821899413,0.0358395245816694,0.0372112142371429
DEL,T,1,1,1.24367467558099e-07,0.0195030333505097,0.00258949224938785,0.000402499992518884,0.108711592000243,0.00117339236049474,0.489025727663757,4.60764500499208e-06,0.0450239701064276,0.00941073998272686,0.0133443129730637
DEL,T,1,2,0.00684382701964669,0.0144637651193673,0.00241233736655568,0.0113977188243779,0.115376091347533,0.0103016242015367,0.0231445744309469,0.00104982409527263,0.0860703452981142,0.00955891639510008,0.018866499898394
DEL,T,1,3,0.0180502099842448,0.0262555439572648,0.00127698905748871,0.0217381478622361,0.0886343770510391,0.0200336988738311,0.0644563414336363,0.00277931014457591,0.115864028906957,0.00914643457178037,0.020225152305196
DEL,T,1,4,0.0438960815515781,0.0133689025576142,0.00215893534331386,0.0182242542606374,0.0517667253284936,0.014261983475504,0.0220830957932357,0.00416686895494258,0.0928851366437309,0.00129555255793589,0.016356012667298
DEL,T,1,5+,0.769019687792712,0.0110495791631162,0.00456203932167401,0.00619176139102655,0.0312397034688766,0.04395432765835,0.00520264333563536,0.000966904475987563,0.0016776270813094,0.00788440276611378,0.00810328395227494
INS,C,1,0,1.05492135213699e-07,0.000601381844937063,0.000353635900376788,0.00241815176268646,0.000470857324096681,0.461405314071365,0.00233415549911963,1.89103348144143e-06,0.000274218144490843,0.00249219345856781,0.00240896985148244
INS,C,1,1,0.000200235817286837,0.115711852229551,8.04050326094883e-05,0.00171979265568278,0.00137360395391746,0.0117888930265752,0.00158268606440573,4.93107969558111e-05,0.000207275287107166,0.00229258832524847,0.00128058155858368
INS,C,1,2,1.68449757618869e-05,0.0669923906208805,0.000118686315966716,0.000245855156133199,0.00324912645295491,0.000780439382890963,0.00139606289975078,9.09268600695906e-06,0.000958811310401672,0.00124931965718563,0.00177229047721219
INS,C,1,3,0.000482019152353014,0.0272878108239379,0.00013540391012197,0.000298104334711057,0.000512336746551508,0.00191095280377334,0.000478008059977968,0.00086171623832696,0.000103260292076391,5.55379540208173e-05,0.00594372185724386
INS,C,1,4,0.00273249839258456,0.00732428091059289,0.000184309324927777,0.00020325971625693,0.000189565885445866,0.00131301157236423,8.31798639306656e-05,0.00191037293026644,0.000270691495171294,0.000779787405822651,0.00669524565443745
INS,C,1,5+,0.00969972436551417,0.00267385246059765,0.000428994112109219,0.000240026082801278,0.000201661364449757,0.00152010109120417,0.00106818956490256,0.0240562427100135,0.000254066870278941,0.00035989515042033,0.00731103233883616
INS,T,1,0,0.00141838663929398,0.00260734453457515,0.00137021186812118,0.00599688052501465,0.00653884534376066,0.0338759136183406,0.0401528552043579,0.00224618729353049,0.0126175260294051,0.00500805011420836,0.0180427915816818
INS,T,1,1,2.83150957757485e-06,0.236227182081659,0.00138631294722611,0.00126961891760235,0.013672781292715,0.00353952349432233,0.00425264923353075,4.17693181175609e-05,0.0094855510885056,0.00512685414294007,0.0414640140878382
INS,T,1,2,0.000630230988358132,0.122935247046816,0.000374324998460863,0.000728924557749605,0.0296872483519607,0.00163168154776819,0.00383923236305085,0.000246409392014618,0.00209581010432287,0.00132999644883991,0.0403506989801784
INS,T,1,3,0.00132813444741515,0.0731309732627795,0.000288070241652967,0.000664223968579382,0.0191201598507151,0.00060687160780617,0.0087390406550226,0.0040315774365827,0.00202412743025372,0.00160087433061457,0.0240311867805283
INS,T,1,4,0.00396084021625036,0.0386212965394159,0.000750327491360975,0.00150810805154211,0.0112021694777057,0.00488562178291501,0.0131083887551989,0.0172442510265015,0.000779904390420958,0.00072161816137921,0.00637349939257359
INS,T,1,5+,0.0565889487405987,0.0144892395886653,0.0107770988688555,0.012095224464387,0.000543671282598148,0.207498436506965,0.0255807597788691,0.889838434237231,0.00200365875760306,0.0238201605678335,0.027343766195303
DEL,repeats,2,0,0.000204339524264425,0.00489415594089581,0.0675692179368946,0.00188567335066485,0.0280014541803169,0.00140496654182772,0.0223529700883048,0.000479911381080328,0.014723831442103,0.00927671222384221,0.00699687496668784
DEL,repeats,2,1,0.00338027148564583,0.0106418077816612,0.227588222658511,0.00227622480526035,0.0246091183904711,0.00672449134632163,0.00263846338344115,0.00101565755799483,0.00496296894781747,0.0091149741912768,0.0090298868054633
DEL,repeats,2,2,0.00176503358588028,0.00229333179122483,0.0528614628456918,0.00204635887518646,0.00478425056110414,0.00218495448105891,0.00308531611240525,0.000324369546112098,0.0015085171931384,0.000396093234939432,0.0115239236944577
