Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14
DEL,C,1,0,0.021264920762234,0.0309943910143387,0.0120048853277976,0.0468544757668837,0.00421048642526225,0.131437847435938,0.33497325373612,0.000468733668941753,0.0105833987202121,0.0336542106956449,0.0191635107678839,0.00745825093549099,0.00280053603326987,0.0376832304839774
DEL,C,1,1,0.0284719717920438,0.00605328976877297,0.00233614020017341,0.0144162580558927,4.51263321490441e-05,0.16660365121682,0.0972812426671758,0.000571402022525101,0.0024309020306322,0.0195599985454985,0.030163149665931,0.00952081031222531,0.00426777323778363,0.0238980338601767
DEL,C,1,2,0.0262928761581985,0.00853988392593416,0.00328522162059787,0.00708673324837322,3.33917367440988e-06,0.208839868152893,0.002447652506592,5.53784876518515e-06,0.000345387239126156,0.00267409359473625,0.0266097227783652,0.00269399862315775,9.55403766500998e-05,0.00254582474381985
DEL,C,1,3,0.0125843381634109,0.000781374942748666,0.00151171387432591,0.00469431549890502,0.00234621382042703,0.0703052852254229,0.0110293338065472,0.00186015091969486,0.000842102864254477,0.00567867134568074,0.0153528656843871,0.00239530541419088,0.0136026835235515,0.00609961258502723
DEL,C,1,4,0.00243377330543554,0.00255581212541803,0.00230682521381837,0.00409051018254944,0.00344777251679519,0.0433663615119814,0.0131250801243531,0.000819054949367807,0.00192198762638826,0.00104887340618723,0.00352285548115848,0.0032583874325937,0.00581194632393363,0.00196466775123304
DEL,C,1,5+,0.0019764607245666,0.00187130827503017,0.00229993332622989,0.00137607701347854,0.0134880029301226,0.0254882614558642,0.00063968574838874,0.00273697938089644,0.00354271801523541,0.000590045962193557,0.00325925739206755,0.000770904155357401,0.0183954392409366,0.000854478930971778
DEL,T,1,0,0.0790590426585568,0.00224965751389031,0.00743320132316413,0.039712609712624,0.0067309767130015,0.0280452677179453,0.106271802111327,0.00145613653900423,0.0196177113051625,0.0289225702693287,0.185020759955339,0.017218640153385,0.01087208920086,0.0381346298076611
DEL,T,1,1,0.106818839224911,0.00075857582447147,0.00338660086763972,0.516410514547305,3.20846538357829e-06,0.00826550336488105,0.0387817402759432,6.60952409895817e-06,0.000553332253342696,0.011043718186512,0.0764043288451783,0.00849309199133093,8.29508687459871e-05,0.00770736718446362
DEL,T,1,2,0.142345394053629,0.00935282538982892,0.00524358013681389,0.0188062718500584,0.0067033540076549,0.0105157235665724,0.0846664609024315,0.000321256083861675,0.00789046612011438,0.00905730288197085,0.0887113467337304,0.0231478333530638,0.0117988168660239,0.00799024337170431
DEL,T,1,3,0.0860730926201396,0.0218090481796232,0.00660783837162003,0.0549540391967393,0.017230303541795,0.0147194378048783,0.104669583501284,0.00196523183209023,0.015805240466473,0.0102167813819581,0.0750104437115003,0.00562076118953631,0.0120608185138506,0.00865453113197481
DEL,T,1,4,0.0469883753290679,0.0166991464428165,0.00408329661154825,0.0147429709796642,0.0466619768406537,0.0132764585546574,0.0965415000729131,0.00393269881379383,0.0109636055827211,0.00157351167966705,0.0449668627915265,0.00892667748926671,0.0417561803992553,0.00124549215168225
DEL,T,1,5+,0.0258984044239643,0.00275092457972709,0.00209667157057786,0.0066675388399603,0.807965603031868,0.00845678172539881,0.00405885367080824,0.00092719101319594,0.0481016620245961,0.00925779695837057,0.0302498684722094,0.00900287316618429,0.0128666869031349,0.0133074029258861
INS,C,1,0,0.000471213863145584,0.00229061851042839,0.000407362280584596,0.00282993946536609,2.64801832360975e-06,0.0026627800398457,0.000202894724302217,5.36869115715938e-06,0.533028492228817,0.00267782454848833,0.000619982393057301,0.000732366641901973,0.000105122390999341,0.00256385661107909
INS,C,1,1,0.0011457960000231,0.00174203069400779,0.000328797557973566,0.00236028963744462,0.000190351706389684,0.00127751615661292,0.00020641776771174,5.34496783408259e-05,0.0153293193427663,0.00219907206197974,0.00123528619779729,0.119093623184678,0.000347820126706403,0.0019232885770606
INS,C,1,2,0.00265405901317165,0.00014019715872356,0.000220009182286904,0.00198614902169094,1.30745904728231e-05,0.00209752439196376,0.000371862057962039,9.36864971767121e-06,0.000628778079264411,0.000986249670731922,0.00354137887163925,0.0652510230962375,0.000149465435506049,0.00226929999912109
