Signature,NumberOfPostSamples
low confidence hdp.1,3205
low confidence hdp.2,3076
low confidence hdp.3,3000
low confidence hdp.4,2165
low confidence hdp.5,1997
low confidence hdp.6,1790
low confidence hdp.7,1200
low confidence hdp.8,1000
low confidence hdp.9,999
low confidence hdp.10,921
low confidence hdp.11,778
low confidence hdp.12,670
low confidence hdp.13,600
low confidence hdp.14,593
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,26
low confidence hdp.18,6
low confidence hdp.19,3
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
