Signature,NumberOfPostSamples
low confidence hdp.1,3196
low confidence hdp.2,3038
low confidence hdp.3,3000
low confidence hdp.4,2799
low confidence hdp.5,1798
low confidence hdp.6,1793
low confidence hdp.7,1568
low confidence hdp.8,1400
low confidence hdp.9,1200
low confidence hdp.10,1198
low confidence hdp.11,1185
low confidence hdp.12,1000
low confidence hdp.13,909
low confidence hdp.14,842
low confidence hdp.15,600
low confidence hdp.16,600
low confidence hdp.17,392
low confidence hdp.18,200
low confidence hdp.19,200
low confidence hdp.20,20
low confidence hdp.21,7
low confidence hdp.22,2
