Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID1 0.494),ID83D (False Positive) (ID5 0.856),ID83E (ID8 0.986),ID83F (ID6 0.995),ID83G (ID3 0.983),ID83H (ID9 0.992),ID83I (ID13 0.985),ID83J (ID4 0.996),ID83K (ID11 0.996),ID83L (ID14 0.959)
DEL,C,1,0,0.0022749,0,0.00043368,0.00060468,0.02454714,0.02051749,0.09441652,0.40492352,0.00234749,0.00276245,3.949e-05,0.00568655
DEL,C,1,1,5.9e-07,2.414e-05,0.00033922,0.00355342,0.01988026,0.00095678,0.24554994,0.09818096,0.00442944,0.00015597,0.00021099,0
DEL,C,1,2,0,1.6e-07,0,0.00333018,6.749e-05,0.00448643,0.22369697,0,0.00684272,2.892e-05,0.00700919,1.66e-06
DEL,C,1,3,0.00136763,0.00100427,0.01071281,0.01092131,0.00518966,1.396e-05,0.07262962,0.00842996,0.00667578,0.00133298,0.00102976,0.00020932
DEL,C,1,4,0.0026406,0.00030651,0.00938358,0.00042479,1.217e-05,0.00195423,0.04638706,0.01200716,0.00073453,0.00110159,0.00033429,0.00212312
DEL,C,1,5+,0.00931057,0.00079178,0.05012454,0.00115455,5.05e-06,0.000659,0.02545895,5.931e-05,0.00389283,0.00387199,0.00243474,0.00502336
DEL,T,1,0,0.00408628,7.363e-05,0.02716905,0.14829236,0.03750157,0.00027252,0.03114897,0.10629287,0.06066266,0.00323892,0.0029701,0.01991507
DEL,T,1,1,0,9e-08,0,0.00133789,0.0149402,1e-08,0.00295236,0.00876241,0.46182339,0.00136039,5.641e-05,3.79e-06
DEL,T,1,2,0.00280966,0.00015158,0.02310312,0.18419593,0.00285676,0.01055251,0.01110153,0.08439284,0.03593248,0.0006941,0.00082978,0.01001874
DEL,T,1,3,0.00793297,0.00037023,0.08575204,0.13307609,0.0016275,0.01856078,0.00434371,0.12697795,0.06416784,0.00022909,0.00266263,0.01745244
DEL,T,1,4,0.01958087,0.00028716,0.2432159,0.10068025,2.848e-05,0.01295549,0.00341234,0.08697492,0.00946037,0.00029566,0.00063898,0.01500912
DEL,T,1,5+,0.90985189,0.00031145,0.02408883,0.01931347,0.00040214,0.00046397,0.00041819,0.00580123,0.00186452,0.00263871,0.00269342,0.01220291
INS,C,1,0,0,0,0,7.4e-07,3.3e-07,2.1e-07,1.5e-07,1.4e-07,5e-08,1e-07,3.9e-07,0.55787396
INS,C,1,1,0.00017443,0,1.726e-05,0.00023013,0.00012829,0.00087945,0.00014312,0,0.00056959,0.00160213,0.13545401,0.02188357
INS,C,1,2,2.68e-06,0,9e-08,0.00119406,0.00016393,6.18e-06,0.00053493,0,0.00161506,0.0009218,0.09033599,0.00410738
INS,C,1,3,0.00032077,0.00066901,0.0017078,1.925e-05,0,4.17e-06,0.00590136,2.87e-06,0.00025556,0.00067955,0.03236134,0.00288214
INS,C,1,4,0.00153249,0.00116531,0.01124627,0.00032168,0.00025158,0.00025775,0.00624676,6.35e-06,0.00075492,0.00051384,0.00987939,0.00253659
INS,C,1,5+,0.00350786,0.01585743,0.07980164,4.709e-05,9.99e-06,0,0.00693827,0,0.00694321,0.00599531,0.00952831,0.00136051
INS,T,1,0,0.0007616,0.00172251,0.00661858,0.0002706,0.00306364,0.00625881,0.02003156,0.01251799,0.02552873,0.0013612,0.00616097,0.03478377
INS,T,1,1,0,0,1.498e-05,0.00152558,0.00158946,1.593e-05,0.04963688,0.00445071,0.00599348,0.00303629,0.28568372,0.01132471
INS,T,1,2,0.00022909,0,0.0022849,0.03631438,2.61e-06,0,0.04237136,0,0.00799448,0.00132773,0.15027955,0.00652524
INS,T,1,3,0.00067452,0.00324459,0.00594875,0.01937086,0.00010027,3.002e-05,0.02718391,0,0.01113217,0.00198374,0.10696559,0.00428624
INS,T,1,4,0.00096333,0.01346387,0.02923369,0.00943452,0.00048266,0.00063132,0.00733425,6.29e-06,0.01818101,0.00380682,0.05545871,0.00702005
INS,T,1,5+,0.00132349,0.93891095,0.1593742,0.00143196,0.0027537,0.005302,0.00517685,0.00833547,0.02016921,0.01433163,0.04655489,0.10747087
DEL,repeats,2,0,1.375e-05,6.013e-05,0.00015907,0.03130345,0.0075676,0.00070839,0.00685662,0.01128299,0.02596661,0.0703772,3.741e-05,0.0016609
DEL,repeats,2,1,0.0016411,3.397e-05,0.00966509,0.02108321,0.00655545,0.00089094,0.00861999,0.00031829,0.00766796,0.22209717,0.00175535,0.0102578
DEL,repeats,2,2,0.00131063,4.899e-05,0.00410421,0.00086068,2.874e-05,0.00151189,0.01404075,8.025e-05,0.00236194,0.0483554,0.00119267,0.00506001
DEL,repeats,2,3,0.00060388,0.00026056,0.00171024,6.07e-06,0,0.00019195,0.00708751,0,0.0001054,0.00905845,0.00020587,0.00066409
DEL,repeats,2,4,0.00052921,6.18e-06,0.00295086,0.0009791,4.669e-05,0.00017762,0.00306386,0.00028144,0.00033657,0.00323292,0.00017001,0.00026772
DEL,repeats,2,5+,0,0,0,0.01489068,0.00128057,0,0.00102827,4e-08,0.03836309,0.00096364,0.00483699,0.00015254
DEL,repeats,3,0,4.5e-07,2.774e-05,0.00017018,0.02367023,0.01270063,0.00082062,0.00124152,0.00146729,0.01002759,0.00459212,0.00067889,0.00121424
DEL,repeats,3,1,0.00316606,0.00268635,0.0210594,0.00179766,6.739e-05,0.00457449,1.356e-05,0.0010637,0.00233049,0.09863404,0.00230726,0.00746711
