Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.386),ID83D (False Positive) (ID5 0.855),ID83E (ID8 0.987),ID83F (ID6 0.995),ID83G (ID3 0.981),ID83H (ID9 0.991),ID83I (ID13 0.987),ID83J (ID4 0.996),ID83K (ID11 0.987),ID83L (ID14 0.969)
DEL,C,1,0,0.00232912,0,0.00021165,0.00016872,0.02300505,0.02013832,0.09038978,0.40582939,0.00287908,0.00341359,8.596e-05,0.00539497
DEL,C,1,1,1.13e-06,3.102e-05,1.961e-05,0.00349068,0.0192703,0.00083934,0.24483489,0.09794901,0.00560978,0.00014537,0.00152887,2.043e-05
DEL,C,1,2,0,1e-08,5.1e-07,0.00338841,0,0.00453843,0.22365173,0,0.00664342,1.975e-05,0.01013944,4.24e-06
DEL,C,1,3,0.00133355,0.00093436,0.01032327,0.01129106,0.0054027,3.08e-06,0.07540394,0.00827995,0.00600933,0.00153638,0.00206164,0.0005787
DEL,C,1,4,0.00262547,0.00030431,0.0093252,0.0001703,9.735e-05,0.00190287,0.04862606,0.01179293,0.00016647,0.00121561,0.00069403,0.00222897
DEL,C,1,5+,0.00922522,0.00068145,0.05132952,0.00068538,0.00056701,0.00064456,0.0269606,5.69e-05,1.875e-05,0.00436769,0.00522029,0.00575331
DEL,T,1,0,0.00415006,0.0002278,0.02938139,0.15592125,0.03578933,0.00022258,0.02913314,0.10715434,0.05900939,0.00519118,0.00045436,0.01852982
DEL,T,1,1,0,1e-08,0,0.00024567,0.00052158,0,0.00217872,0.00663054,0.50988983,0.00105675,4.41e-05,1.24e-06
DEL,T,1,2,0.00289833,8.559e-05,0.02469992,0.19545226,0.00246884,0.01042365,0.00976697,0.08469342,0.0288411,0.00197132,0.00030482,0.00939228
DEL,T,1,3,0.00741679,0.00037871,0.09708664,0.13201242,0.00072076,0.01856965,0.00297206,0.12600997,0.06186746,0.00211391,0.00166629,0.01668361
