"ex.sig","gt.sig","sim"
"SBS96B","SBS40",0.908368475481893
"SBS96C","SBS3",0.93152225558878
"SBS96D","SBS4",0.986609687458396
"SBS96E","SBS7a",0.931601944161317
"SBS96F","SBS1",0.999605509358948
"SBS96G","SBS2",0.997714711173216
"SBS96H","SBS17b",0.999513735988491
"SBS96I","SBS7b",0.979254596339568
"SBS96J","SBS18",0.987802119252518
"SBS96K","SBS44",0.993442705521772
"SBS96L","SBS17a",0.999664838426558
"SBS96M","SBS13",0.998488485611663
"SBS96N","SBS7c",0.994811392847898
"SBS96O","SBS22",0.957072663247295
"SBS96P","SBS7d",0.969536373681565
"SBS96Q","SBS28",0.932974021284427
