Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12
DEL,C,1,0,0.12227524508851,4.10955688566534e-81,0.00119591014145784,0,3.07058294646294e-308,0.00850346304307411,0.0128077314159429,0.00193975020446912,0.44874154933882,0.00440558253596883,0.0166684469129203,0.0276255607423492
DEL,C,1,1,0.236000791115449,0,0.021131655005456,0.000661001673457304,0,0,0,1.17857399569769e-265,0.120052376048006,2.74325746254145e-241,0.0168053141529661,0.00328822121215265
DEL,C,1,2,0.20423785108217,1.99805328006218e-54,0.0245901245155494,0,0,0,0,0,0,0,1.1129048815852e-308,0.00580745164359163
DEL,C,1,3,0.074146520375715,0.00191925177394157,0.0129273434216519,0.00151040332036981,0,0,0.0149345468884865,0.00022741052267036,0.0100391183128879,0.00253775761741086,0.00481970846510877,0
DEL,C,1,4,0.0477852548382404,0.000930409876767756,0,0.000652228638672713,0,0.00113755102119591,0.0197115040070297,0.00180663509174907,0.00871380854204791,0.00375301302716588,4.28743506070712e-289,0.0018749965120939
DEL,C,1,5+,0.0249779557007828,0,3.54672149361878e-180,0.00292410400759035,0,0.00124784355743406,0.021476407457718,0.0020758368568894,0,0.0151780098370635,0,2.49041063516333e-282
DEL,T,1,0,0.0336926834400172,0.0377019459794577,0.119563301326091,0.000916211332017621,0,0.0182251644257363,0.0877317619758483,0.00483390111339038,0.10699207576558,0.00736531421968078,0.0364784396212948,9.4462419742181e-274
DEL,T,1,1,8.32327849117026e-61,0.717662235873741,0.102673788039532,0,0,0,0,0,0,0,1.44319972774941e-292,0
DEL,T,1,2,0.0138999516302423,5.11082538174694e-116,0.144141220124442,0.00047392435911347,0,0.0112042561842553,0.0408097048186142,0,0.0996580209321423,0.00718737283886969,0.00183786933143128,0.0113130442004406
DEL,T,1,3,0.0115061488805047,0.0512104036285797,0.093456342079881,0.00060919302134897,1.62864758968144e-266,0.0165807860131743,0.217017798208214,0,0.105633031058378,0.019184475636758,0.00154847357295383,0.0167010353126751
