Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13
DEL,C,1,0,0.00277397589264132,0.0190289112045957,0.00274017169535319,0.0108713292489335,0.16824433721513,0.00837873128573758,0.00810385016108589,0.0187387731387635,0.00507689139553049,0.0360063173706865,0.0417775161129537,0.00019712201852947,0
DEL,C,1,1,0.0039202435277368,0.000624856933427072,0.000425852202789709,0.0297789959913539,0.141159654832808,0.0014878875961876,0.00729348034606181,0.0212306259669405,0.0183496693246021,0.0266932191185822,0.0673017860232837,0.00344963532426572,0
DEL,C,1,2,5.39889532733238e-05,1.92857078218232e-05,6.34226621962756e-06,0.0202983842836491,0.0626310587519466,3.45166421622987e-05,0.00206263515664262,0.024828818819665,0.0132131078552287,0.0219658099062809,0.336484801187971,9.85610092647349e-05,0
DEL,C,1,3,0.0106665153411078,0.0051442400340734,0.00303252361905664,0.0110797027525856,0.0923730412833513,0.0187748501463653,0.00363108305598955,0.0124135659875392,0.0176838769217241,0.00992041207488543,0.00812731249926751,0.00956041789867928,0
DEL,C,1,4,0.00612181914839116,0.0303726161937935,0.00276908062974963,0.000874646430843961,0.0538516687604834,0.0106171722497947,0.00315893737122781,0.00347198620774526,0.00428547778456232,0.00415317704361918,0.0238662678269694,0.00359747683816282,0
DEL,C,1,5+,0.02145474056166,0.200972800772853,0.00832225093600492,0.00112104314621478,0.0228787972175686,0.00411482438373106,0.00150490736611113,0.00289267010437926,0.00408358655727452,0.00372311554033164,0.0197629711948852,0.0131086142322097,0
DEL,T,1,0,0.0122858905210832,0.0606181692433609,0.00756985166996855,0.0648682745600063,0.0240042755733205,0.0080768942659779,0.0242770440214287,0.075665560825028,0.420861106462628,0.0113931583055168,0.0573758342577011,0.00709639266706091,0
DEL,T,1,1,4.40714172915937e-05,2.36620799813908e-05,5.34520297207681e-06,0.0842535389558385,0.0330845251447603,4.77357817138174e-05,0.00771075011575626,0.0850578348084598,0.0154406410629708,0.223224791473265,0.00533111439111339,0,0
DEL,T,1,2,0.0104323675981072,0.057020717152397,0.00445265437204299,0.234459160335374,0.011848011303536,0.0409734574365738,0.0148139128838008,0.0835625620945703,0.0339504774278878,0.013682327086074,0.0625132278232742,0.00596294106051646,0
DEL,T,1,3,0.0151556381221398,0.126344974137124,0.00893607610997933,0.059717851560218,0.010833946154773,0.00777211965965122,0.0111238496199273,0.0874628534778039,0.0264791560767241,0.10297624614711,0.0472285857483518,0.00763847821801695,0
DEL,T,1,4,0.0391793726049371,0.00566554755165714,0.0347429461506848,0.0304275067432669,0.00823813555488242,0.021271064331677,0.020887050165707,0.0417571093311067,0.0341389092400231,0.0429726602591723,0.0166848093228664,0.0339049871870688,0
DEL,T,1,5+,0.0139403585206863,0.0116195647868492,0.376800649764289,0.0224371843147611,0.00785411867980767,0.00970358282745645,0.012430686854923,0.0211837776922854,0.0497868252963427,0.0346614051861415,0.0125298078441078,0.0065050266114725,0
INS,C,1,0,5.31673822452515e-05,1.94340594204526e-05,6.54285882564369e-06,0.000502586265020885,0.00231295867360601,3.01102623117925e-05,0.000917537460792603,0.000664156718596561,0.00127415796777188,0.000353687808021852,0.0026459093538204,0,0
INS,C,1,1,0.00039224148225967,0.00300300723525582,0.000181589406487364,0.000994974475033732,0.00110227337111622,0.000624237145488381,0.00238505015901855,0.00109802081374533,0.00211447412046087,0.00168879802098194,0.00421911548863493,0.000344963532426572,0
INS,C,1,2,0.000103635316826837,0.000125060397644592,1.31683146067058e-05,0.00191234918050298,0.00090799567640627,0.000174052004094996,0.000732388251507416,0.00246865871511131,0.00483193003975463,0.00582318795239673,0.00255904521140733,0.000147841513897102,0
INS,C,1,3,0.00746749380872876,0.00552654210374138,0.000972567350486664,0.000263010765251467,0.00578338490891275,0.00387541107852022,0.000185149209285187,0.000483012612421962,0.000404679748919097,0.00193098840222554,0.00338632275819849,0.00532229450029568,0
INS,C,1,4,0.0171943079446564,0.0278923999921077,0.00242069847135986,0.00032424411982512,0.00445894394041721,0.0270257964164381,0.00101041608712532,0.000336180458633874,0.000891910577440315,0.00036226453315864,0.0102527263965651,0.00960969840331165,0
INS,C,1,5+,0.205544043454535,0.0677423838885417,0.0230105088165377,0.000331177896740078,0.0127582030352706,0.0650763552188429,0.00388038084189078,0.00616790889352388,0.00108707209715185,0.00071186818635345,0.00379996153159407,0.139808791642026,0
INS,T,1,0,0.0139554989010607,0.00435552875996014,0.00258812839977549,0.00642027220252212,0.0261449903073438,0.0106707832046426,0.00910332146736677,0.00500295101959213,0.00321007051387598,0.00161079066378543,0.00575371533793254,0.0102010644589001,0
INS,T,1,1,0.000263959034590664,3.74587786539258e-05,3.30918802101311e-05,0.011610361809207,0.0266388099488334,6.38925078323402e-05,0.00195926778200064,0.0106528452755221,0.0126011531129608,0.0115250765064303,0.034510572262349,0.00019712201852947,0
INS,T,1,2,0.00338234923892888,0.00548433607393132,0.000668752149327649,0.0383946865657059,0.0806999823876363,0.00484187705906459,0.00149092236836545,0.0216427911067253,0.021889046862543,0.0339487201688226,0.00258110594598843,0.00123201261580919,0
INS,T,1,3,0.0338065914995684,0.00325134781136145,0.00394480109187039,0.017310804411548,0.0270425181200185,0.0235014269326749,0.000887287302625319,0.0181918521189356,0.0213129838940152,0.0299417558680116,0.0476318835524125,0.0213384585058151,0
INS,T,1,4,0.0894189691243632,0.0166294724483636,0.0130774402563979,0.0106415015589179,0.00820922082639319,0.0812800827224377,0.00171437831060619,0.0144038509128417,0.00936461241595156,0.00761899082984717,0.00758613510407496,0.0653459491425192,0
INS,T,1,5+,0.0136571512505807,0.00944621386692832,0.434632471542856,0.00130048839228338,0.0679083993113756,0.0109638074647012,0.039831097709835,0.174696027730192,0.00255190511291776,0.00503167874691595,0.0121423661930273,0.360437610881135,0
DEL,repeats,2,0,0.00519115522451981,0.000864148062016309,0.000631607118519486,0.0205614175611633,0.0105371126762316,0.00327026824571737,0.00153941382794014,0.0209295625456095,0.0132570752780603,0.03811823383175,0.00614805096856966,0.00458308693081017,0
DEL,repeats,2,1,0.0118552112514387,0.0194472627127306,0.00245226230789475,0.0175797809264179,0.0165455200544505,0.00866073959616998,0.00436681554608832,0.0208364027195768,0.0104875762868435,0.025022799794322,0.00419843354996515,0.0102503449635324,0
DEL,repeats,2,2,0.00281517181133466,0.0118270344975324,0.00168730240485225,0.00392670142334907,0.0133202467956259,0.0033282855804157,0.00215596981551052,0.0043516373222799,0.00314187614376988,0.00480623340046323,0.0101768926214426,0.00344963532426572,0
DEL,repeats,2,3,0.00225562325757255,0.00447050124889793,0.000805815897061963,0.000209319018685966,0.00783450058554155,0.00199682446892107,0.000532189968561117,0.000344576344189903,0.00130690921130968,0.000358180378331598,0.00398747777553341,0.0021190616991918,0
DEL,repeats,2,4,0.00111416768135579,0.00586344858422877,0.000530107259875326,0.000833899235337229,0.00413744144035462,0.0032607210893746,0.000742724988971613,0.000390274497535961,0.00140291970606432,0.00128691718600099,0.00189446558215176,0.00039424403705894,0
DEL,repeats,2,5+,5.03505672918607e-05,2.29203219882437e-05,4.70212667631922e-06,0.0272950154360957,0.000449166516480883,4.62669884303153e-05,0.00039446814293519,0.0161248924396967,0.0210756495401591,0.021445080165833,0.00341458807438052,9.85610092647349e-05,0
DEL,repeats,3,0,0.00030709151356446,0.000877870584889529,3.56287866979822e-05,0.0158844949829734,0.000892330481731089,0.000412730912664083,0.00109949444233149,0.0128535640630029,0.0123382458703149,0.0291249249026031,0.00753580905331183,0.000344963532426572,0
DEL,repeats,3,1,0.0639771443634682,0.0166937828663695,0.00743018611813856,0.00526759932719852,0.00080712353499319,0.0483930667081846,0.00517824943702784,0.00607693429797841,0.0066799077401956,0.00405107317294313,0.00216402018281455,0.0413463433865563,0
DEL,repeats,3,2,0.00561848952640714,0.0108613397662543,0.00146306347045633,0.000491802891182363,0.000198157392456609,0.0140049439581923,0.000900360235300627,0.00100405590279635,0.000437879639628646,0.00146457792097732,0.000412259977484263,0.00478020894933964,0
DEL,repeats,3,3,0.00527372311284108,0.00491028956303482,0.000604249826928405,0.000376134885373749,0.000150283386299748,0.00538533057396035,0.000384435427161115,0.00058962885777044,0.00031898813911472,0.001801929109691,0.000923103862627806,0.00290754977330968,0
DEL,repeats,3,4,3.96701439269206e-05,2.0101641614285e-05,3.66376495105927e-06,0.00560627380742133,0.000177075261304963,3.81886253710539e-05,8.80142792907417e-05,0.0044724383971066,0.00315129773437665,0.00825816106027927,0.00154769841045513,0,0
DEL,repeats,3,5+,2.89310369171181e-05,1.91373562231938e-05,4.18294581368925e-06,0.0103884412137847,0.000288927679359525,1.83599160437759e-05,0.000281524085054324,0.00708992280960834,0.00355149101157824,0.00811399039488468,0.00306851030063955,4.92805046323674e-05,0
DEL,repeats,4,0,0.000743228362181137,0.000132626329174692,3.73869218918882e-05,0.0113462704553454,0.000871980369022209,0.000445778761542879,0.00207601211100805,0.00806058685706542,0.00760726144420422,0.0131791592113824,0.00229776338621245,0.000640646560220777,0
