"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.99174217558586,0.99260062776336,0.993153118591851,0.994394557446492,0.994485684714259
"falseNeg",2,2,2,2,2
"falsePos",0,0,0,0,0
"truePos",9,9,9,9,9
"TPR",0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818
"PPV",1,1,1,1,1
