Signature,NumberOfPostSamples
low confidence hdp.1,2201
low confidence hdp.2,2046
low confidence hdp.3,1959
low confidence hdp.4,1821
low confidence hdp.5,1808
low confidence hdp.6,1642
low confidence hdp.7,1616
low confidence hdp.8,1414
low confidence hdp.9,1200
low confidence hdp.10,912
low confidence hdp.11,830
low confidence hdp.12,804
low confidence hdp.13,800
low confidence hdp.14,790
low confidence hdp.15,626
low confidence hdp.16,600
low confidence hdp.17,573
low confidence hdp.18,527
low confidence hdp.19,443
low confidence hdp.20,427
low confidence hdp.21,423
low confidence hdp.22,414
low confidence hdp.23,403
low confidence hdp.24,400
low confidence hdp.25,400
low confidence hdp.26,400
low confidence hdp.27,400
low confidence hdp.28,388
low confidence hdp.29,363
low confidence hdp.30,350
low confidence hdp.31,342
low confidence hdp.32,328
low confidence hdp.33,258
low confidence hdp.34,238
low confidence hdp.35,212
low confidence hdp.36,206
low confidence hdp.37,203
low confidence hdp.38,200
low confidence hdp.39,200
low confidence hdp.40,200
low confidence hdp.41,200
low confidence hdp.42,200
low confidence hdp.43,200
low confidence hdp.44,200
low confidence hdp.45,186
low confidence hdp.46,180
low confidence hdp.47,175
low confidence hdp.48,117
low confidence hdp.49,114
low confidence hdp.50,112
low confidence hdp.51,109
low confidence hdp.52,94
low confidence hdp.53,93
low confidence hdp.54,93
low confidence hdp.55,88
low confidence hdp.56,86
low confidence hdp.57,85
low confidence hdp.58,79
low confidence hdp.59,76
low confidence hdp.60,75
low confidence hdp.61,56
low confidence hdp.62,54
low confidence hdp.63,52
low confidence hdp.64,48
low confidence hdp.65,45
low confidence hdp.66,30
low confidence hdp.67,29
low confidence hdp.68,22
low confidence hdp.69,13
low confidence hdp.70,12
low confidence hdp.71,11
low confidence hdp.72,10
low confidence hdp.73,10
low confidence hdp.74,9
low confidence hdp.75,9
low confidence hdp.76,9
low confidence hdp.77,8
low confidence hdp.78,8
low confidence hdp.79,8
low confidence hdp.80,6
low confidence hdp.81,6
low confidence hdp.82,6
low confidence hdp.83,4
low confidence hdp.84,4
low confidence hdp.85,4
low confidence hdp.86,4
low confidence hdp.87,4
low confidence hdp.88,3
low confidence hdp.89,3
low confidence hdp.90,2
low confidence hdp.91,2
low confidence hdp.92,2
low confidence hdp.93,2
low confidence hdp.94,2
low confidence hdp.95,2
low confidence hdp.96,2
low confidence hdp.97,2
low confidence hdp.98,2
low confidence hdp.99,2
low confidence hdp.100,2
low confidence hdp.101,2
low confidence hdp.102,2
low confidence hdp.103,2
low confidence hdp.104,2
low confidence hdp.105,2
low confidence hdp.106,2
low confidence hdp.107,2
low confidence hdp.108,2
low confidence hdp.109,2
low confidence hdp.110,2
low confidence hdp.111,2
low confidence hdp.112,2
low confidence hdp.113,2
low confidence hdp.114,2
low confidence hdp.115,2
low confidence hdp.116,2
low confidence hdp.117,2
low confidence hdp.118,2
low confidence hdp.119,2
