Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2969
low confidence hdp.3,2600
low confidence hdp.4,2600
low confidence hdp.5,2599
low confidence hdp.6,2202
low confidence hdp.7,2200
low confidence hdp.8,1827
low confidence hdp.9,1785
low confidence hdp.10,1400
low confidence hdp.11,1400
low confidence hdp.12,1000
low confidence hdp.13,995
low confidence hdp.14,800
low confidence hdp.15,740
low confidence hdp.16,600
low confidence hdp.17,400
low confidence hdp.18,399
low confidence hdp.19,393
low confidence hdp.20,200
low confidence hdp.21,200
low confidence hdp.22,200
low confidence hdp.23,177
low confidence hdp.24,65
low confidence hdp.25,29
low confidence hdp.26,5
low confidence hdp.27,4
low confidence hdp.28,4
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
low confidence hdp.33,2
low confidence hdp.34,2
low confidence hdp.35,2
