Type,Subtype,Indel_size,Repeat_MH_size,hdp.0 (False Positive) (ID5 0.59),hdp.1 (ID2 0.997),hdp.2 (ID1 0.999),hdp.3 (ID5 0.996),hdp.4 (ID8 0.999),hdp.5 (ID3 0.997),hdp.6 (ID6 0.999),hdp.7 (ID9 0.999),hdp.8 (ID14 0.969),hdp.9 (ID13 0.998),hdp.10 (ID4 0.99),hdp.11 (ID11 0.97),hdp.12 (False Positive) (ID5 0.326),hdp.13 (False Positive) (ID5 0.152)
DEL,C,1,0,0.0202798684903095,0.0029485881206666,0.00114435808275735,0.0208825635113218,0.0340913420754231,0.110626519209013,0.0296947245260815,0.336934645423501,0.0113383281586284,0.0469484387315216,0.0124719801770801,0.00628264087189711,0.0248215565950463,0.00947957081270448
DEL,C,1,1,0.00485449563407846,9.25365904392524e-05,0.000661459495536004,0.0304117303756093,0.020987553060276,0.213215129513985,0.00620485778827859,0.096628881339647,0.00273616415981333,0.0141640113563074,0.00233738173304345,0.0141621960158813,0.000777244931334583,0.0031198299224465
DEL,C,1,2,0.00380094808359579,4.08334995181774e-05,0.000128589230084947,0.0277997413582589,0.00247585519568643,0.188583203473581,0.00806719417302772,0.00274410308979169,0.000459739206034913,0.00751807297804126,0.0033541442993385,0.002110925718774,1.43578769922149e-06,5.6272957468604e-05
DEL,C,1,3,0.00712728506835041,0.00181330273148493,0.00194559740612148,0.0138843395503644,0.00579106322025801,0.0675040878987287,0.000933481268861234,0.0113512897551777,0.000977902616873662,0.00451318587919777,0.00134762495283849,0.00232035376194653,0.0191682300674452,0.0105433528972674
DEL,C,1,4,0.0140253572190071,0.00244581208979935,0.00129774739463155,0.0028795931944991,0.0014186637237898,0.0433817785483402,0.00263313001801477,0.0130588701445203,0.00218305594531168,0.00405001773275221,0.0023137165379008,0.00306585620724734,0.0206999110502733,0.0132773364842511
DEL,C,1,5+,0.0505304416252567,0.0105067535282874,0.00477000213285464,0.00230792069122704,0.000598655988017781,0.0246572277999257,0.00188704277785687,0.000873815400513724,0.00438630315836859,0.00128453794724767,0.00224789972412202,0.000751379928058724,0.00652928867854238,0.029427174734265
DEL,T,1,0,0.0429156100970307,0.00460958222594179,0.00291914885488419,0.113483119885488,0.0331089106633428,0.0288274201832297,0.00313694448810442,0.108271179483588,0.0187702354317782,0.0397946849504779,0.0074016649255686,0.0238215359941166,0.0197343293214248,0.0127182635305322
DEL,T,1,1,0.0134538434616274,0.000140371444797628,0.000499672303033206,0.0969048005937268,0.010085406184033,0.00944198259620542,0.00111064665833689,0.0390609789101179,0.000699057500244055,0.51318405775708,0.00363977127730042,0.00814723094566895,1.27441819371607e-06,2.57521438402668e-05
DEL,T,1,2,0.0451273433785128,0.00489393412359952,0.00239476670287979,0.12030037949395,0.00850111779744452,0.0084298226702518,0.00997597791878468,0.0850666989909481,0.00720247487760445,0.0210583175320195,0.0047997829269886,0.03149190236839,0.0735143462976564,0.0212831294744029
DEL,T,1,3,0.123023858977535,0.0133276235762431,0.00491986764973692,0.0821848294903101,0.00971683059124926,0.0122698007919098,0.021614576703361,0.103579024321368,0.0157616702943125,0.0548714826015102,0.00702790538559924,0.00575453230018417,0.0334195468406531,0.0153664583619395
